"","sample39","sample107","sample11","sample58","sample36","sample41","sample57","sample21","sample82","sample105","sample149","sample217","sample121","sample168","sample146","sample151","sample167","sample131","sample192","sample215"
"EIF3I",8444,9137,11668,12614,17490,10543,10522,8578,10769,12733,16900,5510,14533,12890,7681,17050,12007,16619,9554,7411
"POC1B",838,1001,1443,1064,1017,489,1297,1021,975,1514,1692,783,1582,1417,1550,1993,1607,1638,1339,654
"TGM2",1599,6747,4828,855,1057,3406,4347,1660,2785,2351,1805,22096,840,1920,665,15891,2953,1555,4927,7073
"TTC33",889,837,2070,747,791,638,1605,1565,1240,1646,642,843,1008,1265,1643,3058,1244,1290,307,483
"IKZF4",540,733,975,518,504,376,992,1449,901,849,610,464,552,971,201,1046,712,992,518,446
"EPHA10",96,227,198,297,163,112,65,33,127,247,552,130,412,270,614,41,357,776,24,313
"INHA",10,33,47,12,30,17,17,15,17,27,2178,7,9,20,18,16,42,17,43,21
"CXCR2",303,50,69,11,21,81,120,68,139,27,29,27,28,16,9,54,16,23,9,12
"GUCY2C",15,23,47,10,7,7,49,29,24,39,24,9,2,28,137,26,4,9,31,0
"ZNF621",1181,1610,2575,1198,1311,1065,3167,2146,2378,2437,2539,1391,2448,2127,4052,3514,2916,3966,1860,1055
"SGMS2",2070,1242,1586,815,126,435,1386,1343,901,4500,234,1791,673,2565,1886,5820,891,1246,356,958
"TMEM135",1655,2325,4587,1363,1648,1325,4978,4764,4221,3622,2561,2887,3205,1412,3348,2678,6751,6220,5520,1451
"PUF60",5087,8447,7337,7029,8086,7401,5467,3933,5110,8504,9097,7506,6807,16681,4092,10989,12023,9004,14565,5921
"PHKA2",863,1616,2075,1309,1287,744,3597,3274,2150,2269,1388,789,1192,1012,1259,1824,1136,1572,1765,670
"NRN1",3041,1826,6195,922,2421,5211,7015,7186,3906,1555,296,389,342,638,181,2116,388,314,444,1103
"NLGN2",1398,3011,2317,1518,1967,2647,1729,1514,1628,2625,1783,1326,886,2228,217,2045,1425,1152,1682,1971
"AC008459.1",36,759,326,156,351,1,4,4,1,1827,0,0,0,9,3,1,0,0,0,0
"CRABP2",10310,7532,10386,5593,10169,14687,6398,3063,5111,8585,89473,8420,42697,4289,21071,46473,29616,24977,49428,16815
"JMJD6",1252,1490,1827,1248,718,1356,1172,854,1218,1766,1255,694,584,1738,542,2601,1375,1045,1160,910
"RRN3P3",118,168,371,109,140,213,242,105,182,217,55,64,116,136,198,505,95,191,238,108
"OGDH",5769,6592,8023,5066,6187,6513,13054,13109,10902,8323,7960,4267,11082,6648,11342,12455,7915,8615,4239,3399
"CRK",5015,5028,8143,4906,5103,3713,10996,7772,7422,8404,3800,3470,9284,5171,9381,9801,5403,6161,5242,3130
"IGLV3-16",5,22,12,28,49,1,1,6,7,7,1,0,0,0,0,35,5,0,1,0
"FCRL2",8,31,98,5,14,2,10,10,18,16,8,3,0,5,0,376,26,3,30,0
"REV3L",2124,2236,3739,1241,839,1530,7244,4086,4602,3489,511,1756,1645,3380,5620,5349,1756,1756,589,701
"BHLHE40",16711,36562,24146,9068,16551,10698,7405,4976,30936,36408,39584,10199,29649,10348,11037,15895,33102,41787,34124,27095
"ADHFE1",114,154,336,70,152,189,584,661,314,174,29,33,20,351,72,117,46,86,501,77
"MPP7",1433,1898,3408,1375,1449,418,1339,1104,2162,4054,236,2343,2497,967,6375,532,1081,4595,1958,1571
"ASPSCR1",575,1463,1169,916,1305,1539,919,716,850,985,1899,462,937,2593,1180,1592,889,2011,3896,1182
"AC092296.2",9,24,21,17,21,7,36,8,17,14,13,10,7,15,29,12,8,16,39,11
"UBXN2B",1579,2064,2522,1713,1772,996,2111,1656,2275,2912,2844,2994,3637,4038,3882,5488,4425,5294,3046,1765
"BAMBI",1334,1431,4021,1163,3978,2519,713,494,1919,1709,2155,2223,1059,13431,766,7975,1399,1492,8776,874
"TRBV5-1",6,19,21,20,2,19,11,4,10,10,10,18,0,17,0,176,21,5,33,7
"CSPG4P12",6,34,31,12,12,19,19,16,12,13,7,5,3,36,11,50,53,4,6,9
"SLC35B3",1021,1312,2182,1121,1109,1060,2568,1669,1538,1586,2133,1256,2143,998,3179,4056,1010,2593,1793,863
"VPS25",1792,2436,2698,2204,3498,2203,2299,1773,2492,2794,5420,1385,4564,2711,2082,7312,5166,4479,6648,1915
"PNCK",9,38,49,25,40,13,16,18,12,29,82,4,3,28,10,12,86,31,406,98
