"","sample52","sample9","sample47","sample1","sample87","sample5","sample24","sample13","sample46","sample18","sample162","sample119","sample157","sample111","sample197","sample115","sample134","sample123","sample156","sample128"
"PFKL",2,2,2,2,2,2,2,2,2,2,1,3,3,1,4,5,5,2,4,2
"ELK3",2,2,2,2,2,2,2,2,2,2,2,2,4,2,3,4,4,2,3,2
"LINC01894",2,2,2,2,2,2,2,2,2,2,3,4,3,3,5,2,4,1,3,2
"C20orf202",2,2,2,2,2,2,2,2,2,2,2,3,4,2,4,4,6,2,3,3
"PDGFB",2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,3,2,1,2,1
"SRPK3",2,2,2,2,2,2,2,2,2,2,1,3,2,3,4,4,4,1,4,2
"ABAT",2,2,2,2,2,2,2,2,2,2,3,6,6,5,6,3,6,1,6,2
"AL450326.1",2,2,2,2,2,2,2,2,2,2,3,2,4,5,4,3,4,2,4,2
"NCSTN",2,2,2,2,2,2,2,2,2,2,2,4,6,3,6,4,6,3,5,6
"IGKV3-20",2,2,2,2,2,2,2,2,2,2,2,3,3,5,4,2,4,2,3,2
"ISL1",2,2,2,2,2,2,2,2,2,2,2,3,2,2,4,4,6,1,3,2
"IGHV2-70",2,2,2,2,2,2,2,2,2,2,0,3,2,3,4,5,6,2,3,2
"TRPV2",2,2,2,2,2,2,2,2,2,2,1,3,3,3,4,3,4,1,2,0
"GMPR",2,2,2,2,2,2,2,2,2,2,3,2,2,3,4,3,4,5,4,2
"AC093675.1",2,2,2,2,2,2,2,2,2,2,2,3,2,5,4,2,4,2,4,2
"NAT9",2,2,2,2,2,2,2,2,2,2,4,2,3,6,4,5,4,2,4,1
"HTRA1",2,2,2,2,2,2,2,2,2,2,2,6,4,2,4,3,4,3,4,3
"ERCC3",2,2,2,2,2,2,2,2,2,2,1,3,1,5,4,2,4,3,4,3
"GLI1",2,2,2,2,2,2,2,2,2,2,2,2,4,3,3,3,4,2,3,2
"ARHGEF26-AS1",2,2,2,2,2,2,2,2,2,2,2,4,4,6,4,2,6,2,2,2
"CATSPERB",2,2,2,2,2,2,2,2,2,2,3,3,2,5,4,5,6,2,4,1
"PI4KA",2,2,2,2,2,2,2,2,2,2,3,4,2,3,4,2,2,2,3,2
"POLA1",2,2,2,2,2,2,2,2,2,2,2,5,3,4,4,4,4,1,4,0
"SV2C",2,2,2,2,2,2,2,2,2,2,2,5,2,2,3,4,6,1,3,2
"AL079343.1",2,2,2,2,2,2,2,2,2,2,2,3,2,4,4,5,6,2,3,2
"ZNF485",2,2,2,2,2,2,2,2,2,2,2,2,2,6,5,3,4,2,4,2
"PADI3",2,2,2,2,2,2,2,2,2,2,2,2,3,2,4,1,4,1,3,1
"ADPRM",2,2,2,2,2,2,2,2,2,2,1,2,1,2,4,4,4,1,2,3
"RPS15AP10",2,2,2,2,2,2,2,2,2,2,2,3,4,4,4,2,4,2,3,2
"RGS14",2,2,2,2,2,2,2,2,2,2,2,4,2,3,4,3,6,2,3,2
"LETM2",2,2,2,2,2,2,2,2,2,2,2,5,6,2,4,6,4,6,6,1
"IGLV1-40",2,2,2,2,2,2,2,2,2,2,3,3,2,3,5,2,2,3,3,1
"EIF2B2",2,2,2,2,2,2,2,2,2,2,1,3,2,3,4,4,6,2,3,2
"C2CD4C",2,2,2,2,2,2,2,2,2,2,1,3,2,2,6,3,6,1,2,2
"MROCKI",2,2,2,2,2,2,2,2,2,2,1,3,2,2,4,3,4,2,4,2
"PTPRA",2,2,2,2,2,2,2,2,2,2,2,3,4,2,4,4,6,3,3,4
"FAM13B",2,2,2,2,2,2,2,2,2,2,2,4,2,2,4,3,6,2,3,2
"DYM",2,2,2,2,2,2,2,2,2,2,3,2,3,1,4,3,4,1,3,2
"ZNF253",2,2,2,2,2,2,2,2,2,2,3,3,3,4,6,2,6,1,3,4
"HMGA1",2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,3,4,2,4,2
"TPD52L2",2,2,2,2,2,2,2,2,2,2,2,5,4,3,4,4,6,2,4,2
"JAZF1",2,2,2,2,2,2,2,2,2,2,2,5,4,4,6,4,6,2,6,2
"TMEM132B",2,2,2,2,2,2,2,2,2,2,2,2,4,3,4,4,4,2,3,2
"OAZ2",2,2,2,2,2,2,2,2,2,2,2,3,3,2,4,3,5,2,5,1
"PRRG3",2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,4,4,1,4,2
"RPS17",2,2,2,2,2,2,2,2,2,2,2,2,3,2,4,3,4,2,3,2
"Z97653.1",2,2,2,2,2,2,2,2,2,2,3,6,5,5,6,5,6,1,6,2
"TTLL4",2,2,2,2,2,2,2,2,2,2,2,3,2,3,4,2,4,3,3,2
"AC104825.1",2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,4,4,1,4,3
"ATP1B1",2,2,2,2,2,2,2,2,2,2,1,4,6,3,6,4,6,6,5,1
"NUDT16L1",2,2,2,2,2,2,2,2,2,2,3,6,6,6,6,4,6,1,6,4
"AC104532.2",2,2,2,2,2,2,2,2,2,2,3,4,2,2,6,5,6,1,2,1
"CAPN14",2,2,2,2,2,2,2,2,2,2,1,2,3,6,4,2,4,2,3,2
"AC109454.2",2,2,2,2,2,2,2,2,2,2,2,4,2,3,4,3,6,1,3,2
"AC156455.1",2,2,2,2,2,2,2,2,2,2,3,2,4,3,4,4,4,2,3,2
"C8orf48",2,2,2,2,2,2,2,2,2,2,2,3,2,1,4,6,4,1,2,1
"PRMT2",2,2,2,2,2,2,2,2,2,2,2,3,4,3,4,4,4,2,4,4
"AP005233.2",2,2,2,2,2,2,2,2,2,2,2,6,4,3,6,5,4,2,4,1
"AC007637.1",2,2,2,2,2,2,2,2,2,2,5,2,4,3,4,5,2,2,3,2
"CD1E",2,2,2,2,2,2,2,2,2,2,2,4,6,4,6,4,6,3,5,2
"NOTCH3",2,2,2,2,2,2,2,2,2,2,2,3,3,6,5,5,6,4,4,3
"CDC45",2,2,2,2,2,2,2,2,2,2,3,3,2,3,4,2,2,2,3,1
"GPR182",2,2,2,2,2,2,2,2,2,2,2,2,4,3,4,4,4,2,3,2
"AC245052.4",2,2,2,2,2,2,2,2,2,2,3,3,3,2,6,6,6,1,3,1
"LINC02012",2,2,2,2,2,2,2,2,2,2,2,4,4,6,3,4,5,2,4,2
"AC090617.5",2,2,2,2,2,2,2,2,2,2,2,3,1,4,3,3,4,1,2,1
"PHF19",2,2,2,2,2,2,2,2,2,2,2,4,3,3,4,4,5,1,3,2
"SEZ6",2,2,2,2,2,2,2,2,2,2,4,2,2,4,4,5,4,0,2,2
"H2BU1",2,2,2,2,2,2,2,2,2,2,2,6,6,3,6,4,5,3,5,5
"MIGA2",2,2,2,2,2,2,2,2,2,2,2,4,6,3,3,4,5,1,4,2
"FABP5",2,2,2,2,2,2,2,2,2,2,2,4,6,5,4,5,4,6,6,4
"PGM2L1",2,2,2,2,2,2,2,2,2,2,4,3,4,4,6,2,4,2,4,3
"MEGF8",2,2,2,2,2,2,2,2,2,2,3,3,3,2,6,2,6,1,3,2
"MAL2",2,2,2,2,2,2,2,2,2,2,2,3,6,6,4,6,4,6,6,2
"KDM4A",2,2,2,2,2,2,2,2,2,2,2,2,4,2,4,2,4,2,3,2
"CAPS",2,2,2,2,2,2,2,2,2,2,4,3,2,2,6,5,5,1,2,1
"WDR4",2,2,2,2,2,2,2,2,2,2,2,3,4,4,3,4,4,2,4,2
"SOCS3",2,2,2,2,2,2,2,2,2,2,4,2,3,6,4,5,2,2,5,1
"OGDHL",2,2,2,2,2,2,2,2,2,2,2,2,5,5,4,3,4,2,4,2
"FN3K",2,2,2,2,2,2,2,2,2,2,4,3,3,4,4,5,4,2,4,2
"NLGN4X",2,2,2,2,2,2,2,2,2,2,2,4,2,4,4,4,4,1,6,2
"RPL35A",2,2,2,2,2,2,2,2,2,2,2,4,4,6,4,4,6,2,3,2
"GAMT",2,2,2,2,2,2,2,2,2,2,0,3,2,2,6,2,6,1,2,1
"EP300-AS1",2,2,2,2,2,2,2,2,2,2,1,2,2,3,5,2,2,1,3,3
"USP40",2,2,2,2,2,2,2,2,2,2,2,3,2,3,4,4,4,3,3,3
"GNL2",2,2,2,2,2,2,2,2,2,2,2,2,4,2,4,2,4,3,3,2
"AL512343.2",2,2,2,2,2,2,2,2,2,2,2,6,5,3,6,4,6,3,5,6
"DCXR",2,2,2,2,2,2,2,2,2,2,5,2,3,4,4,5,4,2,4,2
"MXI1",2,2,2,2,2,2,2,2,2,2,2,6,3,2,4,3,5,2,4,2
"ZKSCAN5",2,2,2,2,2,2,2,2,2,2,2,4,5,3,6,4,6,2,3,2
"EEF1A2",2,2,2,2,2,2,2,2,2,2,1,5,4,4,4,4,6,3,4,2
"AL139317.4",2,2,2,2,2,2,2,2,2,2,2,3,2,2,4,5,5,3,2,2
"TUT7",2,2,2,2,2,2,2,2,2,2,2,4,2,4,4,5,5,1,4,2
"GPR157",2,2,2,2,2,2,2,2,2,2,2,1,3,2,4,2,6,1,3,1
"DUX4L27",2,2,2,2,2,2,2,2,2,2,1,5,4,6,4,3,4,2,3,2
"INTS14",2,2,2,2,2,2,2,2,2,2,2,3,3,2,4,3,3,2,3,1
"MARCHF9",2,2,2,2,2,2,2,2,2,2,2,6,4,3,5,4,4,2,3,2
"ZNF217",2,2,2,2,2,2,2,2,2,2,1,4,3,5,4,4,6,2,4,2
"URB1",2,2,2,2,2,2,2,2,2,2,2,3,2,4,4,5,4,2,4,2
"AL031674.1",2,2,2,2,2,2,2,2,2,2,2,4,4,6,4,4,6,2,4,2
"AL022322.2",2,2,2,2,2,2,2,2,2,2,1,2,2,3,4,2,2,1,2,1
"GLRX3",2,2,2,2,2,2,2,2,2,2,2,4,4,2,4,4,4,2,4,3
"PGGHG",2,2,2,2,2,2,2,2,2,2,2,2,4,1,6,4,4,2,2,3
"SIRT7",2,2,2,2,2,2,2,2,2,2,3,2,3,4,4,5,4,2,4,2
"AL732437.3",2,2,2,2,2,2,2,2,2,2,2,3,4,4,4,3,4,2,4,2
"AL121832.2",2,2,2,2,2,2,2,2,2,2,2,5,4,5,4,4,4,2,4,2
"FEZF2",2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,6,2,3,1
"CRYAB",2,2,2,2,2,2,2,2,2,2,3,3,4,3,6,2,4,2,4,1
"AIF1L",2,2,2,2,2,2,2,2,2,2,2,4,5,3,4,4,5,1,4,2
"AC092153.1",2,2,2,2,2,2,2,2,2,2,2,4,2,4,4,2,4,3,2,2
"FOXI3",2,2,2,2,2,2,2,2,2,2,2,3,3,5,3,2,4,2,3,2
"LINC01985",2,2,2,2,2,2,2,2,2,2,2,2,4,2,4,4,6,1,3,2
"ANKEF1",2,2,2,2,2,2,2,2,2,2,2,3,4,2,4,4,6,2,3,3
"LINC00607",2,2,2,2,2,2,2,2,2,2,2,3,2,3,4,2,4,3,3,2
"AL391244.1",2,2,2,2,2,2,2,2,2,2,2,2,3,2,4,2,4,1,3,1
"LINC01305",2,2,2,2,2,2,2,2,2,2,2,3,2,3,5,0,4,3,3,2
"SLC12A2",2,2,2,2,2,2,2,2,2,2,3,4,2,2,4,3,6,1,3,2
"DYNC1I2P1",2,2,2,2,2,2,2,2,2,2,2,2,6,5,4,3,4,2,4,2
"USP48",2,2,2,2,2,2,2,2,2,2,3,2,2,2,3,2,4,2,3,4
"COX6A1P2",2,2,2,2,2,2,2,2,2,2,2,3,2,5,4,3,4,1,4,2
"LINC01089",2,2,2,2,2,2,2,2,2,2,2,2,4,3,3,4,4,2,3,2
"TRAM2",2,2,2,2,2,2,2,2,2,2,2,3,2,3,4,3,4,2,4,2
"CAMLG",2,2,2,2,2,2,2,2,2,2,2,4,2,2,4,3,6,1,4,2
"UNC93B1",2,2,2,2,2,2,2,2,2,2,2,3,4,3,6,5,3,2,5,3
"AC024075.2",2,2,2,2,2,2,2,2,2,2,2,3,3,6,6,6,6,3,3,4
"MTA2",2,2,2,2,2,2,2,2,2,2,2,3,4,3,6,3,4,2,4,3
"AC069185.1",2,2,2,2,2,2,2,2,2,2,2,3,2,1,4,6,3,1,2,1
"TARS2",2,2,2,2,2,2,2,2,2,2,2,4,6,3,6,5,6,3,5,1
"APOBEC3C",2,2,2,2,2,2,2,2,2,2,1,2,2,2,4,2,2,2,2,1
"MRPL2",2,2,2,2,2,2,2,2,2,2,2,3,2,3,4,3,4,6,4,2
"KLHDC1",2,2,2,2,2,2,2,2,2,2,2,3,2,2,4,5,6,2,2,2
"FCGR2A",2,2,2,2,2,2,2,2,2,2,2,4,6,3,6,3,6,3,4,6
"RPL36AP43",2,2,2,2,2,2,2,2,2,2,2,6,3,2,4,3,4,2,4,2
"TAF1A",2,2,2,2,2,2,2,2,2,2,2,6,6,3,6,4,6,3,5,5
"MRPL30",2,2,2,2,2,2,2,2,2,2,2,3,2,5,4,2,4,3,3,2
"CAPNS1",2,2,2,2,2,2,2,2,2,2,4,4,3,5,6,5,6,1,3,2
"HSP90AB1",2,2,2,2,2,2,2,2,2,2,2,3,2,3,4,4,4,6,3,2
"HERC2P7",2,2,2,2,2,2,2,2,2,2,1,3,3,2,4,3,4,2,4,1
"UGT2B7",2,2,2,2,2,2,2,2,2,2,2,5,3,2,4,3,4,2,4,2
"SLC22A12",2,2,2,2,2,2,2,2,2,2,2,3,4,3,6,3,4,2,4,3
"CAPN10-DT",2,2,2,2,2,2,2,2,2,2,2,3,2,3,4,2,4,3,1,2
"AC055874.1",2,2,2,2,2,2,2,2,2,2,2,3,4,2,3,3,2,2,3,1
"EGFEM1P",2,2,2,2,2,2,2,2,2,2,2,4,3,5,5,4,6,2,3,2
"RPS4XP16",2,2,2,2,2,2,2,2,2,2,2,3,2,2,4,5,4,1,2,2
"OR51E1",2,2,2,2,2,2,2,2,2,2,2,2,4,3,6,4,4,2,2,2
"NDUFB6",2,2,2,2,2,2,2,2,2,2,2,5,2,2,5,4,5,1,4,2
"HTATSF1P2",2,2,2,2,2,2,2,2,2,2,1,2,2,3,4,3,2,5,3,2
"ESCO2",2,2,2,2,2,2,2,2,2,2,2,4,4,2,4,6,4,1,2,1
"CDHR1",2,2,2,2,2,2,2,2,2,2,2,3,3,6,4,3,4,2,4,2
"AC093827.5",2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,3,4,2,4,1
"TMEM192",2,2,2,2,2,2,2,2,2,2,3,4,2,5,4,3,4,2,4,2
"C1orf21",2,2,2,2,2,2,2,2,2,2,2,4,6,2,6,4,6,3,5,2
"BRICD5",2,2,2,2,2,2,2,2,2,2,4,6,6,5,6,4,6,1,6,2
"FRS3",2,2,2,2,2,2,2,2,2,2,2,3,3,4,4,3,6,1,4,2
