"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20"
"g1",468,594,394,161,58,186,168,331,506,550,168,131,266,421,2121,629,482,125,294,638
"g2",2808,1354,4674,4254,1989,6909,1545,1568,3038,2068,2499,3035,2234,1979,9457,503,1600,1137,2529,4256
"g3",2369017,1430640,3574099,1834801,862035,1638137,1970212,2948942,2552480,1438339,1616536,1831995,2824540,2160815,5780226,1577304,2400766,4483798,1764992,11931290
"g4",1603,2296,2078,7548,6018,3980,3286,4106,3571,5424,1608,1202,2361,3127,3516,760,3650,1400,878,5594
"g5",708,5333,2010,36,7373,23,18050,3639,37265,3776,128790,3899,6,72364,16106,13511,28880,0,80900,21360
"g6",693,1006,1080,544,1442,811,1419,138,202,847,1998,557,329,1532,1766,102,5794,3014,1394,1212
"g7",14255,71878,41977,39680,47436,11633,22132,31296,19978,20355,22533,8689,28333,10837,18335,11104,17067,4980,17346,14157
"g8",57866,41484,85270,139847,70192,91382,70759,69325,59179,48032,59675,31769,37237,54252,47972,60940,126620,36885,36991,159588
"g9",92042,34289,130885,231055,484783,64791,29371,184524,66447,159835,46217,92443,52916,41535,247812,393296,76652,51761,81079,284966
"g10",17,0,10089,23560,45,56,9656,10,18951,19,3378,1070,1545,925,8320,7255,6,6030,166,16671
"g11",76,130,29,8,110,0,253,9,21,66,1029,0,13,86,182,996,0,286,32,2994
"g12",1157,0,183,101,41,31,107,518,92,65,1539,13,47,342,794,42,676,700,146,1164
"g13",40,4,6,343,3,174,1,207,26,82,17,2,153,14,175,92,62,280,121,0
"g14",101,56,296,1155,297,74,430,431,149,71,624,42,1049,353,2522,1239,666,1346,1692,336
"g15",4807,3168,3122,24977,17453,6184,5853,5468,6001,3057,1228,1504,6564,11609,10067,3239,1626,18332,1093,8832
"g16",173492,95520,184730,103789,243861,80017,171185,114915,338392,111195,82459,93611,94459,204184,90621,70682,94904,121037,81477,157800
"g17",90033,83059,148306,113542,122871,104901,155553,89908,93441,74564,218338,139412,108453,139507,128404,123626,546670,102669,105253,253170
"g18",9267,5979,15202,14941,11981,24811,23889,14032,17396,18488,2148,11643,12560,5362,10465,9930,29966,12606,13866,4173
"g19",154868,131266,222449,119886,217255,197681,192431,295598,126783,122200,157467,89887,144133,182015,123576,59641,144471,133589,111092,134940
"g20",140888,64243,144573,103170,75283,187854,78327,85039,122477,113308,65874,108748,105791,120463,272048,117924,196551,172180,131026,295890
"g21",86616,10338,184431,84563,10393,36490,2077,11404,272043,379754,258213,89294,36138,119223,585372,51075,279689,520545,80268,92733
"g22",249864,169363,289977,329277,299091,272720,257695,107190,135886,239050,118524,152889,67876,217964,131605,138088,333841,337292,89076,160057
"g23",29688,20650,49412,28934,69520,32368,24785,43654,51219,20657,72956,52685,42157,72541,68690,14261,120102,78960,37209,71108
"g24",2183,60,550,1245,1648,2392,562,626,3838,717,1194,694,1059,2109,2415,398,1872,996,449,5574
"g25",419,247,1032,1461,221,498,370,233,34,496,960,110,575,880,864,214,1212,306,202,900
"g26",38774,21135,26089,30435,17952,43102,56490,32352,38373,16745,53040,19599,15371,24813,29156,21303,26688,22330,13389,57448
"g27",91095,79701,65075,108625,73854,69191,50120,43892,72675,66687,118622,87701,94523,156829,114168,29931,182516,75729,117740,87391
"g28",69855,22061,32353,76254,75386,10069,19124,23422,53415,7357,41154,10813,7190,33700,49044,17772,262990,30504,61736,52188
"g29",3477,5718,887,15728,5686,21760,439,8666,1467,1078,1274,10724,10953,2952,1322,7119,14263,13113,6677,10271
"g30",96406,42000,136485,144567,100034,117646,48728,60736,138102,82867,171462,65095,58648,97550,187175,52026,196600,95535,47290,277794
"g31",3556,5002,14116,16497,3992,7754,2808,2838,9597,3925,11748,3354,4979,7822,14268,10810,14070,5408,2856,5820
"g32",17698,80766,76506,84591,43623,272750,31844,128770,113673,50528,190550,288407,14872,160894,239862,27257,115242,106064,159603,242028
"g33",148832,45724,96848,103816,303953,265175,152569,52866,162851,184186,219431,306298,172446,291786,583664,410499,296835,271095,348068,1889930
"g34",3922,8551,2818,14115,42635,8498,12847,527,64064,8283,42141,624,47851,13757,97643,24898,65259,22215,12100,31212
"g35",830,1830,2732,5695,1773,2645,2339,2152,3112,1170,1916,738,971,2441,2564,446,2241,3068,525,4018
"g36",17450,294550,4157,24763,4639,4944,198,6136,33009,38080,42530,27233,759,4644,107,68,18347,5264,11997,267975
"g37",1845,734,281,10075,532,3981,2362,125,31413,13128,1610,535,38,1,372,12477,32703,13425,5304,1474
"g38",1386,870,1766,698,857,2205,1283,1773,1591,1817,1350,632,1425,298,3178,2977,1199,1754,1668,2562
"g39",135932,62829,265567,154503,35525,93981,127797,76901,69180,45938,98660,82692,47634,84019,271986,57319,257586,37844,93244,169020
"g40",368894,144978,164987,290404,253392,40568,101908,105815,206423,240272,68820,384068,30472,26371,164370,78909,379142,165772,308064,530870
