"","sample87","sample26","sample19","sample42","sample70","sample110","sample45","sample102","sample59","sample95","sample197","sample136","sample129","sample152","sample180","sample220","sample155","sample212","sample169","sample205"
"PCDHGA10",180,140,268,208,245,189,355,241,215,297,109,312,79,106,1043,456,228,317,317,240
"RPP25",248,314,381,255,280,349,580,359,378,493,250,793,1145,2049,717,1048,1739,669,81,525
"KRT17",4,28994,27695,20332,16818,27739,70297,49139,20337,28216,8360,10620,2285,96271,2,11020,2008,3911,729,210
"FRMD4A",3772,2906,1793,1356,3702,1967,2121,1868,1761,3033,950,1086,1622,1266,1032,1856,2013,2159,652,1766
"AC091178.2",12,13,25,20,23,59,45,13,24,9,13,29,33,7,5,6,22,29,6,39
"MAN1B1",2421,2840,3943,1739,2691,4522,5936,2565,3554,2824,5288,3769,3481,7459,4976,9049,10829,6842,2578,4148
"VDAC1P8",81,61,53,115,168,135,157,55,68,94,124,65,377,128,90,38,89,238,32,47
"SORD2P",3,35,33,17,38,43,78,32,88,27,113,112,55,62,334,70,78,48,62,384
"NTN4",2221,7355,11909,14069,16191,19528,15715,14010,9868,8033,40068,5020,4062,2367,1261,32252,15594,15462,5446,1750
"SOX5",1163,732,463,366,1475,385,624,701,587,941,108,162,95,46,42,315,88,461,112,517
"ZCCHC7",1032,783,1335,1053,1716,2288,2763,1154,908,987,1383,680,1730,1081,1829,1377,2311,1533,720,857
"BEGAIN",15,165,202,204,167,176,161,90,145,77,137,95,31,91,11,38,39,226,12,35
"TRAPPC10",1788,1622,1414,1262,2225,1721,2668,1262,1411,1870,1968,1826,2292,1620,3552,1591,2616,2826,942,2252
"AC022893.2",7,2,21,11,3,2,23,25,6,16,5,1,3,1,1,21,4,26,2,5
"CELSR1",99,1991,6535,3034,4004,3425,6638,5629,4386,1878,27824,6403,2263,2943,6205,11158,16631,8300,7522,7582
"TMF1",2017,2051,2769,2829,4559,4366,5290,2605,2242,2556,3879,2128,4052,2140,4950,3360,6905,4487,2436,2497
"NSL1",1504,1101,1671,1230,2212,1832,1959,1419,1539,1403,2260,1352,1875,1180,2139,2700,2539,2104,893,1701
"LINC01238",17,51,110,185,214,337,307,30,123,20,206,91,596,32,5,129,340,92,48,99
"EPHX1",41410,17192,17982,5056,14125,3455,6737,9878,14786,18811,10041,13881,19854,9920,31870,15430,13231,8196,3924,8333
"SGMS1",2165,1443,2041,1769,2541,1521,2078,2097,1651,2706,2790,2586,4404,1576,3101,2747,1934,2644,1811,1970
"DESI1",2518,1869,1848,1570,2692,2498,3133,1682,1628,1911,1710,2447,5591,1909,5105,2251,3129,2636,1026,1305
"CSGALNACT2",1475,1228,1720,1335,2199,1495,2362,1477,1490,2133,1602,2217,1706,1671,2127,2630,2112,3140,1169,2094
"ZNF703",2076,1555,3000,2102,3461,3134,4545,2241,3109,1771,5282,2064,31798,2022,7721,5354,2291,7613,1589,3672
"TFCP2L1",42,7398,2032,5227,6797,6561,2786,1041,3607,688,2235,228,268,17828,131,567,72,1327,65,148
"BMPR1B",31,50,1455,114,432,233,307,356,154,133,9401,200,68,266,2083,23194,150,1137,232,1129
"CHEK1",146,175,242,140,312,589,347,205,237,165,320,1537,2144,2200,825,281,1275,546,97,386
"HPS5",1780,2533,2214,2878,5898,5278,4556,2856,2459,1995,2587,1637,1673,1214,1417,2614,3670,2678,1138,1209
"AC138150.1",7,15,2,18,25,30,24,0,14,6,17,5,11,2,2,0,2,9,4,8
"PRR7-AS1",5,15,7,9,21,32,41,8,18,8,17,12,19,21,5,0,2,21,2,35
"SOX6",1209,527,282,165,835,274,308,301,195,444,104,146,231,632,375,188,95,127,447,154
"RERGL",784,325,695,311,676,276,436,2545,237,402,99,52,23,17,7,314,6,212,75,339
"ASIC1",281,257,317,94,362,1264,1748,195,376,147,144,342,442,118,1448,231,228,539,106,126
"AC010168.2",46,56,164,253,328,193,266,62,193,35,629,97,1667,185,38,126,745,388,928,299
"RN7SL417P",4,6,17,25,22,37,20,3,5,12,3,2,7,1,0,3,0,11,0,5
"BCAT1",1002,495,671,701,406,50,401,572,710,2892,354,2421,1359,1274,1060,1783,2516,2300,595,1027
"SHCBP1",14,83,75,34,120,183,60,45,135,76,101,746,2935,2507,429,247,1211,286,53,461
