"","condition"
"sample14","A"
"sample105","A"
"sample83","A"
"sample107","A"
"sample74","A"
"sample3","A"
"sample85","A"
"sample92","A"
"sample40","A"
"sample22","A"
"sample80","A"
"sample57","A"
"sample102","A"
"sample20","A"
"sample53","A"
"sample19","A"
"sample62","A"
"sample65","A"
"sample101","A"
"sample99","A"
"sample75","A"
"sample89","A"
"sample66","A"
"sample59","A"
"sample71","A"
"sample16","A"
"sample41","A"
"sample90","A"
"sample103","A"
"sample30","A"
"sample34","A"
"sample60","A"
"sample46","A"
"sample21","A"
"sample47","A"
"sample77","A"
"sample8","A"
"sample23","A"
"sample12","A"
"sample72","A"
"sample32","A"
"sample28","A"
"sample7","A"
"sample36","A"
"sample87","A"
"sample5","A"
"sample4","A"
"sample69","A"
"sample25","A"
"sample43","A"
"sample24","A"
"sample42","A"
"sample110","A"
"sample88","A"
"sample6","A"
"sample11","A"
"sample27","A"
"sample15","A"
"sample9","A"
"sample38","A"
"sample124","B"
"sample215","B"
"sample193","B"
"sample217","B"
"sample184","B"
"sample113","B"
"sample195","B"
"sample202","B"
"sample150","B"
"sample132","B"
"sample190","B"
"sample167","B"
"sample212","B"
"sample130","B"
"sample163","B"
"sample129","B"
"sample172","B"
"sample175","B"
"sample211","B"
"sample209","B"
"sample185","B"
"sample199","B"
"sample176","B"
"sample169","B"
"sample181","B"
"sample126","B"
"sample151","B"
"sample200","B"
"sample213","B"
"sample140","B"
"sample144","B"
"sample170","B"
"sample156","B"
"sample131","B"
"sample157","B"
"sample187","B"
"sample118","B"
"sample133","B"
"sample122","B"
"sample182","B"
"sample142","B"
"sample138","B"
"sample117","B"
"sample146","B"
"sample197","B"
"sample115","B"
"sample114","B"
"sample179","B"
"sample135","B"
"sample153","B"
"sample134","B"
"sample152","B"
"sample220","B"
"sample198","B"
"sample116","B"
"sample121","B"
"sample137","B"
"sample125","B"
"sample119","B"
"sample148","B"
