"","sample83","sample61","sample25","sample16","sample1","sample96","sample106","sample18","sample44","sample29","sample101","sample13","sample92","sample88","sample81","sample98","sample8","sample40","sample73","sample93","sample78","sample42","sample47","sample41","sample27","sample55","sample52","sample110","sample70","sample67","sample19","sample76","sample37","sample10","sample86","sample38","sample54","sample75","sample102","sample89","sample50","sample57","sample94","sample28","sample97","sample72","sample51","sample68","sample56","sample22","sample107","sample30","sample23","sample53","sample46","sample31","sample65","sample26","sample95","sample48","sample193","sample171","sample135","sample126","sample111","sample206","sample216","sample128","sample154","sample139","sample211","sample123","sample202","sample198","sample191","sample208","sample118","sample150","sample183","sample203","sample188","sample152","sample157","sample151","sample137","sample165","sample162","sample220","sample180","sample177","sample129","sample186","sample147","sample120","sample196","sample148","sample164","sample185","sample212","sample199","sample160","sample167","sample204","sample138","sample207","sample182","sample161","sample178","sample166","sample132","sample217","sample140","sample133","sample163","sample156","sample141","sample175","sample136","sample205","sample158"
"TMEM132A",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,1,2,3,2,4,2,2,6,1,2,2,2,2,3,5,3,2,4,4,3,4,2,3,2,2,2,2,2,2,4,4,3,4,2,2,2,2,2,2,6,3,4,2,4,2,4,3,1,4,1,2,3,4,2,3,3,1,4
"PRR4",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,5,4,2,3,5,2,2,1,2,1,5,6,4,2,3,4,2,4,1,3,2,2,2,3,2,5,4,6,4,4,2,1,4,2,2,2,4,5,4,2,4,4,2,3,3,4,2,3,3,3,2,3,2,2,4
"MYADM",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,2,4,2,4,6,2,1,2,2,2,4,6,4,2,5,4,3,3,2,4,2,3,2,4,2,4,4,2,4,6,2,1,4,2,2,2,6,4,4,2,5,4,3,4,2,4,2,3,3,3,2,4,2,2,4
"LINC01409",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,1,2,2,3,4,1,2,5,2,1,6,1,2,3,4,1,1,3,3,2,3,1,4,2,2,2,2,2,3,2,5,3,4,2,1,3,2,2,2,3,6,4,2,3,2,3,2,1,3,2,2,3,3,2,3,3,2,3
"SLC2A12",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2,3,2,2,3,6,2,2,2,1,2,2,6,3,2,4,4,3,2,3,2,2,1,2,2,1,4,4,2,2,4,2,1,4,2,2,1,4,4,2,2,5,4,2,2,3,4,2,2,3,4,2,3,2,1,4
"GTF3A",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,4,1,1,3,2,4,2,2,6,2,5,2,1,2,4,3,2,2,4,2,2,2,1,4,2,2,2,3,2,5,4,4,3,4,2,1,2,1,2,2,3,4,4,2,4,2,2,3,2,3,2,3,2,6,2,2,2,2,2
"OAZ1",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,1,2,2,2,4,1,4,6,2,1,2,2,2,4,4,2,2,2,4,2,2,1,3,2,1,2,3,2,4,4,2,2,2,2,1,4,2,2,2,4,3,4,2,4,2,3,2,2,4,2,1,3,2,2,4,2,2,4
"RPL23AP82",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,4,1,3,5,2,1,2,2,1,2,3,2,1,2,2,2,4,2,2,2,1,2,4,2,5,4,6,2,2,2,1,4,2,2,2,6,2,3,2,2,2,2,6,2,3,2,2,3,2,2,2,3,1,2
"PLPP4",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,4,6,3,3,2,2,2,2,2,4,5,4,1,2,3,2,4,1,2,2,2,2,4,2,4,4,2,4,4,2,2,4,1,2,2,4,4,4,2,3,2,2,3,2,2,2,2,2,4,2,3,3,2,4
"FOXD2",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2,3,4,2,4,6,2,2,2,1,2,3,4,3,1,3,3,3,4,2,3,2,2,2,2,2,2,4,3,3,4,2,1,3,2,2,2,4,6,4,2,3,2,3,3,2,3,2,5,3,3,2,3,3,2,3
