"","sample104","sample42","sample78","sample14","sample54","sample79","sample110","sample48","sample28","sample1","sample21","sample6","sample34","sample68","sample15","sample103","sample96","sample47","sample52","sample25","sample214","sample152","sample188","sample124","sample164","sample189","sample220","sample158","sample138","sample111","sample131","sample116","sample144","sample178","sample125","sample213","sample206","sample157","sample162","sample135"
"AL035252.3",52,35,36,14,45,40,53,18,63,20,30,31,30,27,85,42,57,46,18,46,16,12,37,31,9,13,18,36,18,1,65,15,49,16,68,20,49,161,24,52
"ACTG1",181886,77569,110749,59544,253993,96973,133845,165735,142640,114190,85427,173259,143805,143131,154484,224957,162383,148992,145781,131554,110183,415170,216831,136023,191143,193264,282563,444757,148784,418016,306841,212395,214124,246692,107927,253845,18958,292186,281882,274838
"TMEM87A",4864,3661,6621,2965,9348,3758,10548,8301,4779,4568,3849,5207,9752,5697,7528,5884,7569,5627,6572,4424,1875,6756,5264,2876,4556,6534,9717,4287,3214,5161,10771,3731,3081,6499,5016,6882,2617,10075,6633,8157
"STRN",1616,3232,4606,3247,5363,1975,4259,4156,3978,3142,3839,2469,2983,2825,3556,1782,5731,4666,4637,3362,1004,4177,2583,5478,2817,2835,3683,2595,2634,12115,6582,2222,3680,2991,2783,4383,12181,5133,4089,6164
"AC022150.4",36,183,222,75,166,64,219,138,263,104,77,33,51,61,150,32,364,158,224,207,57,290,251,340,123,321,98,179,167,416,420,56,187,174,98,125,795,383,338,149
"FAP",391,348,362,433,2845,272,134,281,1056,511,1583,803,550,626,802,211,654,1609,322,544,429,2233,3221,3356,4411,1059,7173,4969,3027,3209,1901,2248,587,5748,520,3855,1473,2685,8605,409
"SSH2",958,1453,2057,4157,2698,842,1126,1660,3294,1496,2956,1944,830,1545,1501,650,1934,3606,1626,2713,627,1642,1998,12926,4267,1353,1669,2061,1094,6924,2798,1118,2102,1525,1331,2554,1807,2827,4350,1615
"SZRD1",6115,2525,4678,4307,5616,3264,4013,6850,4229,4462,4316,6431,6518,5333,4824,5590,5953,6546,2302,5318,4074,6473,3593,3136,4091,4574,6568,5818,4741,3774,5590,3970,8589,9591,4443,5219,896,10073,6077,5874
"CYP4F3",451,2,6,102,9,4,1,171,8,3,14,214,244,287,98,8,19,5,0,14,4,284,0,8,3,3,2,63,130,395,70,680,13,52,3,2,15,238,30,10
"SEC61G",1173,1035,1701,1208,3459,1479,1202,931,1451,1288,1691,2085,1187,1330,1088,2411,1660,2037,3461,1738,1909,2833,1862,1301,2475,2328,2327,8351,1382,6851,2565,2085,4143,3229,1457,3411,730,5883,2574,3893
"CYRIB",2420,1675,1978,4076,5216,2079,2341,2540,4694,2750,3378,3255,6758,2514,2370,1908,2747,3887,5942,3180,2487,8519,5093,6494,8260,4138,3243,6950,2399,14884,6037,3228,5739,13314,2579,3695,4870,14135,4603,6167
"GPR150",2,8,12,8,101,8,6,10,24,9,31,35,26,11,6,1,11,26,55,10,10,30,6,3,6,5,20,58,14,11,4,13,29,24,5,22,19,11,19,17
