"","sample102","sample42","sample104","sample27","sample90","sample38","sample50","sample30","sample44","sample66","sample9","sample75","sample25","sample107","sample57","sample37","sample84","sample100","sample36","sample60","sample103","sample24","sample16","sample74","sample97","sample51","sample55","sample86","sample43","sample13","sample101","sample3","sample56","sample6","sample33","sample106","sample62","sample5","sample87","sample105","sample212","sample152","sample214","sample137","sample200","sample148","sample160","sample140","sample154","sample176","sample119","sample185","sample135","sample217","sample167","sample147","sample194","sample210","sample146","sample170","sample213","sample134","sample126","sample184","sample207","sample161","sample165","sample196","sample153","sample123","sample211","sample113","sample166","sample116","sample143","sample216","sample172","sample115","sample197","sample215"
"NRXN2",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,3,5,3,3,2,2,2,2,3,3,2,2,4,4,4,2,2,0,4,4,4,2,2,2,3,2,4,2,2,2,3,5,2,2,4,4,1,6,2
"OTOGL",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,4,3,2,2,2,4,2,1,4,1,2,5,2,4,2,0,2,3,4,2,4,3,4,2,4,2,2,2,4,6,2,2,4,3,4,4,2
"ACYP1",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,4,2,4,1,2,2,2,3,3,3,6,3,3,3,1,4,1,2,4,2,6,2,3,2,2,2,4,3,2,3,2,3,2,1,4,3,5,4,0
"C19orf12",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,3,3,4,1,2,2,4,4,3,4,2,4,5,4,6,2,2,4,4,6,2,3,2,4,2,4,0,2,2,2,4,2,2,4,4,6,6,2
"MYO15B",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,3,3,3,2,2,2,4,2,6,2,2,3,3,5,4,3,3,2,2,3,4,1,3,2,4,2,4,1,2,2,2,4,2,2,6,3,5,4,2
"AP001207.3",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,5,6,4,6,2,2,2,5,6,6,6,3,6,6,6,3,2,2,5,3,4,2,5,2,2,0,4,2,6,2,2,6,2,1,4,6,5,4,3
"DAP",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,4,1,3,2,1,2,3,4,3,4,3,4,4,6,4,0,2,3,2,6,2,5,2,4,2,4,1,2,2,2,2,2,0,4,6,3,4,2
"GNPDA2",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,3,1,3,4,2,4,2,3,1,2,3,2,2,4,2,4,1,3,2,2,3,4,1,2,2,2,4,3,2,4,3,3,4,2
"NET1",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,6,2,4,2,2,2,3,4,3,4,3,2,5,6,3,1,2,4,3,4,2,3,2,5,2,4,1,0,2,2,0,2,3,4,4,3,4,2
"ARRDC2",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,3,3,6,2,2,2,5,6,3,4,2,4,5,4,3,2,0,2,4,6,3,3,2,2,2,4,2,3,2,2,2,2,2,4,4,2,6,2
"POP7",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2,2,2,4,3,4,3,2,4,5,5,4,1,1,3,4,6,2,5,2,2,2,4,3,2,2,2,3,2,3,3,2,4,6,2
"TEAD1",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,3,0,2,2,2,2,3,2,2,5,2,4,3,2,3,2,2,4,0,4,5,4,2,4,2,4,2,2,4,2,4,1,2,4,5,5,6,2
