"","condition"
"sample17","A"
"sample63","A"
"sample21","A"
"sample52","A"
"sample51","A"
"sample30","A"
"sample13","A"
"sample82","A"
"sample105","A"
"sample19","A"
"sample83","A"
"sample90","A"
"sample1","A"
"sample24","A"
"sample54","A"
"sample26","A"
"sample29","A"
"sample4","A"
"sample8","A"
"sample12","A"
"sample100","A"
"sample58","A"
"sample91","A"
"sample36","A"
"sample92","A"
"sample6","A"
"sample44","A"
"sample94","A"
"sample93","A"
"sample64","A"
"sample89","A"
"sample18","A"
"sample74","A"
"sample61","A"
"sample98","A"
"sample110","A"
"sample104","A"
"sample85","A"
"sample84","A"
"sample7","A"
"sample127","B"
"sample173","B"
"sample131","B"
"sample162","B"
"sample161","B"
"sample140","B"
"sample123","B"
"sample192","B"
"sample215","B"
"sample129","B"
"sample193","B"
"sample200","B"
"sample111","B"
"sample134","B"
"sample164","B"
"sample136","B"
"sample139","B"
"sample114","B"
"sample118","B"
"sample122","B"
"sample210","B"
"sample168","B"
"sample201","B"
"sample146","B"
"sample202","B"
"sample116","B"
"sample154","B"
"sample204","B"
"sample203","B"
"sample174","B"
"sample199","B"
"sample128","B"
"sample184","B"
"sample171","B"
"sample208","B"
"sample220","B"
"sample214","B"
"sample195","B"
"sample194","B"
"sample117","B"
