"","condition"
"sample1","A"
"sample2","A"
"sample3","A"
"sample4","A"
"sample5","A"
"sample6","A"
"sample7","A"
"sample8","A"
"sample9","A"
"sample10","A"
"sample11","A"
"sample12","A"
"sample13","A"
"sample14","A"
"sample15","A"
"sample16","A"
"sample17","A"
"sample18","A"
"sample19","A"
"sample20","A"
"sample21","B"
"sample22","B"
"sample23","B"
"sample24","B"
"sample25","B"
"sample26","B"
"sample27","B"
"sample28","B"
"sample29","B"
"sample30","B"
"sample31","B"
"sample32","B"
"sample33","B"
"sample34","B"
"sample35","B"
"sample36","B"
"sample37","B"
"sample38","B"
"sample39","B"
"sample40","B"
