"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20"
"g1",116244,42480,68339,141957,183581,60469,71972,133698,43413,53419,122399,147404,214019,185276,85260,106879,54731,93726,103059,282867
"g2",4725,3955,26832,5297,19141,4916,953,12751,22247,744,10948,15307,2572,8117,4368,2736,6583,3978,6080,5245
"g3",4378,8683,8959,6222,11869,4950,7739,6740,5871,5795,2062,5743,9478,8615,11718,5426,7136,4832,25912,5608
"g4",2619,5506,4255,4376,6835,3939,3967,2088,5604,2927,6041,9122,5985,3764,3553,10970,16025,14716,6099,11600
"g5",6930,25106,11628,12721,10459,23401,11018,4652,15965,3706,24460,26265,20485,66152,43103,23522,33776,37163,26310,58459
"g6",15731,11266,10397,15384,30036,10079,31654,15895,16766,9606,35149,26082,25388,16377,8196,15973,32601,16101,15633,55234
"g7",3185,6743,4198,3095,10314,7584,7177,5553,6742,7749,7116,10135,13216,5813,10150,9260,17888,26162,7810,7476
"g8",12029,6061,6070,11002,1625,8100,1062,2742,11242,4090,20358,5444,38761,46935,77348,8961,4265,3767,15810,29546
"g9",2446,9194,3164,3551,10504,17282,914,9911,15684,1909,10220,5560,6174,4644,6793,4235,3057,6214,9307,7450
"g10",4350,4728,19726,8329,5108,4967,7478,3219,11894,3371,22039,15298,20002,39044,4121,21653,20747,15869,15865,16886
"g11",9446,11501,13988,10191,22834,4116,10115,2233,19913,9793,11496,19975,27310,26510,18197,13335,32121,7876,42382,28560
"g12",4508,2610,3213,5742,9174,998,4572,876,817,1592,4630,10538,4989,3669,6054,3097,3405,5014,1218,3824
"g13",202,878,3476,2840,5659,3666,292,1827,550,6145,2745,20780,2783,19629,945,7503,20418,4842,9850,2855
"g14",1119,3367,8598,6993,848,3381,5792,8098,2767,11952,568,4461,7578,9172,24031,6870,7516,32866,7926,3900
"g15",771,2456,7261,553,1289,1235,833,4133,1111,1755,853,731,6618,980,4057,1571,5996,7464,8897,11606
"g16",9182,9618,9270,8478,2850,10457,8222,6425,5728,2363,3429,11263,8877,9782,5567,7997,19422,7240,9093,10995
"g17",0,1216,171,14412,2400,465,6,23588,11811,14212,7372,85642,11409,14002,3953,3867,9889,476,24368,0
"g18",5670,17032,2974,5695,12155,4738,2536,7306,1816,5858,4181,15277,20428,9548,24094,13208,10863,11351,29576,13137
"g19",6163,4554,6116,108,4273,5248,5168,705,5956,2136,1515,477,4599,5271,123,4206,1605,7043,3189,4303
"g20",10518,13720,16408,4340,3672,6325,11273,11900,27672,13184,14896,29116,6623,10726,14650,22062,6150,12388,10864,32349
"g21",3236,7655,6026,7850,11237,4785,18627,4219,7443,7779,19369,26362,14687,36119,9694,14125,39718,37844,33300,11111
"g22",6488,8930,11640,6785,10850,3598,16078,8443,9309,7272,7282,5319,11534,16078,12209,13730,19931,22846,21748,21461
"g23",4124,2890,2430,4094,6653,8754,5163,1773,4651,5804,3382,10364,4590,8693,3482,6407,6305,5086,11172,10943
"g24",1930,2336,5139,1250,4723,6719,3796,10428,3274,5522,11982,4317,10735,13259,8961,9428,5291,10597,6809,21990
"g25",5651,5263,5545,3198,24132,2948,4441,3873,7143,9968,7877,11153,10888,16191,11184,14332,14308,14717,16270,12182
"g26",5737,12107,5189,9251,10350,6812,9110,9108,12194,8568,18802,18243,10173,8234,7883,14383,8511,14083,18462,10521
"g27",23913,18808,4671,7676,19034,9203,2130,18204,12200,12051,13540,35310,7396,49782,32855,19613,61662,179808,63533,38704
"g28",1905,5095,1949,2602,1660,4499,8359,3190,5534,4588,20830,14759,19617,29024,17568,36949,24645,29498,44959,38425
"g29",2548,9275,1884,3165,3797,7542,8031,1980,4559,4932,7901,31404,18964,24823,11355,7693,12018,3772,10748,10100
"g30",7728,8018,7430,5492,12747,8107,11027,3809,20152,6537,12324,21165,12676,30360,11246,29646,36072,28783,30032,19419
"g31",5685,4476,6108,5031,13593,7425,10430,2661,11151,3802,26317,9264,14199,14031,18662,8605,23373,35388,16224,18980
"g32",3059,4361,812,2257,14380,1440,12147,6482,13391,4737,18539,6555,21959,8226,14649,19070,1306,3417,27779,10529
"g33",6539,18317,18137,14636,18188,14510,21684,7813,12850,9657,9568,9621,21739,40878,10606,13797,18492,18556,11884,14706
"g34",5021,7385,6380,4138,5264,7378,3760,8628,15463,6704,15822,27870,15544,11800,26441,18507,10898,21007,16556,18293
"g35",16754,93985,24146,21680,4828,12625,9149,16150,12981,11744,22046,33667,40228,35504,26030,28755,51446,31450,55852,21660
"g36",9398,6570,4651,2421,9710,8436,8326,4248,1460,1246,3003,2295,2372,37127,5618,1733,11475,1173,9420,53049
"g37",13013,10992,9023,6403,5127,9671,9270,9354,8323,13188,15082,23755,34294,15643,18879,12816,30915,18843,29623,18394
"g38",2661,109,5285,5509,313,2487,2136,944,1128,5719,2726,10291,4828,860,1086,4854,2858,7273,14908,3209
"g39",2511,6881,1708,2980,2054,380,344,2772,526,737,839,13123,2785,8501,197,3501,21310,3823,12980,18143
"g40",383,123,1823,0,49,238,10302,51,826,3221,1161,0,46,924,0,25,279,1443,105,0
"g41",10156,19788,29799,6381,11089,3400,6334,25332,27553,4547,4282,5846,23639,18653,23071,14010,20452,9513,2678,5967
"g42",3222,9253,4883,9596,6202,8935,4104,4000,7849,5952,2188,2078,5701,12161,8784,9443,9979,3969,9783,23803
"g43",8798,9354,23495,13694,11345,8032,13451,24001,10802,7115,32297,17143,23879,35568,21166,39068,21014,25543,12394,29091
"g44",13613,5628,5708,24407,17872,12126,19281,18233,20005,8248,12446,13573,46793,94613,24667,3874,24019,8567,19957,18730
