"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20","sample21","sample22","sample23","sample24","sample25","sample26","sample27","sample28","sample29","sample30","sample31","sample32","sample33","sample34","sample35","sample36","sample37","sample38","sample39","sample40"
"g1",164081,326067,140581,80032,105663,218162,78476,180764,159092,101221,173352,83495,179113,90537,190007,153143,113625,329797,101468,183654,395552,474364,244187,279072,140107,360218,750408,81042,494678,361819,407046,345132,224014,458736,152130,235776,1515754,383983,270058,523360
"g2",20880,40007,5471,2657,4676,28384,4979,4263,3951,16535,9929,7597,7126,1127,11298,38515,17666,33201,5387,15299,128543,45954,25594,58639,21523,19675,93242,7259,33182,17543,62548,43360,70157,30986,45804,11314,116527,4411,3101,64191
"g3",18108,9615,19032,7248,4340,8353,12583,5671,5040,9036,5380,11664,10908,10639,9250,8195,5754,13410,3441,8057,24156,23656,19583,17247,38471,15684,29755,20452,48533,11028,17746,12726,29089,37705,18435,20646,23166,24595,25687,11626
"g4",9957,7112,9441,9406,2495,13635,3912,7752,10969,13975,3996,4718,7670,13526,6315,23295,8576,16071,2271,6611,20182,8683,13924,11585,5033,9230,19271,9625,16966,19703,13246,10236,18785,26877,12161,8977,14589,14594,14209,10279
"g5",15326,26142,44156,18725,14962,12226,14826,19387,9453,19622,16355,5525,34002,25801,38233,6849,4829,23129,12925,12925,89077,45412,55375,27014,29901,32862,28479,20155,41392,45307,34269,26809,27035,65743,25461,16026,54469,15838,38402,25609
"g6",45844,7298,35978,28704,19471,31306,46730,11971,27123,25253,19009,25271,40790,26239,22929,44601,11926,27088,22245,30137,27008,36826,26975,69187,32971,26508,86446,27710,72373,16336,7790,28172,53820,59747,38426,35835,103674,17580,19456,60821
"g7",7429,9291,12084,5689,11509,21036,11257,5314,3310,10026,5950,3538,7990,3521,5413,15361,7682,4670,7517,9642,17673,13234,10784,21255,11553,8332,18154,10137,14671,8704,5271,13017,9715,22657,19074,9463,19185,7722,6948,20135
"g8",2541,2093,5517,1542,3465,11261,2305,825,1847,6253,1702,518,5093,7784,3266,4834,5233,57619,506,13731,2999,5568,21180,8795,5119,6262,25391,1155,13973,12188,13535,9230,22964,726,16312,1272,2876,5931,7781,1616
"g9",8797,1966,31745,5772,27426,25858,3658,22175,7979,43348,21147,5559,24645,3456,16899,9918,5941,6023,3928,12311,44890,20094,12469,11655,21538,7748,41661,34179,21971,9443,8888,9131,54930,1988,23110,37903,4139,29187,47953,36942
"g10",2834,4562,19722,5874,15859,9378,5574,7201,4784,7413,14028,4804,3867,2990,11743,3530,13594,16566,6635,14133,35364,57970,19264,21433,29988,12836,37334,16925,36417,29166,54078,32801,34553,12991,32336,11049,29054,34840,48117,39514
"g11",2210,5305,16567,12696,3446,4483,4570,5060,8051,23665,13084,12265,14472,8715,39759,11394,15351,14094,7079,42245,7902,7590,5821,3571,8646,8453,31280,6426,33030,4829,8336,6585,18007,25305,15232,17405,4411,1925,20401,5172
"g12",4263,3029,3557,4008,6631,1734,6535,5959,8016,5783,8563,3122,3770,1002,11587,4436,3958,6126,3247,9338,6680,15508,2137,6385,6224,7043,11804,21373,9893,7181,8019,2902,18368,1612,5572,7616,11196,8691,10117,21418
"g13",8307,2609,3571,1631,848,1919,1251,853,2659,7164,6068,1816,6089,3204,8288,2242,1585,3147,2179,9791,1587,13143,8615,5928,6736,7022,392,15610,1615,1784,11388,2188,17361,22787,7109,8109,11434,3058,9965,11579
"g14",8553,6812,7740,3691,4724,7783,1840,1193,18099,27317,2289,1698,3498,12132,30205,4260,9861,51314,1269,5648,69508,2421,14030,30495,89178,3414,16250,54630,45027,9251,746,33491,98216,14494,21756,66423,33328,17676,73460,61918
"g15",3944,2454,8825,4555,14718,766,1995,1687,10006,12198,5189,2397,13545,8074,220,705,197,7760,3508,8301,6840,5883,696,10257,14999,5350,10036,225,20202,9844,6146,16612,2777,11618,2064,1028,5593,2397,6490,15426
"g16",13318,10473,20447,6746,10788,18590,9213,5486,8048,20326,10439,8138,12566,15510,7452,12539,7962,12388,13231,3354,50153,104544,24340,35222,34329,53606,93793,40061,87199,50706,37172,59268,72039,62179,24286,30871,83563,14725,26713,49130
"g17",19795,80755,52770,0,576,37657,69,1226,11514,10878,12,1517,11822,9985,55103,147915,123,5867,7464,72115,6351,56118,247,822,2666,0,317,6,2465,520,11267,22,10732,34428,237,24698,18,178,972,11220
"g18",1487,4661,9884,6273,2047,10790,3766,604,19991,14100,8710,7341,11551,6296,19421,12094,3734,8962,10450,9943,8539,7343,36604,5619,5329,33504,71388,12889,5878,8585,18743,16470,11425,1801,5994,3623,20817,1517,3879,2321
"g19",1783,446,6263,1031,8408,1929,4675,3451,4340,17039,3687,2420,9104,4702,5743,4483,10250,7114,1432,5637,7154,3959,7602,677,6923,13805,12555,8518,18301,18540,5768,8357,11837,2704,13286,3446,3875,12928,1891,3406
"g20",54457,5385,21905,11281,5354,11702,17909,10238,11664,18872,12218,18871,11813,8651,10823,11132,11136,13769,9948,30214,114104,22945,29278,26076,54490,30123,68028,29953,79203,45991,57219,20928,48518,34230,29156,38226,53785,64065,64989,38587
"g21",10365,13998,19659,8620,6082,9567,12491,10301,11044,19435,5993,7016,16929,3144,9835,13615,4441,12801,7956,6604,17936,10612,9409,9922,16947,10245,31520,8680,13763,15138,7537,29071,10616,13968,12263,8449,21675,12002,13391,24098
"g22",20296,10166,8538,15136,16714,11600,21979,14892,6930,16046,15790,14145,9230,7290,18676,7450,8519,22365,7630,5914,44284,75142,18495,34412,23584,37548,34363,28777,38455,30644,46523,34276,25465,16041,34246,27335,83445,55883,30039,57296
"g23",8771,5386,7236,7319,3081,6879,5014,6627,6594,10178,7969,7233,6315,5332,14435,10030,7068,10244,4238,5224,23134,5395,10801,5767,1776,6143,23356,6889,10022,11812,6124,14351,15748,6035,6427,10496,13340,18001,13138,10778
"g24",6315,6218,2212,2770,4664,9738,3145,2607,7566,18690,5517,3508,13730,649,10399,6629,10583,7614,3495,6960,267,28666,4550,9934,12793,3764,15995,4977,18415,1315,14776,17557,7981,14142,3965,4582,10716,8715,10889,5212
"g25",18573,8825,16208,22341,8213,13727,13379,7680,12793,9605,12799,7830,10157,16075,23010,18124,8292,8803,5723,19915,19040,8170,14852,9307,14953,9246,29025,7945,13629,7957,10671,7903,15215,9954,12012,25555,28125,9126,11346,16183
"g26",16624,8231,17286,22371,8002,7470,8024,12239,9488,36603,5640,21321,11636,8466,22466,19758,23981,15274,9069,16205,8955,18583,20050,23767,18817,13666,40772,10592,15738,27780,19485,32392,39828,22342,12765,10203,33612,23552,31199,9187
"g27",70192,29893,37464,34607,43771,19012,7000,32415,13087,63186,32838,22093,18829,29353,13835,13478,16151,42780,32592,65336,115415,45776,91752,75584,44180,67488,142228,103979,191565,17094,31422,38233,253886,78985,208881,84431,83767,45349,98591,18664
"g28",10325,7743,10027,6964,8083,6997,8660,6904,2510,20092,6446,7836,12945,4777,8797,5360,10988,10589,4283,17770,23668,3687,16584,5320,5863,9250,14943,5722,26451,25376,7157,4344,17195,11261,8909,8607,6379,7528,5019,7694
"g29",7712,3942,10763,6177,3967,7719,20394,10456,8036,38857,12469,6840,4096,5701,3638,10079,7450,18510,6457,17393,27238,6471,23974,8025,8938,22378,19400,19103,61780,17954,8416,15710,34460,8859,10881,11442,13424,10864,8052,15174
"g30",23705,8821,32770,5860,7345,9433,14874,9878,4890,17287,4488,16214,8059,11767,13197,11771,8166,16031,9091,15047,31563,28047,26318,38139,15544,20251,38832,7597,18252,15578,16765,6411,19343,14389,25162,12028,48836,12449,37411,14888
"g31",19158,8808,19612,16105,20711,26044,9376,6832,9779,9965,7239,5804,7278,7755,12311,8239,6874,13049,9233,11218,34751,18579,23421,24297,8161,10222,22565,5085,60159,15477,10346,23242,15568,11331,12617,16557,20251,12307,21980,23470
"g32",16137,3232,10838,2969,5307,22637,9515,4607,7293,681,6029,1089,922,20168,26657,8129,8271,2282,3321,12548,10435,51691,11963,7178,13561,26321,10702,8727,19665,11694,35108,7964,70316,15777,12003,31739,2109,31817,1274,9366
"g33",32602,15059,28142,17405,15239,15705,13028,9698,15441,17935,13790,9782,21925,9950,18663,10135,22879,38687,16427,46576,23408,22939,25137,19534,16391,29259,35636,24490,48495,30977,13880,30416,17278,22068,25136,15370,42897,12474,22424,31068
"g34",21451,4746,12787,8406,6724,4294,6070,7748,4523,15117,4363,8255,6117,10847,7615,9315,9830,8287,4921,17980,18527,9910,12206,12534,12684,12628,19730,8276,17006,29152,10425,28539,21770,25338,9537,16674,16312,16071,15498,13305
"g35",69206,51859,39351,8922,36830,27480,28644,33298,23267,61181,18227,35744,26345,44757,140079,38665,8144,29489,25782,78112,16639,132726,38173,69352,91588,44608,59544,29176,37490,36746,65170,47408,65368,27192,56344,67818,85276,58799,45671,30885
"g36",4616,11848,20912,25118,5616,8329,11111,14223,1237,6602,1422,4131,7530,4053,8105,10456,2769,23370,6480,15014,25425,7848,227,21828,2229,14053,14266,5969,63545,6484,30348,4543,16421,20401,33617,34492,2435,13812,15149,12222
"g37",16533,13447,7247,12242,9770,8608,16948,7106,11855,9892,13364,4105,14573,12225,17726,17204,7462,15906,16205,13038,78748,87977,42816,56293,46511,44886,98537,31412,61861,58186,41126,77106,48962,22544,34044,53862,82839,36919,39167,81891
"g38",7198,1670,7735,5474,1740,738,4592,6756,2527,1244,1167,1027,8956,4400,5675,225,2390,5735,1306,3946,10163,25679,8799,12655,36620,8382,33598,4598,3918,10549,3460,14281,29001,1963,9663,430,7254,9251,9080,15202
