"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20","sample21","sample22","sample23","sample24","sample25","sample26","sample27","sample28","sample29","sample30","sample31","sample32","sample33","sample34","sample35","sample36","sample37","sample38","sample39","sample40","sample41","sample42","sample43","sample44","sample45","sample46","sample47","sample48","sample49","sample50","sample51","sample52","sample53","sample54","sample55","sample56","sample57","sample58","sample59","sample60","sample61","sample62","sample63","sample64","sample65","sample66","sample67","sample68","sample69","sample70","sample71","sample72","sample73","sample74","sample75","sample76","sample77","sample78","sample79","sample80"
"g1",237511,110379,203369,120944,44519,165756,95116,127522,170433,199472,160157,345712,84979,61737,104554,72685,114221,217338,195353,104707,231860,181467,167174,216042,138249,299332,112475,170965,125506,64698,192157,86703,168863,515859,164790,351078,133730,162861,310737,214895,276443,125948,270423,752816,286888,380937,230158,274273,238790,305211,117023,317658,317549,190305,1159804,520188,258408,175004,373747,306332,363083,95084,74490,212401,460784,159846,86598,279059,168414,112214,573486,217205,416883,305956,501826,214528,386401,540820,174157,168550
"g2",13665,17453,1855,4664,11623,15341,15348,6788,38041,4294,16211,17346,13223,13180,28532,1230,18537,18429,20968,1421,7160,17263,26453,31804,5893,1034,19767,17551,12637,21135,4387,22566,30350,23416,7597,8763,13670,10819,20900,12611,17597,5302,20732,1091,11610,72107,15340,29690,4308,13346,12249,14721,25399,43722,18562,13971,38484,11224,6321,9234,49434,18017,12100,16536,42318,15623,75848,34207,8125,20807,22738,5158,3638,11581,9247,17653,30203,10071,20506,8590
"g3",13237,11938,11900,4544,9846,5585,11165,15428,16664,7847,8458,6125,7732,13629,6489,13675,12585,10449,17024,13029,9462,4079,3973,7153,8049,6650,12359,11680,15743,10823,8964,13770,15416,28213,12423,13025,5282,10245,12450,19432,16945,20998,8276,13239,17132,18036,11412,9347,31878,12032,28010,9868,13097,15874,21910,13558,18924,27768,35713,13774,25962,21037,13141,6104,47428,27931,11082,16525,18949,19603,21721,31355,10567,29201,12328,9177,13811,21330,25215,12111
"g4",12686,7242,7646,12899,9438,10498,3445,9880,18375,4528,8360,15137,7083,4515,7593,8164,5717,22903,19695,6186,8041,8743,9219,6324,5782,4444,4106,9351,10764,4943,9707,13051,11211,6172,11335,6055,6289,9803,13242,5451,20262,19960,21496,22925,11847,23260,26274,20946,19447,20431,7027,22198,35444,14463,19776,36757,17129,13108,43547,26944,32515,9105,12343,31178,35156,21954,17827,15090,10726,27271,12093,50554,19024,28329,24731,23774,23182,10906,21468,37271
"g5",21602,18141,22262,28506,21893,15225,12147,20515,38242,10956,16518,10495,11675,15509,3689,10794,11163,34601,18642,13323,9817,26937,14146,32140,8833,23538,12407,6994,11493,14910,16395,15084,31671,25808,26508,11623,19622,37184,26321,28699,27547,26538,49859,8530,77256,43815,34642,18028,27698,30248,56939,39348,24902,45565,57129,82939,66031,41956,64897,57753,77292,34844,34251,24305,44900,52498,51548,36216,15862,61822,29951,66267,32917,59650,76436,59308,39373,81311,38518,23255
"g6",11523,17139,44204,11626,13707,46601,32378,16572,29474,28580,22851,31592,22447,36597,17063,9319,30364,40924,18507,6376,41848,25896,16726,17212,34430,27101,48397,33740,24778,13187,20308,18922,24104,6591,13569,64483,20604,23868,32855,17601,24814,30479,34569,40566,46986,67980,40981,20486,50517,27117,35863,26905,40693,48942,34381,40495,38569,26454,30061,30413,55048,26500,29155,58475,54046,75925,38194,41238,19556,16804,40398,93625,46128,51014,77132,23733,41398,127246,29394,31409
"g7",38551,10495,6528,5208,9885,9691,4016,11302,8111,16451,10173,11380,11893,7792,7694,16723,7132,11946,3881,4612,4804,9064,6890,5065,3202,7426,11358,12255,8392,9117,11853,9813,9073,12634,15346,13373,10925,10676,14923,5147,9471,8619,11762,7871,4821,6432,7737,9473,4820,19040,15489,12373,18974,7134,11227,12223,12050,10445,8793,18393,19262,12181,10582,9266,15324,20463,10985,22210,12049,9689,10035,9711,7507,14673,16850,13935,11347,17418,6874,11330
"g8",29276,10732,4704,22327,6948,2729,6850,1554,29611,2159,6663,17770,4873,1770,4150,24878,16031,12954,7903,1445,3435,15008,1556,4055,18800,2209,6032,14521,27026,5675,4687,6535,305,19313,6371,8155,9163,3193,7296,5022,3851,3875,9803,13396,8312,7256,5839,4281,11021,12431,5403,3352,6812,17495,9849,29679,7624,9350,41631,9515,43409,11530,9251,2442,5185,330,11158,38594,21176,32865,12470,8249,1597,5942,46002,1557,35538,37463,2210,8166
"g9",22417,8622,26865,28803,12213,7149,18653,19716,6948,12071,647,12877,2215,9346,22943,2720,6397,8052,10804,12631,23468,14226,9165,1275,6973,22706,15417,12461,4757,7707,4851,11112,13335,27351,6043,7611,14020,4910,42322,24707,24663,18437,6034,47148,24929,54087,23980,32634,10021,10825,66205,24254,7064,9114,11574,44303,23991,42510,104672,36145,93325,47244,25989,29395,30417,33073,20192,118357,30820,13706,14827,23734,76813,132787,95514,16458,10631,47891,28492,14579
"g10",11839,10257,25891,23917,10909,5287,6082,5230,25339,7080,8781,13840,6529,12689,2181,21720,13856,9692,7542,3663,11070,18422,11298,8155,9899,7382,36835,20768,22815,10445,2454,12653,14472,4852,4671,5630,6596,19021,7207,11838,16000,14920,29306,7933,39641,22571,27769,19556,11325,5712,41264,18119,11607,8507,23111,16312,24373,26525,19373,5524,19100,30953,8302,9766,8270,30422,20721,13970,10153,47253,26655,17641,29143,23752,39091,19794,27026,22825,11523,29556
