,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
g1,389327.6582302119,2.5804004367476043,0.07800219307136934,9.766249015803,1.571633395278474e-22,7.689008783162789e-22
g2,691.7735039748351,0.7401638089911436,0.12548247017401393,6.05681615484246,1.3884211443736223e-09,4.30919039222105e-09
g3,4719.806823843858,0.5554920860668788,0.13599466050671785,4.0870810945979965,4.3683445904741335e-05,0.0001181911415171573
g4,14878.3166831939,1.3656424677102355,0.06397999330024563,22.13861529596173,1.3429943055622174e-108,5.246071506102412e-107
g5,29546.01017971028,2.5461569809611695,0.1320862871910028,11.727418182770663,9.222905462549611e-32,5.896998377589266e-31
g6,1376.2019647190705,1.7608668052814316,0.40110272381207307,4.835524979561481,1.327946963433062e-06,3.79413418123732e-06
g7,1678.8985913621682,1.3453197069940799,0.16400827914162214,8.490360476736768,2.0599713202466135e-17,8.526361119513132e-17
g8,18660.57416008142,0.673656180500716,0.07738814195552374,8.261391846022315,1.4398357537898357e-16,5.787121196904484e-16
g9,21250.093131034813,1.1400319020615632,0.07293516197413782,16.925372596259933,2.9249025632954316e-64,4.202446211631367e-63
g10,2182.6641858887374,0.7039858025003486,0.13039574878481153,5.642114694119381,1.6797413678733606e-08,5.02615609776589e-08
g11,55334.13596566084,2.8471367601818702,0.08847068653454873,22.125173133496535,1.8094213648805048e-108,7.013261104188003e-107
g12,17440.3865068943,0.6889016880248032,0.06401893483285316,12.459457956649047,1.2421198467742518e-35,8.884977444737138e-35
g13,12033.372422760753,1.4341353180659488,0.24714228138350386,5.2725309317833995,1.345551502468052e-07,3.9343611183276376e-07
g14,139126.42794455896,3.8233007361124867,0.07767146394072286,32.55125166022012,2.0101322720998467e-232,9.136964873181121e-230
g15,7079.962736192887,1.0215206162162536,0.08511805924264194,12.228241168275456,2.1964299884540695e-34,1.5085370799821906e-33
g16,8017.504620201492,1.5427853508342324,0.07159330092325372,22.171821889043965,6.425629942755369e-109,2.5498531518870513e-107
g17,14985.152212407014,1.405369316251232,0.08530867209854794,16.276020340851694,1.4606437759684403e-59,1.8396017329577335e-58
g18,7875.768662146146,1.0407248270946352,0.11414959828449066,9.469280023986084,2.817791336360978e-21,1.3167249235331673e-20
g19,710.4042653125257,0.35719266585610815,0.1870762051373434,2.0998811033336358,0.035739301437308676,0.08570575884246685
g20,28630.617757705724,2.0527559834701936,0.09102247502762588,21.290420720355474,1.3927209989680235e-100,4.581319075552708e-99
g21,1453.4242359752848,0.6746456524132514,0.11777366116850191,5.964542686384492,2.4532013297763255e-09,7.543669525757458e-09
g22,48262.32681170778,3.3588240242217826,0.17344403340397055,13.570795043356428,5.967125828970975e-42,5.08273068907238e-41
