,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
g1,220753.198390471,2.660611518929866,0.20431711171761116,5.545925976332029,2.9240252079809545e-08,1.7635857707967157e-07
g2,20885.18923647912,3.251486681405252,0.35763729610130973,7.6313763425168775,2.3226055945757002e-14,3.0560599928627633e-13
g3,7807.974864619461,0.5992051737444173,0.18022858518326176,3.271933533618565,0.0010681468419418173,0.003225081044510318
g4,11899.419128111555,1.5821095813473225,0.20096288784693653,7.900890028826537,2.769188939223374e-15,4.0485218409698454e-14
g5,20355.84782939306,1.1571964815557765,0.19245509135838065,5.672558078536892,1.4068080274046459e-08,8.792550171279037e-08
g6,19768.270543604962,0.7049219117305652,0.1971686634285597,4.165702701521825,3.103949881911766e-05,0.00011883422212525904
g7,7429.279704610255,1.2287917598479694,0.18146891397775802,6.810803795523308,9.705492540732446e-12,8.92048946758497e-11
g8,10645.065819493238,2.186723706203295,0.3735363228316747,6.1229141095285895,9.187922889401802e-10,6.5628020638584305e-09
g9,18605.854929262645,2.109662298104594,0.32970404183237617,6.22606537021536,4.782945663420094e-10,3.51170753555073e-09
g10,19543.812342337962,2.2606858431024572,0.27277535247296986,8.391000207227682,4.820234859011699e-17,8.583548751832858e-16
g11,17240.268336329285,1.4669106700211498,0.2572632374108626,5.280369178611895,1.2892384916838616e-07,7.083727976284953e-07
g12,8897.31096072571,2.2045148208299916,0.24461817184444024,9.291407708371748,1.5226102306948612e-20,3.6080811153906666e-19
g13,7664.259435314876,2.4678789884085086,0.36471292880082967,7.093148409963564,1.3109473704482134e-12,1.3712838603014785e-11
g14,14115.228337990446,2.0452484704688274,0.485759287353591,4.04774084869472,5.1714357592090426e-05,0.00019181883379855498
g15,4157.0963652794935,0.7418224588411882,0.35982598123347237,2.5600902524939633,0.010464498305258555,0.026452220185183405
g16,9697.558885072189,1.065153431351742,0.18898606920261307,6.0816574114308795,1.1894650896430038e-09,8.400177186744377e-09
g17,21999.532749341546,2.69633469264272,0.8083430906128541,2.4960035137510905,0.012560135737119496,0.03122858214102311
g18,10282.712927946088,1.025258381801767,0.269273558613094,4.132290029678234,3.591668185547799e-05,0.00013666926124611108
g19,5884.620421123439,1.3125231904426056,0.39268848804308404,3.661311630262587,0.00025092731972309605,0.0008431697571340594
g20,13721.086901519177,1.271719633155118,0.21835679076331885,6.258870232286692,3.877763670770674e-10,2.8809536929945574e-09
g21,18539.913811044553,1.9137508475054172,0.17318116622771737,11.381041189453502,5.1975457113233806e-30,2.6518090363894802e-28
g22,11908.710175443313,0.848409333446478,0.16266987692625312,5.159279521150408,2.479019658174494e-07,1.2968013052466206e-06
g23,5228.022561847496,0.6889177552881548,0.2205803865169757,3.4712286302640956,0.0005180826872567704,0.001643663347895845
g24,7009.780608600495,1.7350138746143564,0.3078485168949121,5.901971270623806,3.5918372321690704e-09,2.4138691076405045e-08
g25,9345.23146293434,0.8073744406398501,0.1602881398664961,5.452839056365156,4.957193195944298e-08,2.915995997614293e-07
g26,9568.82412508974,0.08049169541941666,0.1955326363602954,0.8556653382780769,0.3921829179287212,0.5705308669315118
g27,19477.82766026426,0.40270492322091106,0.23740426022032143,1.5502279322499457,0.12108681782437178,0.2319670839547352
g28,9435.238142451688,1.3072837332391944,0.20614898984693789,6.741741965796665,1.5649883802139577e-11,1.3923384165604605e-10
g29,6032.868904032059,0.6940351550520856,0.2723524095575178,2.929832753863411,0.0033914448383272,0.00946513732144223
g30,13038.335781286447,1.3920419392328005,0.17313919466449312,7.868899351129776,3.577748558632966e-15,5.170156876637234e-14
g31,11120.309524874723,1.2117991688860135,0.1821445106235104,7.08825314518682,1.3581537278060723e-12,1.4163287313913345e-11
g32,10945.542020950032,0.5337094913696836,0.37824153169248226,1.9947192729427132,0.04607350616204545,0.10117151111560266
g33,15334.24288519246,0.6205226148343211,0.17307817285063648,4.106330222813927,4.019946797562332e-05,0.00015146747541681734
g34,8386.926435529482,1.1628293897647,0.2178941732223736,5.775720747626037,7.662436706835524e-09,4.9691548033952813e-08
g35,43270.67374224837,2.3654734283261956,0.2226964562763195,6.244306191994984,4.256853817691128e-10,3.153225050141576e-09
g36,9556.607159649211,0.4933672703430864,0.294182525976932,2.018255880451396,0.043564619062281526,0.09663846287107704
g37,11012.171958616409,0.7055624230891272,0.13950478795784255,4.921960524995109,8.568149941155047e-07,4.14721681566072e-06
g38,3484.941739371346,0.09324013068345953,0.376946656527972,0.264378793835282,0.7914880504404375,0.8899123571401366
g39,3140.083596957068,0.8042361034065457,0.4145291799994426,2.480138330207049,0.013133142144542947,0.03257227714420374
g40,3168.05246031142,0.9108566848861245,0.8881461636518239,0.48319903069081077,0.6289544235286626,0.7780237797237292
g41,11790.454175397328,0.6905792222891768,0.34726902994192355,2.516745397580449,0.011844438531975662,0.029611096329939156
g42,7669.391388186639,0.6137070682268857,0.31333029676974034,2.4068187004995343,0.016092156364515487,0.03907760166225227
g43,26908.767389683042,2.2401150797838896,0.2618615109798538,6.7814112665520705,1.1900756312799372e-11,1.0779670573187838e-10
g44,18998.864281630627,-0.32007540377880667,0.3378964658370993,-0.8787498707313146,0.3795369119864722,0.5578286082223314
g45,13867.673907621229,1.2056756760235918,0.2786860412533758,4.735960567218389,2.1801997955815962e-06,9.955250208135142e-06
g46,7914.283089809765,1.7130190415805056,0.3487680650256377,4.959418722098512,7.070442174811577e-07,3.46590302686842e-06
g47,26033.213749312814,2.4062011878805385,0.33644942269206424,5.300856841008145,1.1526044460264365e-07,6.41048078991344e-07
g48,59102.05664461494,2.874666002863159,0.22777132193021357,7.51466790279948,5.705558073886327e-14,7.167786524982823e-13
g49,15658.40414791433,1.7689764210669212,0.23604735640481073,7.399430047197623,1.367702476676089e-13,1.6638716261266289e-12
g50,8215.179735379055,1.0643166787356553,0.2728031615336716,4.368293280027622,1.2522126477085186e-05,5.0209007526404115e-05
g51,12826.253624323608,0.9908303449880764,0.16628897378055202,6.543343634027411,6.015838118680834e-11,4.996543287940892e-10
g52,7076.371759022845,0.7227855837966611,0.20023958948037218,4.020558343695252,5.8060367166769356e-05,0.00021456159337313139
g53,23734.13745211485,1.438132861380604,0.18632221345147346,6.949714368392122,3.660265381415899e-12,3.567510118339082e-11
g54,9216.004059086017,0.226133101407991,0.4170014228121635,1.2002784497869712,0.23003121637880797,0.38988341759119993
g55,8543.917907843515,0.9320196244726481,0.36048468741119793,3.088476033199734,0.0020118592050498295,0.005814621979912803
g56,26586.88496302379,0.4945243314708548,0.2228890617303056,1.7064172628642071,0.08793041875466708,0.1774221524509021
g57,18082.43673824301,0.17883299422483728,0.2752316835756933,1.2037681478199493,0.2286792040769049,0.38798643379183045
g58,12471.946272420751,0.47471446697616293,0.24333281673338913,2.491598512933593,0.01271696956816015,0.03159546112737123
g59,11362.553809231662,0.4857908664635222,0.2694321348532815,2.172079449176134,0.02984967078121642,0.06858839793478037
g60,9495.558990723424,0.9456583912470583,0.19219589477657784,5.385090619883897,7.240815846314105e-08,4.1518439485746013e-07
g61,11090.977500012083,1.9079057795883154,0.3657343691705008,5.53024745340325,3.197793703430037e-08,1.919443999657885e-07
g62,13856.570441284759,2.087136572484277,0.3443384040306912,6.21199617395909,5.231570132876369e-10,3.824247173155241e-09
g63,139390.4709595411,3.3355950723725263,0.3554718634395113,5.8606098508094,4.611703400614388e-09,3.070375100275891e-08
g64,33597.40353812263,2.263522972439215,0.3295747653901075,4.55477207089683,5.244240980437599e-06,2.233492751464054e-05
g65,8402.179399035751,0.43913621485095616,0.2777123507854559,2.1280744021328037,0.03333091528731978,0.0756832772191639
g66,6640.132406765956,0.21587449604344733,0.2733960205483435,1.0580935132804234,0.29001281144791924,0.459317091301741
g67,11729.611722858277,1.1913937157525074,0.3037171057504612,3.5797579980913175,0.0003439125547343398,0.0011195070141091792
g68,4442.178494665674,0.9016397276947401,0.334594873236623,3.1619187687853683,0.0015673327906057866,0.004615232010028818
g69,41334.11893533874,1.6056466315245843,0.3200254671615746,1.9958970969372458,0.04594512477938704,0.10102270180164256
g70,790268.9869231721,3.2341944275941827,0.1436525038784259,8.041008504950229,8.910207260131955e-16,1.3665962055417109e-14
g71,395681.88860338693,3.015176257395617,0.15570559148609175,6.0469433738024625,1.4761961165389456e-09,1.0341779188310196e-08
g72,41785.12262124122,2.663398862135397,0.5894009060850961,3.3889323537984946,0.0007016531773700735,0.0021817573923198805
g73,5463.6176042222305,0.5379256778265555,0.19532356352023675,2.7490368248358443,0.0059770670744315624,0.015888003919275816
g74,71864.34601070979,2.4883501748755488,0.24256683961463918,6.394533028411385,1.6103873881920458e-10,1.2483623164279423e-09
g75,100658.23170558017,2.737640102857862,0.2407454108596099,6.6981174312052625,2.111215862447022e-11,1.8358398803887147e-10
g76,9238.40061731553,1.3624663764766651,0.14359951411756142,9.651707671705411,4.834387774207915e-22,1.3354662359690373e-20
g77,15349.09123154647,0.651556886668569,0.18720921117275302,3.4293240830954423,0.0006050865430831383,0.0019027878713306235
g78,13682.403707334233,1.7381504332054418,0.14700797449476702,12.386836762685618,3.0795254473114924e-35,2.5660870216728613e-33
g79,43218.31085177084,0.7294252325728445,0.14860945562828926,6.17358932664175,6.675680477423012e-10,4.830448970638937e-09
g80,42920.61475118516,2.053722726133517,0.1924755437990476,9.742114288589947,1.9936254110225765e-22,5.76192315324444e-21
g81,6488.172627424192,0.6415775016516612,0.1695450753340975,3.846426612134877,0.00011985300730512607,0.0004247094518253936
g82,19164.952453993406,2.7447070524365973,0.158044615125551,17.602490894867174,2.357248465781977e-69,1.6837489041299838e-66
g83,9609.866239296072,2.413732179221051,0.48221458494723973,5.157228086951203,2.506324302048054e-07,1.309469332313508e-06
g84,5684.326850021904,1.3949296330973566,0.26290747054751157,5.401409949989939,6.611912850387896e-08,3.8352162705266216e-07
g85,7302.508162741453,0.11931597057785527,0.27673824454422613,0.84031350143239,0.4007326332938075,0.578758858021097
