,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
g1,3380.401209790635,1.10572821206477,0.5558162541699277,3.0810049097772296,0.002063032469765868,0.013220158924845809
g2,1794301.8856255524,2.3294575284906993,0.17530653441606053,1.7265695609985443,0.08424499653133428,0.24457961722891727
g3,4497.903307265366,1.2996844808918462,0.39202221569801726,3.9345656784145557,8.33472756557954e-05,0.0009292136791514142
g4,17557.722206577462,7.879577680801434e-07,0.0016380060402057708,0.7231335977102014,0.4695978095712052,0.7285689761531529
g5,758.9597110418447,2.195350854439878,0.598107882092148,4.309873547145166,1.6334792268384093e-05,0.0002286534598974591
g6,51387.471259995786,2.6694479790459407,0.48411935717704085,3.617637992671617,0.00029730382950534577,0.0026775200741337296
g7,50785.47260164999,1.3130321693850477,0.23471464728749097,4.18147409827833,2.8962524904765915e-05,0.0003792952497353405
g8,112381.897247198,1.9612658517036854,0.44719325716526154,1.2014365452193536,0.22958190714225113,0.4908586796079434
g9,2111.17175288489,4.622349395989135e-07,0.0015473599504111926,0.4043104225740746,0.6859844621190211,0.8650150572004367
g10,547.1795597599596,1.4073240556221172,0.5006886439117335,3.627530211825308,0.0002861453012588611,0.0025925974576293787
g11,10537.855123175701,1.6382945461568878e-06,0.0018115362890237495,1.6479113065439335,0.09937087289910143,0.27315604750174627
g12,158208.72248234792,2.6912963472572966,0.2872827286763047,5.230686366838989,1.6888182183300285e-07,4.366177445492893e-06
g13,77139.89434164148,2.2210015287111355,0.3049682807805886,2.906511831717232,0.003654830767695699,0.020917628763968323
g14,11931.924201003658,0.4748220211801396,0.7089347810859064,2.3604993737571434,0.01825034913354875,0.07570234723584054
g15,194511.10091097548,2.680128994491301,0.2371286830500978,4.149932454533543,3.3257339939197204e-05,0.0004262340276822753
g16,118488.41993002307,2.9667422733479247,0.23020516510278652,5.682610673026057,1.3265401512759038e-08,5.83121102732066e-07
g17,40395.84018104231,1.575728390712344,0.5789792083047013,1.1327362901641698,0.2573250130064825,0.5193255141362322
g18,235366.57341631298,2.0498503664706007,0.2979350212733412,1.4133107838385304,0.15756436460843615,0.37802842356856
g19,38637.13513271476,2.4643351902425796,0.3339829802490389,4.5303486563113875,5.888642565568861e-06,9.197937007365112e-05
g20,1406.4028812412957,5.992613548928124e-06,0.0018436842253032875,2.7380963959172595,0.006179595977608204,0.03135805133138241
g21,29692.97604525426,0.3727963545613175,0.27909864426232855,2.385983323744547,0.017033523437478486,0.07154556973249017
g22,62402.61782471104,1.9471003706814956,0.30914399742549076,2.3642086845393644,0.018068631438037126,0.07526086900371297
g23,48088.631675766366,2.0962725429905507,0.41754116372313016,2.990529993383737,0.002784937779603327,0.016670715371318118
g24,7091.334742851986,1.6002842986528736,0.5518967987548147,3.709353596798781,0.0002077890669812049,0.0020232448437553035
g25,75375.75509045356,0.7809119055079884,0.2321800920906544,0.11805573336061881,0.9060234977570992,0.9662747047558821
g26,11847.644351361501,1.9111610738647202,0.5660681044814683,3.9131798000051523,9.108865929899296e-05,0.0009969886468528463
g27,171082.6602272676,3.894997727916518,0.4591712963721565,5.456133865961916,4.866131295540247e-08,1.603684368717055e-06
g28,127180.70436325448,2.433748861005259,0.37171330532075014,2.7397789938268824,0.006148051017951739,0.03128602241714109
g29,14818.131308550777,-3.0239154054348433e-06,0.0013745115309534942,-0.4949464559955392,0.6206379168850944,0.8302494864176923
g30,1457.8883141067695,0.5908919249492423,0.4507600460006445,2.8414140042180707,0.0044913963437505,0.024851840654811348
g31,23596.714190950974,1.9491086168074443,0.8542751305482443,1.657187333467732,0.09748160660904323,0.2703030512707567
g32,7182.46925684773,1.4313783286718823e-06,0.0023213427110356038,1.8295084904354781,0.0673234685661002,0.2080972460853481
g33,1364.325327033874,0.7763339746885692,0.38692707184715625,3.0845199053283463,0.002038809665057485,0.013166185467301065
g34,109796.76616150953,2.1928942073023867,0.3101141142464371,3.496830632726198,0.00047082064744475644,0.0039221975602411795
g35,98917.9427396773,2.0737080595766413,0.3780665548247581,2.191848322071185,0.0283904606063411,0.1070981023376314
g36,6699.231034582923,5.944184238929323e-06,0.0017591469110841385,2.203187240091954,0.02758155427990461,0.10486090159451698
g37,63716.30390754998,1.910067346179307,0.4205892391876377,2.1032987603871383,0.03543966174939073,0.12731728082933574
g38,77565.98442801813,2.8701274836767223,0.4494489665709997,3.688454959060176,0.00022561995515934564,0.0021548861322384636
g39,35963.07710804352,1.8502272243142561,0.37972020599293316,2.061565173188524,0.039249152616120386,0.13799321066324155
g40,116729.38386046684,3.1390032106243884,0.5725872207455385,3.5125267026485103,0.00044386739919984345,0.003728734818488321
g41,44134.3271664628,1.3991099184440925,0.7305979137199422,0.47364795649671265,0.6357509714592254,0.8373373576663228
g42,16889.79611180294,0.6212848038293803,0.46530400008229733,2.639878457343983,0.008293576503541511,0.03973232577335622
g43,39774.01097433615,1.3910268129220986,0.35206404368269983,2.34195121162315,0.019183222398087042,0.07902539007124045
g44,583.9094792651549,9.633458956179684e-07,0.0016531994052190937,0.8091301741233328,0.4184402736392009,0.6814339391392344
g45,2558.1829840924274,1.3095114434812837e-06,0.0014433969157478554,0.007335282797096635,0.9941473435921572,0.996715996181741
g46,6777.429868402534,2.044583833243571e-06,0.0017726803286794845,1.4321324392190804,0.1521059222827675,0.368172446267974
g47,1038.120057871061,1.7206845589704554,0.4552509062588148,4.401237867380892,1.0763504749850356e-05,0.00015980074626139215
g48,54772.26135151298,2.3514631166394575,0.29711911620713194,4.345471984687785,1.3897650935695082e-05,0.00019847169121975977
