,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
g1,703892.5320223377,3.0566726484510696,0.0605577991794585,15.051958091869881,3.35165067798568e-51,4.1549388570070417e-50
g2,1330.9592646735196,1.114310289151562,0.1212168338063969,9.477391601380347,2.607186087038705e-21,1.2554668155884613e-20
g3,19874.023321531782,3.049089352008347,0.1358836616976684,16.980504973809207,1.1449666468734275e-64,1.9297190677642036e-63
g4,17339.390439271374,0.5566022003186,0.06304117466107537,11.04241442719767,2.385359775557582e-28,1.4724443058997418e-27
g5,41883.09043646301,2.1311188324408925,0.1388106407879088,8.962406055714041,3.176695959211008e-19,1.4417682114422123e-18
g6,1789.843376745836,1.337149258520972,0.38371566986269323,3.974734611585057,7.045777770397989e-05,0.0001925075893551363
g7,2815.7983573446904,0.9716066069845722,0.17982535329314978,5.469013669664917,4.525468499848145e-08,1.3455307729974663e-07
g8,41240.24017508379,1.5125779657163756,0.07991939877299623,13.624961797290455,2.845591435725167e-42,2.6026750936510673e-41
g9,31458.796039687866,1.351911604229746,0.07905836380704236,14.502520830203734,1.1678108897012379e-47,1.2693596627187368e-46
g10,4133.895860418982,0.6827978287100218,0.14229380782017872,4.936596426372501,7.949773999201804e-07,2.2778722060750154e-06
g11,66598.83935640019,2.3379010332210775,0.08705093002197954,15.060404487926009,2.9497674763782006e-51,3.6872093454727506e-50
g12,60387.6445382545,2.0824462743318164,0.06257301784171329,34.22446696023307,1.0461642435647228e-256,1.0461642435647228e-253
g13,24268.678636224708,2.0039902891947716,0.24915661790867477,4.535839742212219,5.737473585021917e-06,1.6071354579893322e-05
g14,154358.56821696245,3.477051559326099,0.07765837782417279,26.316481526721912,1.2422306115649854e-152,1.5527882644562318e-150
g15,11553.127635149724,0.9658840368228531,0.08501420585462054,11.139423632503664,8.063952292619077e-29,5.050492041306311e-28
g16,8903.999222122397,0.5900370209222913,0.07066597679047464,8.170270668475471,3.076983287360943e-16,1.26278383886222e-15
g17,28498.099029752106,1.5320368859103388,0.07881574832543034,20.1096113438606,6.079832961769535e-90,2.0493818972256862e-88
g18,12186.730512677741,0.8737309026169366,0.11495030082419297,7.822710625288241,5.169785295611918e-15,2.0300204040360933e-14
g19,1351.801938720539,0.7813802176934398,0.20106137338374686,4.2022141806993245,2.643168697515092e-05,7.301570987610751e-05
g20,43294.111003615726,1.8382120382021996,0.07942131705297799,22.75271789411205,1.3488015082717353e-114,6.858312753924077e-113
g21,5081.530055286337,2.097398914022816,0.11758129920596509,18.05549598211382,7.141754183631509e-73,1.4878654549232309e-71
g22,40255.9557768838,2.406873358051641,0.16799917522649585,8.716031884330581,2.881222054935391e-18,1.2748770154581376e-17
g23,79995.8215915119,3.1525280565648046,0.12297162275225253,16.83904508692699,1.2625751154057584e-63,2.0811677726468544e-62
g24,6927.488505142288,1.183519969592877,0.18559097873952998,5.929176525070396,3.0445764631149535e-09,9.504401029495172e-09
g25,13672.612839832378,1.5474896812165355,0.33863606434056354,2.491772003613009,0.012710760040587857,0.03169765596156573
g26,38130.72566655476,1.6964693352812497,0.10658097451441656,10.545702345453616,5.317405630513019e-26,3.0443162006753925e-25
g27,45286.68773148847,2.060492000583706,0.11690713157792032,7.192480669487849,6.362457773969257e-13,2.313621008716093e-12
g28,4848.864083334727,2.382061700717878,0.1911507747615498,12.323853381228444,6.739528014294726e-35,5.004600010614896e-34
g29,19878.91147476198,1.1729914036218925,0.1081168247672719,9.534014776267524,1.5131547917329602e-21,7.321716734191743e-21
g30,13329.67632509408,0.883937009333408,0.16494522030550293,5.514670597362738,3.494338108148257e-08,1.0430860024323155e-07
g31,9089.493546481588,1.0875436849430202,0.09108271328941085,12.583745807086558,2.594304304351062e-36,2.0007488208362944e-35
