,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
g1,244997.0985251271,2.391426530199876,0.3598526275658893,2.9484329706245895,0.0031938939374743978,0.011558120400992996
g2,20640.68949649955,1.1840203631239352,0.48461503018542296,2.5158579079729653,0.011874304469861,0.03706858835544537
g3,20797.16297746982,1.6218188016818056,0.2260783762048723,7.658743966484542,1.877602891754968e-14,7.823345382312366e-13
g4,12138.798262866107,0.9047859538244234,0.39279898030012494,2.5260984113303837,0.011533716768145044,0.0361181109649636
g5,27188.3054355374,0.6541160119836963,0.278356921823521,2.819283805900611,0.0048130941568295905,0.01665430504093284
g6,40743.04556817657,1.4404637614651041,0.28054242227758885,4.497906348723275,6.8625912349801394e-06,5.095983590331787e-05
g7,15358.695724016094,1.172262913259936,0.24175229406594867,5.383563249749974,7.30255703249089e-08,8.361706525752928e-07
g8,13369.475187825567,2.0213864448512,0.6339930439151841,3.398480891613811,0.0006776119636926654,0.003034083419519397
g9,20156.14628369401,1.1888698591896738,0.5454975319067423,2.150638096878776,0.03150477587610549,0.08553332817042215
g10,20981.65500519622,1.1705740839542866,0.4088672864733069,3.1642788388411427,0.0015546776905780817,0.006195388982334164
g11,15247.892756281664,-0.5654371832320441,0.4140959221261772,-1.7537268339003778,0.07947732526302512,0.18228744326381907
g12,10426.60117339186,1.4156200815523599,0.4155444770185655,3.685332852198944,0.00022840394127510274,0.001161375972585268
g13,7298.576284228309,0.6475643452691328,0.5572027579784995,1.8413904732219055,0.06556435789065286,0.15660855563143108
g14,10989.827561203721,0.36208633651875244,0.5381766376722728,1.4214247621592804,0.1551933119741865,0.3097670897688353
g15,4170.833119565656,0.6799472153229709,0.6007366203368705,1.6764217934859704,0.09365560307412928,0.2079136652611675
g16,13950.314759869721,0.6879726583416831,0.3076459753177336,2.7674867605276847,0.0056490339891883765,0.019214401323769986
g17,27017.85090881174,2.9634626738037824,0.7315319046172979,3.113793920903518,0.0018469844459613662,0.00717740069674106
g18,17484.05762170234,0.07775410090592563,0.3098400279025184,0.7839713253968067,0.4330569359435036,0.6198334006824956
