,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
g1,1018.6366015188353,0.7320181950825907,0.24446063003503626,3.2477542242028656,0.0011631969911262024,0.004914061204235751
g2,779645.4998681279,2.275743652718605,0.1709142107329281,2.867367329945096,0.004139023006150608,0.015374080700743363
g3,1659.9562738774403,1.2281176011350174,0.25889809118793045,5.021093998412072,5.137800707871107e-07,4.491084534852367e-06
g4,4351.762057922831,0.7730675046427923,0.7288505780103653,1.7638632613253618,0.07775500355545226,0.19875929766828812
g5,270.55741612966216,0.8739351073425792,0.41968272299448206,2.6113764033840585,0.009017857810600258,0.03113901177693459
g6,13017.225312221282,0.9888253372401894,0.2853437746174303,3.931549017318315,8.440028276478315e-05,0.000467850791379064
g7,23482.266352789033,0.9042417907905925,0.1744605951007364,4.7534615902572686,1.999631070808024e-06,1.57203700535222e-05
g8,53906.54057475702,2.3093589108796673,0.2985549814789209,4.529442854232845,5.913942647716356e-06,4.224471448253766e-05
g9,2234.8657692331085,0.46568985884180686,0.7498624240701204,1.251201668852148,0.21086090952408998,0.4251228014598588
g10,149.3246366754814,0.008106545255414127,0.38190900405788397,0.02749684971494176,0.9780634524621317,0.9900496802868696
g11,3577.9129935019614,0.5828231486612211,0.3922873272579078,2.016902581814161,0.04370568059970722,0.12263097811365663
g12,57793.74230156926,2.538059326044843,0.17880116682494535,9.52175973976335,1.7027092860828977e-21,1.3513565762562681e-19
g13,31872.431228073325,0.3718654774390519,0.2051509750655455,1.1532512764037215,0.2488072624947909,0.47482302002822696
g14,3572.8119477480786,0.5784956416391344,0.32601096590420775,2.187735500494247,0.02868887455195641,0.08641227274685666
g15,72538.95491581406,1.7183371470166524,0.19583278230624693,2.5266339106806135,0.011516147602766478,0.03856713865628426
g16,51437.64054566098,1.2129388738308038,0.16098175239821683,7.7140040007606565,1.2193064923321538e-14,3.933246749458561e-13
g17,18452.994725422097,0.7671191673661711,0.45616842927886636,1.3833327521924106,0.16656285984657315,0.3571244850912803
g18,114608.70201782747,2.5402820652418354,0.18761863698180756,5.679731901492555,1.349060296358443e-08,1.609857155559001e-07
g19,24837.118280394065,2.433617654699776,0.21630422040619215,10.244337396401027,1.2548170041935139e-24,1.6956986543155592e-22
g20,640.5618562641404,1.0210561661613418,0.3423186025355839,3.3959615373122887,0.0006838796881494672,0.003055762681633008
g21,10646.43169703173,0.4826709882580405,0.18815826660920804,2.564048325728631,0.010345913852612595,0.035238126200996575
g22,25488.002485690708,0.9323195612673181,0.177489465414081,4.31666304362604,1.584056863854025e-05,0.00010326315931251793
g23,18815.90851129288,1.1062805561311906,0.2526594558988963,4.826230167256334,1.3914169394500446e-06,1.1239232144184527e-05
g24,3338.0262601188006,2.413428778927579,0.4080767405189109,6.273546766835517,3.5291485764814e-10,5.637617534315336e-09
g25,30341.203937525912,0.6920914202395768,0.20681183621930566,2.6239093294535447,0.0086926922711873,0.030120208839872833
g26,4623.609617549454,1.4814155262492616,0.24267355316058142,6.461081189190696,1.0395752164712646e-10,1.8238161692478328e-09
g27,34201.03095995942,2.2311823886013165,0.3957364951192671,3.496579309750577,0.0004712643835354474,0.0022021700165207824
g28,86414.1043967566,2.9593732640532693,0.2759352306209963,6.437434265324169,1.2150991784528318e-10,2.102247713586214e-09
g29,9898.536012974675,0.36535529062700484,0.42295889756957755,1.5210942966665322,0.12823617551159275,0.2937154729995253
g30,801.9028772378903,0.9080568038182001,0.26649532018088484,3.713806879639536,0.0002041646186504549,0.0010259528575399745
g31,23537.320918726255,1.9268934987702782,0.6593576235763803,1.7815694608235735,0.07481946826561331,0.19243690397534288
g32,2548.350717401704,0.5585142770573129,0.6594062742127014,1.5395166253703472,0.12367822230285971,0.2857629905334097
g33,563.0795610899795,0.7717404147387777,0.32157460952687544,2.757910984497892,0.005817203643294532,0.02095534453636359
g34,42171.28941862442,1.8652552831461633,0.24148004655835692,3.057625665992239,0.0022309807596505005,0.008797242743101343
g35,69568.09675672554,2.2102629369650884,0.2844137328221227,3.9728442146108014,7.101949972565856e-05,0.00040033539867902234
g36,4464.342537101789,1.0359720057673263,0.3912733342242539,3.213537887292285,0.001311104991234048,0.005472057559407546
g37,29058.2382490902,1.9755996669481215,0.2500480845552233,5.910246256248975,3.415966724225399e-09,4.5065524066298144e-08
g38,19055.81206984095,1.041653733903351,0.32723269216343664,3.219474428772456,0.0012842581427478183,0.005364486811812107
g39,10951.099639401955,0.9854693425086878,0.18902638998143942,5.301383528519201,1.1492836014520443e-07,1.1267486288745532e-06
g40,49267.62827256031,2.3344768559974045,0.3457991399323454,3.868945220443174,0.0001093071944760556,0.0005895749432365459
g41,21577.8131724982,0.01664993613870171,0.33806692265296084,-0.05134171967517178,0.9590532244294173,0.982233945544262
g42,10155.865401130122,0.39766344680337656,0.28745006722726374,1.648002507249449,0.0993521566834092,0.24185043009593282
g43,21131.198174354806,0.9936895207338798,0.18375907304087058,5.953869910570453,2.618749896684422e-09,3.51982512995218e-08
