,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
g1,1830.928676440982,0.5629045842458706,0.17557909807068517,3.3837271901629458,0.000715090179040666,0.0022653331965385407
g2,1468875.814792675,2.5558780865485673,0.09644081887800343,4.989332373981295,6.058832263157828e-07,2.9316930305602396e-06
g3,3275.220884889187,0.7418902744681285,0.1978557110863472,3.9292089543359623,8.522575931831119e-05,0.00030991185206658613
g4,10942.035004058287,1.833801614906737,0.5440361868700684,3.2558753388042687,0.0011304337247313749,0.0034429453545118016
g5,545.8978148161826,0.3767545533633401,0.2461020087864754,1.6912068753253415,0.09079729835061448,0.18454735437116765
g6,22208.241442082057,0.5800703391297711,0.19924547822093286,2.9801591622442998,0.0028809864866144834,0.00820793870830337
g7,67670.55027920795,1.6767779476688147,0.11491715655519011,10.83570178146171,2.3317064472684102e-27,9.204104397112146e-26
g8,86227.78153666429,1.87477149764902,0.20374760815938942,2.7470685502482994,0.006013056512638467,0.016354641466831733
g9,6761.826186470913,1.6125442486421975,0.5786814018168158,3.255232108823599,0.0011329972826793955,0.003447253395576254
g10,432.2019554406963,1.4051240339302515,0.3041256252536383,4.977930832674548,6.426761259155274e-07,3.0848454043945315e-06
g11,15524.814329872126,3.293114964004409,0.2531938849472096,10.186405711043738,2.2803995386237877e-24,7.356127543947703e-23
g12,108621.59586623001,2.4146835849514043,0.13854153873856465,6.870537524493641,6.396043598628722e-12,5.3598130714765825e-11
g13,79414.5262128924,1.9848991752903637,0.15036269367417449,3.81978182570551,0.00013356976735105457,0.00047031608222202316
g14,10801.36276851548,0.505495605034927,0.19757924157355683,2.6848660513617264,0.007255887942480148,0.01940076989967954
g15,237212.4025044436,2.7975388786411592,0.13374512940057845,9.791089037130579,1.229642445204847e-22,3.2359011715917022e-21
g16,83443.82982010815,2.018461963553783,0.1411069453903966,4.887638531034408,1.0205268268502874e-06,4.783719500860722e-06
g17,59059.20397293735,1.76646895416967,0.3579788314893102,2.1598440008295006,0.030784748077567415,0.0719269814896435
g18,302817.22798828373,2.7926118903697352,0.13001869125901944,8.663953544474447,4.5567913340100806e-18,7.552692818801239e-17
g19,27509.83501833133,0.713360518822821,0.12898373135416827,6.3301773367019845,2.4487959178252244e-10,1.7367346934930667e-09
g20,1493.6427289257153,1.307344210477288,0.19546077022462938,6.877994316533096,6.070109159621955e-12,5.115260527771311e-11
g21,27329.91849768775,0.6892664158948568,0.11291202900359508,7.318984118913452,2.498551613507769e-13,2.4820049140805654e-12
g22,61595.00292253494,1.8589655364280226,0.1294699954212281,7.578833015503259,3.486769293960457e-14,3.789966623870062e-13
g23,33795.18201613953,1.914465407401197,0.18980074672720723,4.256045427181817,2.0807444763430796e-05,8.311895378201383e-05
g24,3479.456870363975,0.6662962880203385,0.28851476365149065,2.7478076097242816,0.0059995201554016156,0.016332632002000767
g25,131492.88528867147,3.0937487276613544,0.1261947876931209,14.051734151962718,7.517049547970629e-45,1.1275574321955944e-42
g26,6732.675212146307,0.723622743314202,0.18662708445284,4.213263414802387,2.517072220330396e-05,9.94890205664188e-05
g27,157111.29288978118,3.110184302858615,0.2498260457546834,6.919608443216621,4.528936847983018e-12,3.859889359076436e-11
g28,118397.75752871225,2.017663975750841,0.19646916578459853,2.872910187803679,0.0040670971961835715,0.011392429120962385
g29,20730.850934948317,1.4931497637219227,0.31485785848164644,2.2047543892841723,0.027471334230935326,0.0652009514974731
g30,1391.160027119072,0.5432559666595723,0.16864525978840167,3.296829785303756,0.0009778274232940735,0.003024208525651774
g31,36769.88264266653,1.6194191320633475,0.5656618881379494,1.4519741849849013,0.14650878331887016,0.2759255649884657
g32,7936.2861107406225,0.4138726353899436,0.5443555056088547,1.3706864430952657,0.1704727227277082,0.31356110863465636
g33,1187.9231786914406,1.1488153598508888,0.2300007532738665,5.232220766146852,1.6748554741867607e-07,8.530673043396064e-07
g34,140145.1817055981,2.685320873406825,0.15608424576694846,8.939632797760746,3.904656675026525e-19,7.27575777955253e-18
g35,114495.74991439581,1.9283541491105838,0.19723074809104005,2.4424310552814203,0.014588715860195525,0.03696465167279271
g36,8516.645957480343,0.5233035457363936,0.30004070123791077,2.2670977948698052,0.02338425226356307,0.0562121448643343
g37,87348.57184110701,2.7449660232013335,0.19204407840715826,8.0802327142944,6.464329419743272e-16,8.323170926708077e-15
g38,29595.78169831809,1.2638872078564736,0.25767711760621115,1.2515105238814435,0.2107482765387314,0.3699501636139229
g39,31381.062198625237,1.9177350391604582,0.17569682651465093,7.847539355474947,4.242792934725542e-15,4.9526765775006324e-14
g40,102844.84700837378,1.8608730015957715,0.2879826629146171,2.2585780848467745,0.023909642304805873,0.05729147517126008
