,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
g1,1073.0814736660964,2.300797311378378,0.3465589375318756,7.002223449654557,2.5193184223461547e-12,6.631507901988974e-11
g2,4208.8951648717675,1.4134147624252296,0.2945594038296061,5.259025734996915,1.4482062347701818e-07,1.6456889031479337e-06
g3,1947608.3642516285,2.3527159187828097,0.10271871611619235,2.745735372994104,0.006037544129357129,0.021796188192625014
g4,5140.806541613052,1.562926181253117,0.2752210207552484,6.077918398378057,1.217526817110415e-09,1.9637529308232503e-08
g5,19925.515115072,1.601370157865843,0.6989259224506886,0.40181324439883004,0.6878214741829605,0.8589128311492454
g6,1249.3436702952192,0.9923900120916342,0.39677038652489666,3.0650509401339106,0.0021763292596802745,0.008993096114381299
g7,46787.91721474675,2.4396731941968173,0.2537976481185666,5.879158632798647,4.123570522942886e-09,6.154582870064008e-08
g8,106308.6815254793,2.4022910946362335,0.11804688388577952,16.231935205148364,2.998548119733144e-59,2.998548119733144e-56
g9,184754.90019476303,2.507839367588356,0.24516180564875034,4.9014829566906375,9.511590279258341e-07,9.145759883902251e-06
g10,4845.371470287723,1.6818446513387808,0.8316133496014808,0.7499170435117739,0.4533046689156722,0.6817443033046883
g11,377.7990745159724,-0.10668275815193952,0.5843747133365318,-0.3257621287813028,0.7446043338881791,0.8971136552869629
g12,337.04045590409453,0.5522943926905844,0.4782758660995632,1.6987615382956611,0.0893641232181429,0.2183807472062154
g13,95.33242619437877,0.24422896284548506,0.6509687858425377,-0.3197299967701743,0.7491730183258907,0.8991450223595582
g14,403.0256466425641,1.0308128067370044,0.4237109497374014,3.002866399747865,0.0026744981265254273,0.010655371022013655
g15,15880.068413586803,2.6068478288554497,0.32196764200041333,5.673736566977252,1.39715932386965e-08,1.8144926284021428e-07
g16,111246.21871024265,1.9415755884842443,0.1858258840974911,2.93280723851293,0.0033591237772891904,0.013019859601896087
g17,99575.13810739465,1.7872665828724124,0.18802891702535815,2.5206161109411465,0.01171495810685993,0.03944430339010078
g18,21308.06068824543,2.2350269439637485,0.2929436936715755,4.4220478383904736,9.776980180739651e-06,7.184182412682721e-05
g19,191048.8457713399,2.162231062746398,0.16359317244611363,3.520463938916286,0.00043079256632263044,0.002061208451304452
g20,156524.82573127965,2.391433819466464,0.15865650440881232,6.922913174989516,4.424489737332939e-12,1.0534499374602236e-10
g21,121657.86055466133,2.50940860036097,0.34199001285131364,2.1790915902808567,0.029324864876983138,0.0894050758444608
g22,249175.719679021,2.2526726652293285,0.2023014805368099,2.9739234854004137,0.0029401838067034313,0.011575526798045006
g23,108752.14322133377,3.1056607362297366,0.21958924480962422,8.72118850318718,2.752966771388217e-18,2.1176667472217053e-16
g24,1895.806538987827,1.2331590450222554,0.2805232603491527,4.781467769996703,1.7401990653604574e-06,1.5537491655004083e-05
g25,595.8552900594041,1.1452489881117156,0.31128924697134547,4.093666826454162,4.2460431964201405e-05,0.0002637293910819963
g26,34757.56860502379,0.27476249585271517,0.15242489639313134,2.5414312638370946,0.011039965126865005,0.03760695413363219
g27,142648.85197307638,3.444855963466555,0.17522546471769807,12.045767282854639,2.0416775153859054e-33,6.805591717953017e-31
g28,71962.86221708209,2.756089957566952,0.2612931850067827,6.1391808176127585,8.294810865097434e-10,1.382468477516239e-08
g29,5492.497836294143,0.9557838011613068,0.43299239407114387,2.5156025574948373,0.01188290992555735,0.039875536662944126
g30,108659.28817803056,2.3473397759490107,0.19035299758107785,5.606366296225367,2.06618450159782e-08,2.6489544892279745e-07
g31,10260.643713163008,0.44970258461093854,0.2897157007371658,2.08965309548241,0.03664897327707829,0.10684831859206498
g32,133339.10071735494,2.603138142022788,0.3298670321041805,4.271591853395801,1.940825543393205e-05,0.0001357220659715528
g33,261846.92424761626,2.7380686114546373,0.22635560437416954,4.05673727405792,4.976300544662605e-05,0.00030343296004040277
g34,50369.59941337122,2.8780785556228605,0.4082086249177172,4.818516548863353,1.4462953140652696e-06,1.3268764349222657e-05
g35,2085.3667817191827,1.0817266220755146,0.2254078779888694,5.147845056950115,2.634959978399969e-07,2.8332902993548053e-06
g36,88171.25802508931,3.3431440853882153,0.4406646605558894,4.005084273556745,6.199537511007651e-05,0.00036467867711809717
g37,12095.733672495282,1.9223434784229323,0.7489357191401722,1.1786454378521727,0.23853939044362726,0.44503617620079716
g38,2777.555182272585,1.5557857980788923,0.3568993697925641,4.8450754993696945,1.2656354121466431e-06,1.1939956718364559e-05
g39,156893.13558293605,2.3140016810097928,0.24457368373596605,4.484081799290026,7.322856928261235e-06,5.8117912129057424e-05
g40,236464.39251223573,2.129762900069411,0.25861394029351065,2.66337678612279,0.007736073741281194,0.027335949615834607
g41,11298.399683094462,1.7484797289400487,0.43720157313621005,4.048617378311957,5.152109345376924e-05,0.0003103680328540316
g42,106460.5891161842,2.572649595391283,0.23114786030473153,5.516614113099862,3.455931201842808e-08,4.374596458028871e-07
g43,72603.75114733656,2.772030938344173,0.35751691101338195,4.422042975465576,9.777200288336316e-06,7.184182412682721e-05
g44,41504.31240667145,2.275644193302103,0.19983025895546153,7.638805775178352,2.192457437130434e-14,8.432528604347822e-13
g45,159776.35716724693,2.1909289398548366,0.3200361532407755,1.707917848190863,0.08765158692908284,0.21749773431534203
g46,86864.57004020519,2.5284942333743903,0.35354602925718814,3.567423872947534,0.00036050806629824825,0.0017671964034227856
g47,27653.78009524994,2.0720530500145067,0.36622522346594416,3.436306267890859,0.0005897039324272614,0.0027175296425219417
g48,68738.33581092783,1.8991612030604619,0.19698364915458155,4.810184640776255,1.5079093697859877e-06,1.3708266998054435e-05
g49,942.1966922628104,0.5765136730056492,0.6172452002029728,1.701687653866773,0.08881393603015221,0.2183807472062154
g50,4294.790412684171,0.8608533304206427,0.28307412110465374,3.5348734794126693,0.0004079704473685634,0.0019613963815796314
g51,7939.250221007271,0.474072227515349,0.465199708898123,0.7490845608076392,0.45380624000678293,0.6817443033046883
g52,713.9981065654702,0.24817101226298593,0.25286450532375515,1.1006768641994131,0.2710373189979426,0.4839952124963261
g53,51844.38768552187,1.8950484808246129,0.2061210279505632,4.448194786748859,8.659498504819595e-06,6.645740324288032e-05
g54,49034.76634912094,1.770021745867127,0.22733851522134813,3.3776027296449316,0.0007312063490055628,0.003285216368680258
g55,34977.586266699094,2.6453913946911696,0.27299003373211717,6.989491229543163,2.7588485986952394e-12,6.897121496738099e-11
g56,162337.80983005042,2.2754187045177114,0.2507986170349954,4.447046004817576,8.705919824817322e-06,6.645740324288032e-05
g57,54612.90221777696,2.1536378132899983,0.21459135473462762,5.7933059039157415,6.901423555029397e-09,9.326248047337024e-08
g58,92310.00880825332,2.2082963348810383,0.5202833099796887,1.2110236015808356,0.22588635937911572,0.42862686789206017
g59,2046.2656542381424,0.30458587417916055,0.6963173490136977,1.2418277737973813,0.21430011302374463,0.4159600092092157
g60,8722.461572373097,2.0835622024082,0.6069597214722503,2.119409269650438,0.03405589409809528,0.10135682767290262
