,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
g1,550.1135657357995,1.2639153493965873,0.3407437244073365,4.093363739213827,4.2515996824209895e-05,0.000251573945705384
g2,7128.954767209036,2.692534083595358,0.29565645758388837,9.346949689249676,9.02118359252494e-21,3.922253735880409e-19
g3,2738995.2267861376,3.7194233779751054,0.0872427966506811,9.62487996094761,6.278018303465263e-22,3.1390091517326313e-20
g4,5038.393520239003,1.134299746647075,0.25025861211547934,4.948358877619805,7.484182312190001e-07,5.585210680738807e-06
g5,19014.754302410594,2.3215520306778346,0.7958831927816485,2.1490798684869463,0.03162806929077235,0.09642704052064742
g6,1180.9448715560588,2.289593564598462,0.4182076035187515,5.866782649769805,4.443325139732841e-09,4.628463687221709e-08
g7,40747.301288862625,2.060286122931861,0.3518291462881328,3.1314808482593155,0.0017392712969218876,0.007307862592108772
g8,80597.48070233186,2.334649728255459,0.18187401928551375,9.700068492174038,3.0129630722303926e-22,1.673868373461329e-20
g9,127155.0094811965,2.521200482978051,0.3398961167512931,4.031009944483078,5.5537693535069116e-05,0.0003120095142419613
g10,9799.15911909924,0.8734104113701486,0.8635994220901958,2.1051043314029263,0.03528222729436823,0.10563541106098273
g11,151.734176767158,0.18651174057984138,0.6941310505239228,0.6309788996732907,0.5280543210525961,0.7330411579369835
g12,341.9623699000721,0.42931926537064474,0.40691571513009733,1.3851756927552055,0.1659987513472444,0.3451117491626703
g13,400.2906850772131,1.0484459856636832,0.9752820342691222,2.1755029999308486,0.029592443554078765,0.09218829767625783
g14,781.601146738589,1.9401006591646501,0.42512019022010417,4.969641224540476,6.707690053210953e-07,5.081583373644661e-06
g15,7143.596823126994,0.4974201608731202,0.3601535624206811,1.8394483938842896,0.06584926171884456,0.17606754470279296
g16,149477.39144075892,2.9076949116714346,0.19657114119823954,7.5426370054830985,4.605618367453911e-14,9.799188015859385e-13
g17,98315.93198424813,2.4344490820750146,0.20856410784498505,4.986747598492524,6.140419933076335e-07,4.687343460363615e-06
