,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
g1,312.15554743175255,0.2653591857031398,0.17226377596010078,1.6466195263566477,0.0996362743600438,0.14152879880688038
g2,4222.286907704448,1.7592784118339995,0.1478694735611248,12.02458101140623,2.6392350013533395e-33,2.1993625011277827e-31
g3,2516293.336036763,2.934524524794181,0.07422154890343192,7.674175415150002,1.6648612302176162e-14,3.9639553100419433e-13
g4,5532.458214553459,0.9699388335328615,0.1500969104277505,6.8249263225916525,8.797045209280739e-12,1.3129918222807074e-10
g5,22607.533865738747,2.9912215402749003,0.5041136559179112,4.43134840932627,9.36456363341835e-06,5.145364633746346e-05
g6,649.2160211014032,0.4333791583547901,0.28372706872542897,1.84494119459829,0.06504609333998075,0.0973743912275161
g7,28713.90836005219,0.9412854252494459,0.20755464206538884,0.8957204819761093,0.37040206844619694,0.43782750407351884
g8,53754.34049530576,0.22659841691614432,0.08682222093475797,1.4641488934520022,0.14315327054157106,0.19270963572092364
g9,120059.83895475764,1.9061812059793513,0.20506903914305122,1.8471144807768656,0.06473055020202532,0.09704730165221187
g10,6308.156603144848,0.3334543726572422,0.5054720986978894,1.5778504057532776,0.1145999807382834,0.15872573509457535
g11,306.9081504436085,0.10632156807217433,0.5172005068102065,0.3892926175000558,0.6970596968311428,0.7455183923327731
g12,348.41446599329913,0.37141918666897966,0.28524330684917454,1.6500503568510856,0.0989326370160193,0.14072921339405306
g13,293.65239466614946,1.03590415981564,0.6625528333549986,2.4560478956294296,0.014047443371209948,0.026757034992780853
g14,389.957974683415,0.46123977297640767,0.2955442398160341,1.8728260988705348,0.06109240276118749,0.09256424660785983
g15,8491.176958105716,0.4839241927843069,0.282879779884663,1.2853685848743572,0.19866351371343605,0.2563400176947562
g16,123851.48334200676,2.108304167353782,0.1431388858715038,3.1791646919346506,0.0014770014521710583,0.004148880483626568
g17,82876.71340167962,1.5510808975674262,0.1475574224046394,0.5518703599383072,0.5810371770389802,0.6441911465226343
g18,17116.985157410578,1.3650675327987676,0.2256815156754392,6.201145352097508,5.605371349874244e-10,6.369740170311641e-09
g19,184260.66397843705,2.148075806802128,0.1516936553171927,4.392833306668149,1.11882912493321e-05,5.919730819752434e-05
g20,121639.08633300397,2.3113176592645726,0.13921164710799588,5.520329633660625,3.383643124008795e-08,3.1042597467970594e-07
g21,55109.184858126355,1.6155999022004226,0.3591080018429112,0.5699303473435182,0.5687249408490047,0.6361576519563811
g22,236045.79590608162,1.7672433066724542,0.15291266491686373,-0.11620040160905336,0.9074937184719585,0.9279076875991396
g23,43020.5995929129,1.3655916277879276,0.12813122118994308,7.138872188145373,9.40997785138849e-13,1.6508733072611386e-11
g24,1299.907193271615,0.28532099578729037,0.18872104089267286,1.6102630117822256,0.10734045047294369,0.15054761637159003
g25,710.837507842126,1.6935385911608651,0.22662389895154011,7.765829930548429,8.111232935363259e-15,1.9783494964300632e-13
g26,62647.89995089643,2.4776676786598455,0.11432718729894448,17.877004591628953,1.7815495335544183e-71,5.938498445181394e-69
g27,85363.10891970174,2.375272735526446,0.15293769353679967,6.26577430002941,3.709773383992785e-10,4.36443927528563e-09
g28,38365.15517566277,1.8294370222573522,0.19604509712697618,3.0371496305492003,0.0023882687001211306,0.006061595685586626
g29,9314.587344223139,1.9560050790649979,0.27212629088452134,7.494971790765083,6.631262320095637e-14,1.356154859788192e-12
g30,108190.99707476704,2.459762426927486,0.13846733493819752,7.36724530356232,1.7418979381762582e-13,3.3498037272620347e-12
g31,7606.719770366864,0.2387870267537234,0.19072169493766172,1.739434543367771,0.08195835655448122,0.11964723584595799
g32,176862.21344834042,2.644020826874398,0.23091943395679537,5.58695470372844,2.310859667499208e-08,2.1596819322422506e-07
g33,140203.08247284606,2.305483911921359,0.18095155843769803,4.4286872878244,9.480836913449911e-06,5.1807851986065086e-05
g34,20967.212635803317,1.5097702460492817,0.2997727251855756,2.402438116134427,0.016286189896841836,0.030328100366558357
g35,1617.8497484593122,-0.18366002435052786,0.17640481875202332,-1.2443480228218526,0.21337150378461944,0.2704328311592135
g36,33979.561944242785,1.6305594458238142,0.4467483782874616,1.048481021218579,0.29441704189355067,0.3599230340996952
g37,10320.426921344279,0.21771881888492206,0.4951604281114994,0.835719775684079,0.4033125673706853,0.4728166088753638
g38,1500.0681305400417,0.4200009071789446,0.20815837051023184,2.194870358272012,0.028172898659773574,0.04874203920376051
g39,123133.8548735173,1.7143632974232308,0.16520780565006402,1.917032975449768,0.05523374250745707,0.08550114939234842
g40,207204.4522326483,2.376981120322469,0.19796146539020926,5.142478178933849,2.7113794246599007e-07,2.101844515240233e-06
g41,7369.594048533152,0.5326707061285938,0.3169129745802955,2.2572598796098626,0.023991840742876528,0.042183493080522855
g42,71248.50254273182,1.892705723285372,0.18238416004650615,4.371015190586634,1.2367018768769201e-05,6.438352423863632e-05
g43,48404.2157904083,1.550304964178274,0.25756775762955586,1.2552553683211065,0.20938607161526923,0.26707737178316154
g44,38610.52076680822,2.2667451290767473,0.16748404403062675,7.501910371536268,6.2894374052922e-14,1.3381781713387657e-12
g45,158202.81059092475,2.5638596485695997,0.23474399236669494,5.320541277799272,1.034589708402843e-07,8.480243511498713e-07
g46,54171.047041159356,2.1581417055821803,0.28061773670005596,3.449293399676601,0.000562055643233332,0.001842805387650269
g47,21623.26751245131,0.951477824153,0.23587736274532467,3.485163010712547,0.0004918373111392484,0.0016616125376325962
g48,65843.82812687891,2.513580932074848,0.14474043170350837,9.520905821287096,1.716760233349555e-21,7.464174927606762e-20
g49,1321.0424452546201,1.3102654679234367,0.3750278380151614,3.945834419340281,7.952255601603271e-05,0.00032996911209972083
g50,4146.242585450789,0.8081710551771056,0.22587390334106242,3.733426450235462,0.00018889237118419449,0.0006970198198678764
g51,7733.146140296917,0.66586274603825,0.3487749497893093,2.5249935117784306,0.011570042538829078,0.022597739333650543
g52,930.4930542935751,1.1221016884628179,0.16581408101572565,7.111668279566054,1.1464855741355843e-12,1.8491702808638457e-11
g53,46689.985679055455,-0.14766308876044412,0.10181453347352101,0.9326783057782697,0.35098608922504826,0.4188378153043535
g54,46866.48371740578,0.6653788850469079,0.14297235141824913,2.7024612511691934,0.0068828206489276525,0.014865703345416094
g55,14538.7222581,0.6633774495189549,0.1954656252869734,2.952431402786643,0.003152821127711568,0.007677158515859294
g56,150973.82622828468,2.563122856190286,0.13251282585756363,7.114071760303608,1.126685221768772e-12,1.847024953719298e-11
g57,39864.99277389505,0.8842010525821469,0.141267397874039,4.817331511669394,1.4549085379710314e-06,9.635155880602856e-06
g58,160187.06506932253,2.8365841148477706,0.4105203065300426,3.1718178321467514,0.0015148800010877845,0.004204875779054471
g59,2511.931463065032,0.0893852696574174,0.45540600005791204,0.18134237235158474,0.8560988490031863,0.8889915358288539
g60,12035.394971319023,2.773711839443571,0.46736687237875363,4.920146356985111,8.647952132416446e-07,6.005522314178088e-06
g61,55776.310820264465,2.255774397313137,0.2543634388135319,4.369975984389071,1.2426020178056809e-05,6.438352423863632e-05
g62,26956.366482512152,1.6404576478952826,0.3033570624302377,2.392646504108738,0.01672734849041671,0.031034041726190557
g63,97032.28976222718,1.8216618634711208,0.17754861054670212,3.068441655822143,0.0021517834159652666,0.005505787406653928
g64,24642.475289777416,2.164145971430187,0.31193995833602006,4.3992421289901955,1.086295726885516e-05,5.8062945400652255e-05
g65,852.6642822173114,0.32742172681870146,0.38036266943646596,1.1908779025647194,0.23370152056626903,0.2932265000831481
g66,504.7725203127725,0.6196055849743456,0.264274362241069,2.647412246398819,0.008111040793388183,0.016970979676264673
g67,13756.979743613123,-0.3611776471041122,0.3483775371466007,-1.0791265598486717,0.28053131264782205,0.3450569651264724
g68,119173.01213576188,2.9053879339304878,0.22178252139172364,8.39171035901785,4.791201124868594e-17,1.4091768014319395e-15
g69,39101.396633004326,1.7424164744092057,0.24394084332067165,3.068305677431229,0.002152762876001686,0.005505787406653928
g70,16075.648082312948,0.10582049537398105,0.3113975661468321,-0.02704990141559983,0.9784199330003202,0.9843258883303019
g71,184098.60260342527,2.1791496809021194,0.1346443874874999,2.4717790643213595,0.013444257493020483,0.0258543413327317
g72,51890.365037253556,0.15384034275713376,0.10803316544374858,2.4644251228009897,0.013723323366028817,0.026289891505802333
g73,132190.56492405484,2.197723193359286,0.132627111097995,5.416868915639069,6.065177320986659e-08,5.415336893738088e-07
g74,148842.31460780674,2.3004565859487975,0.12338121595091238,2.7516668200753065,0.005929281190498185,0.013117878740040232
g75,52348.187480407694,2.5929735175625246,0.13292610574779531,14.063203044715658,6.392607930297617e-45,1.0654346550496027e-42
g76,102292.89584345471,2.3722971670866655,0.12761124647540048,5.233335650575231,1.6647803188721452e-07,1.3318242550977162e-06
g77,75227.70084848015,2.005242618462458,0.16367818746184606,3.218984966338486,0.0012864522967095068,0.0037073553219294144
g78,14627.145155217891,-0.2896313582988751,0.27387747022271,-0.6677196777235379,0.5043125467418831,0.5717829328139264
g79,308.02079574287484,-0.09694621221861005,0.175725774379638,-0.6053154408571638,0.5449694237425549,0.6130139749635038
g80,952.9069011491414,1.5734464726797943,0.416186754291319,4.298852858198703,1.71684400035879e-05,8.627356785722563e-05
g81,3988.686423281414,0.9611688039878562,0.19984979549716014,5.01944516714963,5.182093431403173e-07,3.7281247707936498e-06
g82,55596.184668622795,1.3398707951381008,0.13983663008645209,2.6602452279326925,0.007808377650654196,0.0164786299100241
g83,107485.24071023674,2.6391642706245944,0.17010341654140138,8.363936143022855,6.065976014317652e-17,1.7331360040907579e-15
g84,2085.820862609447,0.8675417212206293,0.35319577093959365,2.951708560455817,0.0031602104893482317,0.007677158515859294
g85,108490.35154533558,2.131504726871288,0.14861723371255278,3.617858933920022,0.0002970502166783459,0.0010459514671772743
g86,9040.524732403963,2.601507819553897,0.4453593515268364,5.806119168031131,6.3937463220297655e-09,6.591491053638934e-08
g87,50848.33805620789,2.091474979913556,0.14763093247405704,7.17316911402346,7.328123577372599e-13,1.3085934959593926e-11
g88,11362.57359541806,1.3047349925838434,0.1562282637508312,8.714023693151749,2.932750430733996e-18,9.775834769113321e-17
g89,137105.21832530724,1.722691137269946,0.17118557344251867,1.1226350607432303,0.26159251845453824,0.32455647450935265
g90,54445.61856414624,1.756406917588406,0.24658321175329803,2.2333341451424014,0.025526917423179463,0.04461170469300661
g91,1588.955345813948,0.7217589141474234,0.1293468413854682,5.588492023251991,2.2904989688736693e-08,2.1596819322422506e-07
g92,42339.95851897069,0.9671076031364937,0.14273471032972543,4.918249404871679,8.7321611765524e-07,6.0221801217602755e-06
g93,36513.088859432166,1.6857287062772675,0.12794772274338517,9.976424537313022,1.9330732939850117e-23,8.786696790840963e-22
g94,37803.15544626451,1.6707407643464973,0.20543444548448256,1.718391703641619,0.08572519257871841,0.12441972798072339
g95,16756.473940221622,0.12491832230824512,0.12457446862110763,0.06635125686876145,0.9470981760183287,0.9566648242609381
g96,371721.85124909814,2.015196724282375,0.1353803479359499,1.071950779737314,0.28374214033595735,0.3483497512551505
g97,34684.073539201876,1.4521921146351888,0.21768887558872943,0.31000163777925904,0.7565597109026025,0.803141943633336
g98,158864.98032989012,3.1946754660488597,0.12537554239655194,14.033342675801315,9.74479662470527e-45,1.3921138035293242e-42
g99,95804.26047712388,1.8079523484599866,0.17252360695245447,3.136159876631692,0.0017117586051699394,0.004622367873699952
g100,20440.221783170826,0.5525065989018503,0.19303316176808943,3.2936305224849844,0.0009890241072743197,0.0029347896358288415
g101,14790.456258158822,0.046554399033873255,0.1582670359403184,1.0881099072517697,0.2765465905607858,0.3409945629602784
g102,277974.8353828245,4.394732546946705,0.10224689855829627,21.17085450366067,1.7731336170121305e-99,1.7731336170121305e-96
g103,113179.34752841154,1.8796109313875862,0.13961928890601155,2.469287899758292,0.013538224872968747,0.02598507653160988
g104,31016.006058153755,2.2863990649812256,0.16837256321267283,11.012114795695098,3.3406863521772047e-28,2.2271242347848033e-26
g105,204246.82370549705,2.8175863620124124,0.21852632026013102,6.339737103417695,2.3015755720095654e-10,2.841451323468599e-09
