,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
FNTA,2861.85421644337,-0.23768070360402993,0.1637452970955301,-1.532563793704541,0.1253833681252673,0.20201401953587642
ERAP2,3104.91470737642,-0.1842118685882233,0.40415078226164786,-0.46884178163439194,0.6391827325128554,0.731609384791517
PHYKPL,1755.4269521895476,-0.9166945986909115,0.14109848128748428,-6.569131169898377,5.0609687895977916e-11,9.257869737069131e-10
FAM87B,16.619887074861683,-0.8815071245957764,0.3214899193973123,-2.9163410594799273,0.003541631191651351,0.009929807079396311
TRIM55,25.68288317152969,-2.841497000690643,0.49796802163102705,-5.786301988113918,7.195281209775489e-09,8.207545106207783e-08
C18orf32,298.00694250642465,-0.41440923303222715,0.1794925790405876,-2.401405514905061,0.016332226233789722,0.0365756089571671
COA3,2443.314123832127,0.4298255814574688,0.185244885470634,2.3431567346522635,0.019121348515509617,0.041902151604476884
ZNF841,797.1856969539378,0.049480477432216036,0.1861628217905845,0.27586198365001846,0.7826540739451993,0.844590727278992
PARP1,13506.898443591926,0.4490028491298112,0.1422912128491776,3.5630282709882226,0.00036660118083020463,0.0013781093761514541
USP1,3867.478130652162,0.31792613801431413,0.13057774518343895,2.4503587455386064,0.014271394599179928,0.032657653545034165
GNG4,81.19602404079019,2.4018475631434475,0.08810734911684075,-0.4778437048772566,0.6327614517133767,0.7259213595182142
RPS17,154.18761097887676,0.17927184479843652,0.2170627405279966,0.8859870992105996,0.3756244790344354,0.48488529995839336
PTP4A2P1,20.689466675330188,-0.48563053761619507,0.38354540648934804,-1.519799076917718,0.1285614812017318,0.2060280147463651
GALE,1653.128999042276,1.7319995964311952,0.31538519820729893,5.803497238181174,6.494582312755785e-09,7.551839898553238e-08
FABP3,487.8108121777653,-1.0185279982142699,0.33302644203214815,-3.4567269588354916,0.0005467785551300365,0.001938931046560413
DOLPP1,1161.3362470139643,0.7555216597146712,0.13914244087307323,5.589329997593933,2.2794740359469414e-08,2.3259939142315727e-07
CLCC1,1828.767171689152,0.13616750876419012,0.1054102421663364,1.1907083519021777,0.23376809804000465,0.332697276248938
GPR161,1057.1891101432986,-0.7521561006417135,0.24481762224299208,-3.274323127260319,0.0010591542148396767,0.003423989918662748
SYAP1,8001.358053113261,1.0024334138943147,0.2093443585996599,5.106263496725002,3.2859141374313816e-07,2.489328891993471e-06
ESYT3,177.39305284537278,-0.4213299216749101,0.4166617127539489,-1.2816356092162535,0.19997050254022508,0.29349878063633816
AC011477.2,92.7887023293918,0.46977271698845746,0.17241122305919376,2.728796042611518,0.00635660054255118,0.016340875430722827
HRAS,1107.3952030582705,0.3740903697088036,0.2279766169741139,1.703590911450565,0.08845754059568434,0.1519889013671552
ITGAE,769.7163291991099,-0.02191464973560159,0.15850787975910413,-0.25537221596614157,0.7984356279663358,0.8569970962071582
CACNB3,1626.3425023218192,1.190882797053614,0.19796089731236546,6.210744441852649,5.273417536589442e-10,7.831808222657587e-09
SWSAP1,196.8254605563828,0.5532863370767261,0.2112209568767237,2.747082273615239,0.006012804909685142,0.01556377457209269
VPS4B,5205.336580955554,0.07334338031719917,0.11206510960045818,0.7965903194110967,0.4256890014560957,0.5314469431411931
NFIL3,1928.5145652965584,-1.4544427822641892,0.2515910179864021,-5.94634227960427,2.742004827652915e-09,3.5304783188664146e-08
FAM21EP,24.542351121415972,-0.3998542780822361,0.19199416023685018,-1.9409243023887024,0.05226745976786023,0.09721164246967184
PEX1,1451.7338791295595,0.12512480981109303,0.1402971331056631,1.0692207976171637,0.28497018940454755,0.3910844319367075
NMT1,7498.424946737372,-0.08358233096673084,0.11951443156041726,-0.9999202800169849,0.3173490892048024,0.42578142558783866
AZGP1,71345.30259454639,1.897881724773394,0.3425953474741004,1.3641105606711585,0.17253277150548485,0.2618099719354854
AC011442.1,10.952092000328047,-0.3240846675585826,0.44719400972433493,-0.934521101383699,0.3500351563521389,0.45958358059503024
PHYH,2415.240766482237,-0.7326738637263621,0.25767135968195487,-3.1418738948377167,0.0016787032046927494,0.005102441351649695
QSOX1,13999.642294265945,0.21945841578341746,0.2159039477627707,1.0822118303548907,0.2791584129138255,0.3846923466887811
PYY,20.658782619665022,2.0599650362530832,0.5815993660686113,3.958917375776572,7.529027570041173e-05,0.0003371206374645301
ST20-AS1,136.63382172399892,0.2768430484147603,0.2071872633980972,1.4023296054716377,0.16081684362711401,0.2474105286570985
ATG14,2041.4547759663474,-0.3561025838101177,0.12700811144188998,-2.748658549364196,0.005983968648932976,0.015502509453194238
AC007541.1,83.24283918192201,-1.3486551189134977,0.25135343073491767,-5.475893368153278,4.353097772904712e-08,4.145807402766392e-07
SPRYD4,969.4164512068652,0.11982146368128328,0.19445929645790486,0.6712308250760608,0.5020734944935404,0.6061249430505518
ATXN7,2300.225581956569,-0.11802860042368192,0.10756667685731881,-1.4398234012931281,0.1499173687156848,0.23416615063103577
CRIM1-DT,131.75545547908882,-1.4142557487807643,0.2865883334614558,-5.138591239747904,2.768057857259609e-07,2.1238295579997e-06
PATJ,6473.945333597442,0.3335625970844468,0.23682743829859215,1.6864175500058185,0.09171540347738401,0.15651092743580888
CMTM8,610.9250173757116,0.4233180038713621,0.20855036985698477,2.146424249467281,0.03183914635803307,0.0647575858129486
AC091563.1,393.9734716562002,-0.6471195570638949,0.28827979415792687,-2.4528553873786487,0.014172730298244006,0.032481429254951885
WSB1,4836.199619083488,-0.7839858705521443,0.15182295501980966,-5.5200419881719345,3.389186686262852e-08,3.2904725109348076e-07
ZNF295-AS1,24.223009594140645,-0.0072125847502073,0.23738627634984727,-0.014820405929683658,0.9881754597911948,0.990486595179948
C6orf163,39.433231712726446,-0.7523099365231761,0.23259597965557266,-3.292798339896717,0.0009919559471220452,0.003224125505272086
SPTBN5,552.6367515752752,1.0992168616843232,0.43786342497012626,2.9638407763566375,0.0030382544877164824,0.008664223824286547
SLC48A1,2441.0122389764592,-0.41890959272464756,0.15672397197276597,-2.7860905236417177,0.0053347971422232935,0.014014353263283607
DAAM2,2217.675706739982,-1.4413993285129352,0.34918899725232583,-4.604132945848214,4.141878234165596e-06,2.4363989612738805e-05
C1GALT1,1620.1558967909398,-0.3763645529112442,0.21538862485260274,-1.8472754599320882,0.06470722769393732,0.11747950813390763
AL121820.1,10.071234881278366,-0.7193689146439962,0.2785172783984968,-2.5212517854500036,0.011693814419187416,0.027610053196673548
AC006116.9,30.743215124066467,-0.2045146357899593,0.2887757939443665,-0.7820805333007801,0.4341672463552052,0.5393381942300686
LINC01127,13.235897873849003,-2.5003790773821164,0.34938781980913436,-6.465103211197014,1.0122969188532729e-10,1.7255061116817153e-09
SLC9A3-AS1,184.10895692866671,-0.11458805093586406,0.28884499259710583,-0.45993377709699135,0.6455637547385313,0.7366646117214127
TMEFF2,9.283867690068785,-2.850116663386649,0.4385738841122132,-5.905472141080341,3.5163820835426474e-09,4.359151343234687e-08
CHST7,281.16028908537015,-1.025036694333018,0.21536791590896295,-4.992369471965158,5.964302052929214e-07,4.280599559518574e-06
AL358777.3,19.976700709121953,-0.5489759142668229,0.09043520685407477,-0.94343376586091,0.345459078873118,0.4555504336788369
AC092153.1,2.4920651383273587,0.21360976500216455,0.5179317003151367,0.5572192170683237,0.5773776614783999,0.6750323399981292
AC022400.1,8.037190112191254,-1.0019774638952101,0.31884487233733066,-2.990831984966897,0.0027821852469995653,0.0080255343663449
DPY30,1876.7920012805996,0.697883221210266,0.1084873431575251,6.426373827064055,1.3068379529378303e-10,2.154128493853566e-09
NCK1-DT,130.72411394562204,-0.15066618906831716,0.15381740411643507,-0.9416873022301198,0.3463527579112672,0.4559272811469073
CRADD,531.8253619397813,-0.3026056500300345,0.17398316269030928,-1.728446998659975,0.08390811555215548,0.1455054026915991
AL132989.1,46.657834806547335,-0.5941184344552775,0.21389980118905344,-2.801493579692338,0.005086665326663278,0.013504421221229941
WARS2,1267.4705560087536,0.028699536310483734,0.11824968838072795,0.2070332909099539,0.8359838593164793,0.8895620338120701
MMP13,167.98300435899955,6.741454759737897,0.3362621125542367,0.4341940134153748,0.6641475600123214,0.7531117754749732
LRRC8C,2088.5019545411114,-1.0586199998228778,0.2303037214149082,-4.768080863334567,1.8598913549239168e-06,1.1871646946322874e-05
HLA-U,10.02723706446685,-0.9667910687102953,0.41489711795212253,-2.540835002460897,0.01105880939989325,0.026330498571174404
KCNC1,20.80507236707332,3.7582843050699943,0.15709945740156828,-0.6559312229638327,0.5118683776600791,0.6142420531920949
USO1,8044.930441091603,0.04185514265219302,0.13220858725014234,0.6682470740011349,0.5039758913060863,0.6076879718320977
NUP205,4480.473138240313,0.4643110300575449,0.14628609430214518,3.315794715616045,0.0009138292904079992,0.003012624034312085
ATOX1,2510.0387942713905,0.5453334074417313,0.17355790810430224,3.2369423300662805,0.0012081782494707874,0.0038314320807741674
CCDC18,266.16168766228225,0.2566986450916101,0.19643704748824137,1.3464343699257555,0.1781624728377611,0.2688568503587944
AL589843.2,25.136246192397145,0.19342275950658672,0.2728661308064442,0.7555588018287084,0.4499137645589153,0.55522060620187
AC026356.2,24.740102039188073,-0.21316199431364102,0.26014611164662943,-0.8401800674445216,0.4008074325694051,0.5088541251410137
ALG1L6P,58.13995477662102,-0.31013010431284216,0.22944571647651846,-1.4911975079213404,0.1359096477775257,0.2156155173625474
BZW2,4756.094729409206,1.0855151728090793,0.15631929226721786,7.222105348649157,5.118879102145924e-13,1.4219108617072012e-11
SYT9,552.4624251441552,3.0942368277148264,0.6077847631272032,5.398165854961379,6.73256160530256e-08,6.10201958184522e-07
GLT1D1,32.38203531841519,-1.8103082105528763,0.3124638421789682,-5.793912456871371,6.8765312660735235e-09,7.965094130587093e-08
HSPA9,19255.858420697914,0.4830347786069588,0.12535544762987244,4.391618295749745,1.1251009322170244e-05,6.0489297431022814e-05
PDZD9,7.990560053612126,-1.4720955343512188,0.2901085889727459,-4.271301151662449,1.9433576435307986e-05,0.00010017307440880406
MPP2,467.7011995620177,0.6321457880781349,0.07362581720760045,-4.2181624567271845,2.463013397413347e-05,0.00012376951745795715
TG,35.53551307414005,0.541539090025923,0.3642214649155336,1.7538374533972891,0.07945836341235253,0.13891322274886808
AC091185.1,17.79257553660857,-0.4360622113478521,0.31913759041670664,-1.5522327839542838,0.12060653437698163,0.19505099899242312
TFDP1,4554.353170415059,0.530506815341781,0.12926260771465753,4.046683108613842,5.194849125357621e-05,0.00024199607726821217
DECR2,803.9585356908937,0.1203280679428211,0.2064421857583833,0.7163236909644264,0.47379150152961635,0.5775597336809627
AL009178.2,50.95405457397494,0.30377713607702933,0.3166059580349374,0.4676943930898173,0.640003151288594,0.7320437555273501
C17orf100,138.19938662451054,-0.15476354924142255,0.24428603993283068,-0.7352510435823364,0.4621866176163273,0.5675504201271325
MACROD1,829.3386907520817,0.590082370581862,0.2278585489735501,2.7495957280537096,0.005966883102933887,0.015471607008471618
NRBP1,6647.818295655714,0.31270644149475546,0.10711633558527789,2.9303903491075394,0.003385364470307041,0.009554180066717896
LAYN,562.7444223396283,-0.5052176457458817,0.21484611174590437,-2.615409828955419,0.008912044944382906,0.021914864617335016
PYY2,10.841678963351159,0.484124544265959,0.31450014673019205,1.6045642329699268,0.10858973801466938,0.17909247610995502
AC007773.1,23.89100621199599,0.3027729805907214,0.22659500051801618,1.331334532608917,0.18307896037476712,0.27530670733047685
BCL7C,903.0603283442897,-0.11858551568636284,0.14660503221111207,-0.8420955204169934,0.39973448849419346,0.5077068016437681
BCAR1,2938.448387374161,0.6808528193715412,0.20987374356485025,3.4256617266629186,0.0006133036887036567,0.002139431472222058
CMIP,3812.3289782067077,0.27951051416934986,0.12300077955072627,2.10315255945755,0.03545243574444226,0.07057551906657385
SGPP2,890.8391454525924,0.09258863268193733,0.45607357500894197,0.2547526540680626,0.7989141454849706,0.8572040187606981
TMEM102,209.34489146268893,0.6568232515435485,0.23044526678968047,2.99003517686811,0.0027894532112146303,0.008031055310598743
LINC02522,1.491203483037167,-0.14563700115027522,0.7029652027433017,-1.2763357754272695,0.20183684880482866,0.2956594464914482
AL513534.1,12.874797560251256,-0.4876997454456783,0.3106551458589718,-1.6402818910996035,0.1009465690800091,0.169062897497193
LINC01012,45.22559635172453,0.527685924074265,0.3344009913458386,1.8121833231632043,0.06995787500850985,0.1252976865824057
RHOB,32140.834388874755,1.0887716072893072,0.26606412867542606,-0.610605998678994,0.541460450460503,0.6428101904952548
AC005330.1,14.779117485276947,-0.4892770299644681,0.441152064255145,-1.4040874631556342,0.16029280636204257,0.24673084611910093
TRAPPC2,1056.7885532169287,0.25285260770252604,0.15061724799394657,1.719301197523457,0.08555954203263327,0.14768620604021854
HNRNPLL,2424.7829365768475,-0.10119267979218327,0.10525283209036783,-1.1648866036929553,0.24406489678161047,0.34440241181216014
NDUFAF4P3,15.469221441754067,-0.7948044812634085,0.2877621759292072,-2.8094291720784472,0.004962943811524599,0.013246291311898396
RNF31,18.23710538773575,-0.4972202254280359,0.2154140213796867,-2.1784013742126986,0.029376167675137652,0.06066131008480867
VKORC1,498.2914724580067,-0.14704176666199667,0.19808261015579917,-0.74007463363385,0.45925470949071456,0.5651206433437833
ZNF182,629.0564311886812,0.08837155761309254,0.1262029836928053,0.6659707472232291,0.505429798370255,0.6089515643015121
HMGN5,584.2552267629911,0.6501817154075051,0.21332020324492762,3.166714706877469,0.0015417148814256432,0.00471472440802949
BLOC1S6,3940.3746944394125,-0.04249593215031999,0.11722782353759434,-0.5401735027389333,0.5890773843017225,0.6859664364168789
LINC02575,10.698846655446335,-0.7238643073180417,0.4716122366666426,-1.85769090291758,0.06321292110796313,0.11521188537295832
VAV2,2537.2461162356617,0.9180174731907894,0.1804379889228727,5.238413011951899,1.6196328428007828e-07,1.3239505526981876e-06
TMEM104,1411.4327736751402,0.3012786235894845,0.16409453776045815,1.86432550591316,0.06227600709744034,0.11357326522329546
KRT86,65.07626522519077,1.9945489999636423,0.0882248497437372,0.5843728953557744,0.558969458420777,0.6591620971943126
PLPBP,3731.045313496964,-0.17761090118950557,0.186919382106406,-0.8455981260343087,0.3977769713182888,0.5060137381604083
KLHL22,1218.1660778696362,0.2488161174852183,0.1418477697169466,1.6949029178754216,0.0900938389154494,0.15418226853756317
OTULIN,1513.279648001905,-0.1344902260199778,0.10071398723370983,-1.277405453019719,0.20145914059673642,0.2952503281828086
ADPGK,2716.668054928037,0.27724385065585544,0.06999817942465264,3.8845229244370594,0.00010253101871692299,0.00044321766015960947
DOCK1,6466.369515222,-0.33268005064874245,0.1316020458078529,-2.760611436771852,0.005769327181075647,0.015058147378711289
NUMB,4691.196735428031,-0.19504480599498736,0.0941022022485613,-2.0774916905402616,0.037756201379491657,0.07427449451703276
IAH1,1824.02586455985,0.028452127664784936,0.17253529708596238,0.15545525397234022,0.8764624271834189,0.9184028227559402
SSTR1,104.00761462251592,-2.630436745185108,0.39111188014544856,-6.919127322021352,4.544343019738937e-12,1.0328052317588493e-10
AL353693.1,16.397893496979087,-1.0267142424356068,0.7777467704767733,-2.136850950402379,0.03261011653629446,0.06605695449620755
PHLPP1,1918.5038531328871,-0.35523785156630777,0.2091360778998346,-1.7350173322620575,0.082737735292648,0.1438917135524313
ABCB10,1592.5873895721318,-0.1939448398575442,0.15271340723089188,-1.2526188818109532,0.2103444398652865,0.30632685417274735
SELENOH,288.1347923648552,0.4629295297469364,0.166374462728992,2.824638952016275,0.0047333919540221425,0.01272417191941436
Z95115.1,210.56020115828588,-0.04293123867068814,0.19100511513515614,-0.2672503956466693,0.7892763765945698,0.8499027745095871
AC110285.1,9.950374884321011,-0.2635356560951157,0.34080292316861044,-0.8251068686813621,0.4093109204806892,0.5161550069113356
AL512625.2,23.84273178750893,0.8296018523541496,0.4174698378999658,2.3450210451307987,0.019026005652047952,0.04175421869505769
ZNRF2P2,18.01961316213833,0.1558582862769294,0.2831848162114912,0.5946781760218574,0.5520586126282339,0.6522945403248135
PARK7,10073.810135491402,0.38848198155845726,0.14471878784898864,2.8700297478639434,0.00410433183884752,0.011265320692170686
HAGH,1764.1738447323273,0.044276791930935075,0.23498701395703903,0.39045357837511824,0.6962011756388659,0.781078357111667
PGGHG,1813.5059819614282,-0.19455409693615863,0.29291832863723316,-0.8058352437208834,0.4203378536065022,0.5266300098204766
SIDT1,2209.088137472985,1.0761533167581165,0.34078547737709397,3.5851675123693627,0.00033686191774657143,0.0012792224724553344
FAM86C2P,294.84920845436466,0.3183842555892917,0.176889692174129,1.8465697023083663,0.06480952865387238,0.11747950813390763
