,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
RNF212B,18.02594475716389,0.4233997315604753,0.18389359174615313,2.1759733708748916,0.02955725179345111,0.040972070686791116
ASCC1,1538.3901820863373,0.10161217484143124,0.06950552272314581,1.382050905357041,0.16695607130143553,0.2027642352458532
LINC01786,16.615017525509305,-0.42324567764556437,0.1981543762245301,-2.111718236027137,0.03471062393132068,0.04754879990591874
ZNF829,492.26391692477154,0.07595995510989038,0.10958988873991525,0.7530080033540749,0.4514451046709326,0.501382835041018
DSEL,829.9693815245558,-1.3049686390018636,0.16736428776144516,-7.802471603314987,6.070629242496111e-15,2.8716316189669397e-14
OAZ2,4859.707973303521,-0.1713018925606646,0.061418288702965285,-3.087318753697962,0.0020197089515633275,0.003293719751407905
HMGN2,9820.788812403474,0.41204541629738123,0.09126525247072385,4.791601952892788,1.6545490734950963e-06,3.8088146259095222e-06
SOX13,3391.6808579773883,-0.6087750484870412,0.09920736048861853,-6.25583701101769,3.9538951785539834e-10,1.2870752534355416e-09
STEAP4,4431.951214919969,0.194214250426818,0.0843953940926621,0.9865336027348235,0.32387133424303094,0.371241786156615
CHUK,1693.46705002456,1.2736183416831888,0.03217329472367704,-7.2519185169659215,4.1090907938614265e-13,1.6923767684766995e-12
TMEM69,1593.7507167785652,0.08007407136226412,0.06626155162329735,1.0891895389388677,0.27607031110305114,0.3213108834998267
SOCS1,167.06893634565265,-0.04299587670570663,0.20045436021670032,-0.19732667573887885,0.8435719055020062,0.8669803756444051
AC133552.5,66.8671042217887,0.24295529646488595,0.17740006646452677,0.1999229895056263,0.8415408103679302,0.8657827267159776
ETAA1,1086.1414928857478,0.03262133043538957,0.08297490108593861,0.3121787192120227,0.7549047041202644,0.7878362597790278
BEX3,3475.3585502196324,-0.12291375323497727,0.14385678241874292,-0.6139778210777443,0.5392299833522365,0.5879821681406575
TWNK,882.3591619648828,-0.0020883047130915025,0.12401843561088949,-0.008847593769318688,0.992940733631121,0.9947312498809067
AL096816.1,23.984544198652905,0.2528028450697959,0.2822880028571663,0.7358232607444393,0.4618382634215179,0.5113232426015839
AL157756.1,17.670407921294192,-0.7110757383073326,0.17043956159324114,-3.9893483194382124,6.625507009291092e-05,0.00012915218341698036
ZNF750,565.5206230247007,-0.26665646109637453,0.2508394784587455,-1.1133720007422978,0.26554869500483735,0.3102204380897633
FCRLB,48.70172912298208,2.4129787579261555,0.05539650129895688,-1.1536886814294751,0.2486278259289011,0.2925033246222366
NAT8L,3216.43271832214,-4.297430918508942,0.3022237718721247,-14.285449000716504,2.696658266105539e-46,6.775523281672208e-45
EGFL8,39.67277477160735,-1.317083236617366,0.17920395415425494,-7.758300891400178,8.607474428799527e-15,4.041067806948135e-14
AC005077.4,420.69193755768043,0.33140287951604763,0.2849403377639188,1.3391163467416247,0.18053279965325464,0.21787690037805293
KLHL33,64.51890132462226,-2.33192335796575,0.20991934415280217,-12.308078070376167,8.195150755269156e-35,1.1946283899809267e-33
LINC01960,14.900463841269564,-1.438501274284048,0.24912281917544019,-6.350359501727673,2.1481232387273953e-10,7.117704568347898e-10
ARHGAP36,132.84018263692897,-0.9746485133253374,0.2641464336286227,-5.467040178141751,4.576123562611331e-08,1.2308024643925043e-07
C2CD4A,246.46867050211156,2.509559276139673,0.42210615041910865,5.900204663343124,3.6305094014813716e-09,1.0753878558890319e-08
EIF4H,12378.200159687902,0.14732943682738364,0.028349007966254138,-6.480515947601093,9.140949148230046e-11,3.111282895925815e-10
MPZ,185.85360785379106,-3.4231389542649886,0.2571023474045965,-13.224027050792007,6.375690507797748e-40,1.2075171416283613e-38
MAFF,1855.2564047449903,-1.2438896637354722,0.16663600861013791,-8.263665309626226,1.4126634052619418e-16,7.611333002488911e-16
ASPSCR1,1221.8216746231722,0.23810272783478975,0.12192284756303878,1.9696558788418155,0.04887782282329104,0.06515305628271266
PIF1,88.71642644536988,3.2270219407210607,0.2212370396256639,12.316044238016053,7.424786361591458e-35,1.0854950821040143e-33
SIRT7,908.5175413601537,0.15827163032297412,0.10551651790705652,1.697834643915403,0.08953897525867,0.11461722383342293
DIRC3,48.427762206178244,-1.4626600511499332,0.2097659996898841,-6.993968720121114,2.6721716050870307e-12,1.0325238041294555e-11
CEP95,1617.9409084114275,0.6184410921446157,0.05297603953820498,-4.278962131140275,1.8776680229999977e-05,3.8730776051980155e-05
CRYZP1,12.531854032480673,0.2182616268382526,0.09847720068948046,-4.089139985824947,4.329755076083695e-05,8.607862974321462e-05
LINC02449,37.109781856761074,-0.16874231265436185,0.19173073843238944,-1.1271807332137607,0.25966607475097647,0.3042724100667641
AC011979.1,10.947717216341292,-0.9018718214251219,0.13698486822827113,-5.534995286517376,3.112367240949262e-08,8.508385021731171e-08
GADD45GIP1,1543.0872547348586,0.07754039994686737,0.16006859199712759,0.727079739113197,0.4671771096043448,0.5163319071666056
FBXO30,1435.8586602657588,-0.0411712929793562,0.02914411690352981,-25.965430220191486,1.2174704843304083e-148,2.536396842355017e-146
STRIT1,0.16093340477317916,0.13634678640451983,0.929804374343067,-0.7929787425430597,0.42779020795778167,0.4775510247351883
RBM24,376.6332202208802,1.4725586534434345,0.28553165224077265,5.071521525641487,3.9464761571589926e-07,9.682228059762003e-07
OLFM1,1412.6472189685733,0.43822033466351007,0.07094612543239998,9.755099475034612,1.7542860673162485e-22,1.313088373739707e-21
COMTD1,331.49080028966563,1.3832130207962712,0.1665564373315491,7.13658694940894,9.56767943326069e-13,3.836278842526339e-12
AL451064.2,15.835953834212969,-0.4411070015945049,0.29724065947067113,-1.608878128408494,0.10764299282449481,0.13563885184538158
PLCG1-AS1,60.5523371757823,-0.6281953306959388,0.06531277418794791,-7.486814948094703,7.056508463828943e-14,3.10585759851626e-13
LINC01694,7.713130507044664,0.36212080499712,0.0971423103681792,-5.56486826717796,2.623505227455178e-08,7.227287127975697e-08
RAB11FIP5,3200.0282524890017,-0.2933814776784484,0.07772407814616773,-3.593136530225139,0.0003267212839020278,0.0005876282084568844
ADGRA3,2552.0319957560487,-0.9473590789280623,0.10550495900025966,-8.835312610789487,9.981872618731552e-19,5.934525932658473e-18
AP000873.2,110.43044119808827,0.10910780973383499,0.20030330637156474,0.5996096307338475,0.5487664272509981,0.5973943253331135
AC026368.1,6.307831057368911,-0.12956319106629421,0.13619503709574912,-4.750737212161449,2.0267638266529206e-06,4.6167740926034636e-06
FFAR4,226.68741574690497,-1.3423607394929653,0.22023227687509553,-7.940515511753769,2.0134267054338777e-15,1.0047039448272843e-14
ISOC1,2599.174017908443,0.12359797036729743,0.1437743377980169,0.9400465809523424,0.34719366784606276,0.3960685236665101
DNAJC15,2476.037318007059,-0.13011112837325065,0.11857506232328395,-1.2628103123983925,0.20665735775138538,0.24719118016171968
TOPORS,1906.1713920496636,0.23732937587025965,0.0288713955058208,-12.212672773247087,2.6600466403090225e-34,3.736020562231773e-33
L2HGDH,588.2079690531621,0.7355058671741824,0.05292397432142205,0.22579944228213794,0.8213574108702014,0.8469348431328123
PGM5P2,33.05508672465511,-0.5312766590069626,0.07931739065161526,-6.062769032634878,1.3379773944481428e-09,4.14491138304877e-09
AF117829.1,463.86112159536043,0.25329886435061333,0.04499079409644968,7.426195491383469,1.1176577672501349e-13,4.834159892950411e-13
LRPAP1,5555.749175486425,-0.14308211608960525,0.12173945681994618,-1.3398260939952376,0.1803018901172575,0.21765078796195886
RRN3P1,196.0720556694345,-2.0799121160207266,0.14302654939059567,-14.331207782869367,1.3967024923822519e-46,3.544930183711299e-45
C19orf47,943.7192113321728,-0.05790087879053229,0.11144709391085424,-0.30378535758585656,0.761291422834513,0.7940044042913152
RNF112,41.21718787097458,-1.495121733330704,0.2014238125381247,-7.531640324571305,5.010682332764064e-14,2.2449293605573762e-13
STX16-NPEPL1,34.855268400463565,-0.7682672762903354,0.2060532340428422,-3.705667662162374,0.00021083460548412366,0.00038956874627517303
PIGW,593.2149239680136,1.881225156089444,0.11500176736763781,12.390332315642679,2.948191582819306e-35,4.426714088317277e-34
CSF3,55.94236952144421,-4.296130748165545,0.4199535928023078,-10.211323352092533,1.7644176721029056e-24,1.490217628465292e-23
PTPRK,6424.965128706999,0.9029331159823982,0.06114686503898775,-2.4910110470009994,0.012738015919795984,0.018622830292099393
LNC-LBCS,34.52239378943644,-0.6279145204412355,0.05826002068399628,-8.121053221026324,4.621552984236637e-16,2.4120840210003324e-15
NRG4,21.0469099818041,0.0270383350727026,0.19300710841518284,0.16087770598113108,0.8721897216179305,0.8929051204114767
AC026741.1,10.251859456137492,-0.3375427308851398,0.2135776444906093,-1.6203004830195462,0.10516774521366379,0.13292182155417567
AL139156.2,8.81617338845612,-1.2304843853940806,0.18496381568060716,-5.809507657608232,6.265682840103073e-09,1.810890994249443e-08
SPINK2,10.089927427652109,-0.6040267798509129,0.25993252146746326,-2.370458308973634,0.017766047461198572,0.025518597330075513
Z99129.4,741.5350500110018,-0.49880907519942697,0.04420672881566309,-23.544689914693862,1.422878946810498e-122,2.092469039427203e-120
ATP1A1-AS1,383.90912314323424,-0.42724227409354537,0.12618558643539635,-3.804667314987058,0.0001419949057908361,0.00026690771765194756
RFT1,1079.1793605848122,0.03828058267115652,0.06190412629067464,0.5229931780257161,0.6009790006366377,0.6464920402717703
WNK2,1848.664732867199,-0.9247991017659202,0.23880684613050454,-4.208812572441692,2.5671621911482784e-05,5.215689132767733e-05
AC024270.3,7.247357804648103,-0.7415677784608319,0.10756686459064965,-4.284411493095878,1.8322352776036402e-05,3.787175026051344e-05
LINC01018,20.860449517849062,-0.13478101090118472,0.07643164654921909,-4.421710589609022,9.79225608962142e-06,2.0879010852071257e-05
DPY19L1P2,19.412323580849105,0.12412768363226383,0.19060710012250406,0.38769373371321636,0.6982426935787635,0.7354568080669512
KIF17,132.22427480000434,-1.2013899676702224,0.15588379676362385,-8.179651984901394,2.846648171311835e-16,1.5061630536041456e-15
PIK3R6,115.3387847739987,0.673890732363767,0.16117144786932738,4.224374342145815,2.396054955029532e-05,4.887913004956205e-05
DNAJC3-DT,231.84130957529825,0.15705966517375605,0.1280523115057086,0.3698812691818682,0.7114709582753986,0.7476575854092041
AL354696.2,39.32900014463335,-0.054237453663330784,0.1221697641437239,-0.7029364208630269,0.4820953725592133,0.5312931150090515
TIMMDC1,3136.687355228498,-0.17673756169081797,0.06878918610835576,-2.6881436145746354,0.007185048720943018,0.010863393893170575
CLDN2,75.16535038874541,-1.169740422554835,0.356250028698654,-3.6281182933287,0.0002854944538320713,0.0005183268951199551
RAE1,2255.694603193433,0.15255512574366284,0.08539660343473618,1.9767377029352722,0.04807128668943342,0.0641463660120542
SLAIN2,4278.719764742043,0.33626655680221695,0.04218760944243588,-11.135743797059067,8.404048418471427e-29,9.154736839293494e-28
G3BP1,10356.978914075278,0.41134082425620266,0.018756779949762284,7.03068090990422,2.055280463646891e-12,8.053606832472143e-12
PPP3CA,4725.29049440321,-0.020756236165868962,0.09953620625384293,-1.86596915155622,0.06204568156786722,0.08146754407545591
PHC1P1,47.48392091070186,-0.5908446670748317,0.16016764697711955,-3.638899826209994,0.00027380527258026225,0.000498371446269134
COMMD1,1218.4674805651894,-0.23453642627385207,0.07857106026960205,-3.1264555585037934,0.0017692724339556068,0.0029080743490394593
ABLIM1,14651.630308466392,-0.49818489008874167,0.07282451883901271,-4.60951229687563,4.036146614235779e-06,8.965230151567702e-06
HYAL2,2359.1747106196,0.005353958859160919,0.11671207545663387,-1.016453441294507,0.30941350797686895,0.3557294872118521
SOX12,1818.9246270155784,1.0691391515881028,0.13612292409368318,8.146281479307763,3.752859935693557e-16,1.9689716346765775e-15
CHCHD6,504.74939047192214,-0.38048226777714284,0.11425922353296439,-3.283324245069615,0.0010259059283743933,0.0017364690730778494
AL137139.2,23.94251964642014,-0.23701185168724861,0.2368126157054524,-1.5213549719878514,0.12817078206095125,0.15906029047027956
LINC01186,24.744717715375362,-3.4629863849936027,0.27432703905801137,-12.303582387245278,8.664432069418121e-35,1.2593651263689128e-33
SNCAIP,352.69697388758175,-0.6423215038111324,0.2099343504960336,-3.464949569059638,0.0005303309182781612,0.0009304051197862476
SLC44A5,548.2865453914432,0.8004934739601893,0.3163220462129562,2.914156250942939,0.0035665134804092388,0.0056094895885643896
FAM83D,761.9792067681344,2.893131401190727,0.2495304829638862,11.725641616723879,9.418467986601313e-32,1.1892005033587517e-30
