,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
IGLV5-37,31.160137943945106,-1.9428677315464529,0.4200622650935188,-4.94356020094942,7.670864775040913e-07,1.9638670699029475e-06
FAM13A-AS1,185.20975942047465,-1.0362034602600905,0.18017100340680411,-5.861573462783371,4.585015468353872e-09,1.5563528405817626e-08
DCTN5,5346.249020791778,-0.07684980181794487,0.07033345756185758,-1.2030545345474515,0.22895521775126304,0.27146694065836263
PELI1,2912.5386098252297,-1.2646972024701282,0.1302452067291329,-10.086849961606783,6.3163987220619315e-24,7.665532429686811e-23
LINC00639,110.77668643745652,-1.7292290547465994,0.13082033732931825,-6.72870944106743,1.7117447849168328e-11,7.397341334990635e-11
LRRFIP1P1,85.41491366699178,-0.07232494478870319,0.13674748278468052,-0.4697190126276646,0.6385557824300239,0.678764299170784
ADCY6,4888.803987418449,-1.2421489280442477,0.12194266260029103,-9.860089229467544,6.199427397380395e-23,6.965648761101567e-22
DOCK9,5853.945068599935,-0.6329641925990401,0.09188539183648514,-6.70990688953023,1.9474864085749486e-11,8.372684473667018e-11
CHST7,265.38578083969463,-1.2448979274119711,0.12844409409739466,-9.733323772585695,2.1737178397296526e-22,2.3156894092505192e-21
AC009318.2,44.84748740642733,-0.3419175856106926,0.1066940297211383,-2.891229366106299,0.003837379420548023,0.0062559168903619546
IL33,2873.2189141977706,-2.3744911718233674,0.2218817883056106,-11.131498339182658,8.814131310629564e-29,1.4990019235764564e-27
SLC7A13,15.35220499217019,1.1395584674125014,0.14973222851122828,3.6348616081455978,0.00027812989606094073,0.0005293679026664269
MOK,647.5893136846171,-0.4530117494494126,0.09831796046683722,-4.572029151343087,4.83023718695405e-06,1.1238336870530596e-05
FOXP1,4603.838926705748,-0.04478558513990133,0.09606483828706532,-0.3978978847914503,0.6907054592842548,0.7264466336603437
AKT2,7766.613156819336,-0.5705101625912552,0.10376097270624443,-5.738206071065943,9.568464859016338e-09,3.104628442250596e-08
APOBEC3G,834.6537067274875,0.12836103759867695,0.15480399505363454,0.7734352581558913,0.4392648302963764,0.4879635973076832
