,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
HSD17B2,243.46184737791538,-1.1057137581897782,0.347079489570923,-5.135692845886586,2.8110645498062196e-07,8.416360927563532e-07
FCGR2A,1717.7572207845471,0.6531580644249018,0.16270149224634703,4.081807388713686,4.4686824637357435e-05,0.00010079734880606941
ANKRD9,983.3340655807493,0.18510970168464064,0.13934570810493238,1.4151699638912374,0.1570186687899574,0.20156440152754482
CLCN3,7537.25690993637,0.3030143355680149,0.0917034543428619,2.95900260392321,0.003086364934590261,0.005339731720744396
AC022387.2,32.804007625962896,-1.387024115145689,0.1568859212379169,-9.017188685401262,1.929778577297939e-19,1.9691618135693254e-18
SPCS3,7675.545898826038,0.29324600715022314,0.07976137906393593,4.006415078423788,6.164727538513185e-05,0.00013568732659970326
AC011337.1,14.083294266728823,-0.9816936114941961,0.1968742371842501,-5.189987679036434,2.1030799610733426e-07,6.372969579010129e-07
GSDME,716.0055473073551,-0.5103778797296734,0.09781954404870015,-5.28798427335064,1.2367160814514106e-07,3.8607161751865056e-07
AC007611.1,39.012200781233815,0.4516744933042653,0.13644178289645748,3.4016285313705055,0.000669856208652055,0.0012848904258031745
AC087045.2,11.9091548009122,-0.25082057189848556,0.2534144883176628,-1.0918275291451616,0.2749089164006592,0.3317484912316885
JUNB,10436.054920032364,-1.1403768510249543,0.2003814585617362,-5.754637106243433,8.682811117126045e-09,3.032413661394428e-08
COL12A1,32479.09828394729,2.8931691802436292,0.18363245326541688,12.047445329988665,2.0005448505208752e-33,7.409425372299537e-32
KIF17,133.20878907099262,-0.7038404508768024,0.16709069091379167,-4.380643300103445,1.18329442363494e-05,2.872073843774126e-05
ZC3H3,1493.1949108429899,0.7738317974050583,0.09344132962610849,8.387533379559006,4.9644824588622323e-17,4.1485925840074365e-16
TAF2,3029.638362347351,1.0379598227059974,0.11390491372420063,9.343334709177125,9.33467990233155e-21,1.0896513504667178e-19
VANGL1,2816.5070474112135,1.3395577865946855,0.07694578158220765,17.641392092681368,1.185052233638753e-69,3.231960637196599e-67
FBXO48,316.9634337675149,-0.2654035774695459,0.08739977405136769,-3.0400849291429997,0.0023651144447956463,0.004188514365045418
AL136038.4,7.742668678632763,-0.226768417579103,0.14822956566149786,-5.579623774667026,2.4103937225499274e-08,8.043583056340136e-08
PTPRQ,165.9716759632598,-2.421626986129264,0.3560383114298064,-7.105596008138416,1.198043869893213e-12,6.081440963924939e-12
EML1,1350.4397048567664,-0.027171856706211247,0.14417310288707705,-0.2975274204501771,0.7660638767998305,0.8052528487734728
TAP1,4699.239907192136,1.4569589568933083,0.17935102690670565,8.39985123345173,4.470446276991041e-17,3.7672300087003157e-16
MYADML2,5.262790614119618,1.0489970005715061,0.2811699338197846,4.028571321268847,5.6116837060900326e-05,0.00012442757663170805
AC069234.5,9.787077771122807,-0.8685626884845908,0.17111429790287233,-5.2258813419876144,1.7332749242934807e-07,5.30594364579637e-07
IFT80,662.085713593649,0.31384004904365415,0.08226936414987582,3.852784843548414,0.000116782000879889,0.000246722537070188
ACOT2,1345.7020980929472,-0.4531723933978451,0.14282278898081213,-3.2675864021017067,0.0010846875192706913,0.002017397741978967
COL4A2-AS1,6.420118863657206,-1.9646819259823718,0.23595293157296152,-8.531702416322915,1.4420961944478716e-17,1.2503724229316805e-16
FGF2,1872.7368420272244,-2.1573343196037222,0.23555392039131973,-9.452152259346056,3.319341200679231e-21,4.047977073999062e-20
RHBDL3,128.472980543956,-0.1349105298079398,0.254406131508063,-0.5912676620301449,0.5543410933843846,0.610732016214893
ATXN2L,6004.559827573013,0.5152936332923203,0.06898304257535832,8.072759556780023,6.872686619981136e-16,5.053446044103777e-15
OR51E2,26.269363237902088,0.6898623772883201,0.2525048865123192,2.9670035343116736,0.0030071750226897034,0.005217770426876293
RBMS2P1,33.24737315726299,-0.49301399057054146,0.13408158478530804,-3.7747690171900583,0.00016015599219690755,0.0003334267707083433
FANCC,901.1486308746244,0.5599232404648867,0.09628035940641631,5.897574060059835,3.688847162381664e-09,1.333318251463252e-08
GGN,24.17341030556596,-0.07088320315781454,0.16445579748906813,-0.45132301200754754,0.6517567617704164,0.7003117067733701
SNAI3-AS1,114.55740933075573,-0.35949457928327216,0.10166701721444989,-3.589008333795905,0.00033193823097564274,0.0006652068757026908
SIRPG,96.54204888883,1.1385622657090417,0.2657432466841592,4.567800918535845,4.928678093406727e-06,1.2456642190581451e-05
NIN,4030.8337147349807,0.24788834180198416,0.08740034858498473,2.884312885045618,0.003922687966907486,0.006656144740227634
CYBRD1,28394.185351229666,-0.7088266701516733,0.16274658505620632,-4.258118403116021,2.0615475690754065e-05,4.835529872733557e-05
BICDL1,717.6830811371225,2.2436844221477665,0.1758035428007073,12.968714626802706,1.840915319965396e-38,1.0420275396030543e-36
POPDC3,37.58982565265536,0.34593981610177016,0.28127719807113843,-1.2715754715501273,0.2035239963775859,0.25377056904935896
ZNF174,611.6731416391204,0.5214929834457623,0.06587766730741847,7.965019841415677,1.6519726873729052e-15,1.1525390842136548e-14
ESRRA,1084.2773901603416,-0.057971226746136646,0.1221012771225491,-0.5391990890432978,0.58974948886104,0.6452401409858205
SIX1,1298.7841978617216,1.5304135989864307,0.29380993570934794,5.487171927681762,4.0841958284679915e-08,1.3318029875439102e-07
PGRMC2,7537.089348906032,0.014176826762140512,0.11128470996933008,-0.22378990702273832,0.8229207838377263,0.8524731876772027
MAP3K15,13.603975677014132,-0.6641029021003458,0.14436921461698285,-7.635006415617827,2.2580918133992416e-14,1.374092381378849e-13
TTPA,86.24265123175331,-1.0543432024590393,0.24638875977155922,-4.542433523384255,5.560853503895668e-06,1.3995436670878358e-05
CRTAP,14077.88326338577,-0.686719825774494,0.10856905362890017,-6.50944379944018,7.542956873646715e-11,3.2512745145028947e-10
VCP,20204.77730604046,0.3800587096766596,0.06268057476764397,6.924275211472347,4.382132635169509e-12,2.1272488520240334e-11
NCAPG2,1647.143993325194,1.3557029243383134,0.10953206349956279,12.664019823815586,9.358192773948303e-37,4.456282273308716e-35
CDK13,4192.592510287021,0.3017259231539506,0.05837751820490911,5.130543786094843,2.8890634410206777e-07,8.624069973196053e-07
GTF3C6,2204.2599112147886,0.7625044861707788,0.0997519405951298,7.537049061455505,4.807255064914586e-14,2.8333526905194024e-13
MKRN2,2005.9863247921453,0.019897613545213817,0.05488219357454784,0.5121842284517215,0.6085220800267479,0.6633598256105536
REEP6,2947.5087069342635,0.7251526984023186,0.24911998794394202,3.211134313820076,0.0013221212377023644,0.002430369922246993
MSMB,261.36170609327996,4.482372754748333,0.39778968210300214,6.899435616871332,5.220954382781104e-12,2.5181452006982815e-11
AC004156.1,26.79209036344617,1.0399415872001243,0.18507779456538606,5.809086380732217,6.281467582450767e-09,2.2248409382942507e-08
ZNF330,1806.6885051043382,-0.2595378055247373,0.04606524601153189,-5.576011843524546,2.4609517925077532e-08,8.203172641692512e-08
TCF7L2,2881.741532926522,-0.69637211866054,0.09416748843890524,-7.532066821297821,4.994338662831684e-14,2.92637031025294e-13
TLR4,2411.2176252789095,-1.076190805745866,0.14643268460437767,-7.538229243127357,4.7639586610787e-14,2.8133614140228546e-13
ARHGDIB,12955.95603118802,0.7391029383070338,0.1178272243259527,6.139859019679622,8.259475020971808e-10,3.2581240649621128e-09
GUSBP9,14.401098185427552,0.05356242292611899,0.22826906890953466,0.2537305455397085,0.7997037341781674,0.8321578919647943
AC008393.1,61.304862561620084,-0.14226987530293894,0.11208268953331091,-1.2893248012410252,0.1972851922507043,0.2474312611839937
HAR1A,24.100758315173874,1.3597063727419698,0.19362194790753007,-2.6343859451452767,0.008428961701522472,0.013580496833817087
CD164,32915.047444027055,0.1767558008484202,0.10807027128473454,2.5326682941570877,0.011319801592868276,0.017854576644902642
AFAP1L1,1423.50150103312,-1.0534310702576073,0.1658387372401587,-6.733856127639089,1.6522455927093917e-11,7.696796239329465e-11
ILF3,14417.872788991368,0.3848954850351628,0.06766000156863095,6.281176545672519,3.3602029532868845e-10,1.371511409504851e-09
RFC1,4767.632565346014,0.0690514094384314,0.066040875006552,1.0603768177784445,0.2889732043608976,0.3473235629337711
CAND1,11091.748585135212,0.8520227259847883,0.08377315111652768,9.783819958506415,1.3212749588127804e-22,1.801738580199246e-21
AL592295.4,46.26919509821128,0.20750541677503478,0.12065146769785579,1.758985905928234,0.0785799024895267,0.10764370204044753
TXN,7439.662528564542,0.8734531909970765,0.10839061993862908,7.942140856881765,1.987210824017419e-15,1.3642179569913632e-14
AL596442.4,27.544820081521078,-0.41980503356457377,0.15011317084587775,-2.8907261506602455,0.0038435287984701205,0.00653661360284034
GDF15,692.6404283691097,2.247377718637152,0.29622572462361707,7.863940254384769,3.722351374785502e-15,2.465133360785101e-14
UBE2D3,15937.780515998882,0.15804514107339238,0.06081827867591119,2.5367838205719324,0.011187601528587257,0.017667346428755108
PPP1R14D,18.557445686623286,1.2532721932287134,0.229516844220339,0.7527885168456204,0.45157700829262104,0.5116589965908577
