,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
AC093827.3,18.246860807616375,-0.9633192967110098,0.35219475766379427,-3.173902354251249,0.0015040428016852478,0.00969191975365126
FGF14-AS2,132.6240066089377,-1.836998841324568,0.39675396783844324,-5.046860378402874,4.491293144897083e-07,1.2711207013859668e-05
ARL5B,2035.0924525615933,0.04766536667883162,0.26423445740818796,0.1974565791977478,0.8434702572371776,0.9129398878993841
CHAF1A,780.2643008767939,0.6424367437928075,0.23250051127519783,3.007595968442516,0.0026332296804577916,0.014877003844394304
ANXA13,18.114217335778246,-0.23035672761271092,0.45182683072861396,-0.7665176038960738,0.44336838137571755,0.6143672721141583
AC005076.1,37.70689067845615,-0.46605657311306425,0.3611695231627524,-1.6351840800919333,0.10201046443572626,0.23079290596318158
SERPINF2,335.9057943172262,-0.3362870505996796,0.41800844982900853,-1.12591962613641,0.2601995412417071,0.43270433687645304
IGHV1-3,475.87651900816337,0.036777101607302326,0.5744246575464642,0.1252079409900902,0.9003589307193411,0.9485650715152393
MRGPRF,448.0940509159519,-1.2117596177010548,0.40946997257404516,-3.4720192230395712,0.0005165593467824994,0.004199669486036581
PCAT19,527.8971462733191,-1.6689718589027192,0.292192818342996,-6.039309734862813,1.547748949923313e-09,1.4510146405531058e-07
EPCAM-DT,111.75549769748905,-0.9397769659154562,0.5083091516461935,-2.486085712977248,0.01291568536063456,0.049803413987022725
LINC02747,190.34407053563623,0.6979722441635623,1.0962768259915616,1.9856730177034825,0.04706964292479063,0.13197096147137558
ZNF286B,82.28320484375652,0.0874767907241334,0.3588368736055082,0.317262291133649,0.7510445877617012,0.8515244759202962
SNRPG,1748.2079182323973,0.7533020125422444,0.26460735365873206,3.1399072467403926,0.0016900133392395475,0.010556410966975481
ACP2,2568.662191003987,0.4212979916396486,0.18567048108266662,2.421905912094006,0.015439347407654685,0.0566928301382669
KIAA0513,1199.511567003029,0.4295760512946328,0.3785948346724716,1.4688605625941924,0.14187061331943773,0.2899263214974886
CNPPD1,3756.2092348978026,0.20420120146592471,0.22538765867651456,0.9788543534777678,0.3276519489796065,0.503505088069575
RPL24,27235.399572624832,-0.39913384128323276,0.283645767776412,-0.7704567397397274,0.44102900710892956,0.6126647836879717
ECHDC2,3683.632173526266,-0.7254918664159344,0.3095741673213071,-4.535776854387145,5.739183661434148e-06,0.00010694131046150587
SLC46A3,1550.5523886162389,0.28004702055008696,0.34760418991801234,1.0235705726441326,0.3060381505283306,0.4832047662169041
TM9SF2,14362.133282934528,0.6819722353834244,0.2309556492249514,2.9117782052916987,0.003593777166843154,0.01875014174005124
PKIB,1560.0577663526626,1.4642536362381215,0.6412955137085048,2.984526320718313,0.002840177649710604,0.015778764720614468
ERGIC2,2238.642697117448,0.37387433031687783,0.18869776038736513,2.133687770276087,0.03286834783251388,0.10020837753815208
TRIP12,12724.462743049762,0.02054302870882843,0.27117986582053444,-0.08095135754604073,0.9354806365342404,0.9640817277920719
NRM,822.4004279164207,0.6046139124335098,0.273722926907942,2.52329847792878,0.011625967498073398,0.046073847416407125
ANGPTL2,10038.580486260766,-0.4499978268651009,0.4347941260741861,-1.425547579508127,0.15399897680457728,0.3061609876830562
ZMYM3,2652.2321358609743,0.08757387334941341,0.15081118420400036,0.6050558330585829,0.5451418993539265,0.7009968701507843
MYZAP,340.24740763366697,-2.5066796619372282,0.5793106857469299,-4.84395254738326,1.272813429746776e-06,3.129869089541253e-05
CFAP251,214.4231917629582,0.4258155764891306,0.33912920116860573,1.5515683142725067,0.12076554965210917,0.2606450711916025
