,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ATP8A2,770.7360309245669,2.915495551372927,0.7845532224496299,4.221054556396195,2.4316207168665532e-05,0.0001290695669005804
PLEKHG2,1552.199622553704,0.28029561999996017,0.08192387344908801,-3.3753080781733726,0.000737330999107354,0.0026387299120798984
ADIPOQ,51264.77168128612,0.4986250618625446,0.8086374697429728,-3.542937333475406,0.0003956967195934361,0.0015471896506658604
TMC3-AS1,53.87379310407446,0.3733031193402011,0.44346949230871235,0.9785731236063316,0.3277909443656907,0.4406297813324546
CLDN3,2412.920603248725,1.2173502117482646,0.8109038655218603,2.241288768293014,0.0250073760240027,0.055553422737766
RPL7AP11,17.11740547793034,-0.2318449662836985,0.36571645633119415,-0.8361545001426098,0.4030679914933707,0.5176877543848474
AL031009.1,18.179393014183965,0.5689649178185063,0.45452937226652856,1.4058030588930805,0.15978261348647826,0.25461639630496724
TMEM167B,4284.751809744409,-0.061548646901855755,0.2256827750556483,-0.38687622932557897,0.6988478397687168,0.7790927382997676
C8orf44,156.37625463052365,-0.6914483101647253,0.21273905583481767,-3.194329088087821,0.0014015624736248974,0.004624076851926367
XKR9,29.195330430953454,0.5472889338585194,0.1788839614861535,-1.0893717424374956,0.27598998724588364,0.38625288633312393
OPA1,6350.063687512185,-0.10735200678399183,0.23177906718565303,-0.49790263878014895,0.6185526673198855,0.7123800498161806
CYP1B1,4441.904613888702,0.7584754659933557,0.12971091998980291,11.128645074346826,9.100830579303237e-29,4.3322842710048264e-27
FAM177A1,2911.8213385019944,1.8037225399242534,0.0798171854708637,1.7393871187768413,0.08196669247973323,0.14844088813207726
SRRD,846.5300672241032,0.21591325741009737,0.14496564219020713,1.5119893326479361,0.13053657629395168,0.2176902821005792
LINC00242,31.14941750228121,3.226964894820928,0.35816534572859243,7.602517977475903,2.904236171245577e-14,6.311452375047454e-13
SNIP1,1372.494774123231,-0.13158211596003916,0.11717714386914287,-1.1080793796693917,0.26782753545879345,0.37851780341230984
PCBP2,9131.891518002696,-0.12663001613799518,0.15265748783190017,-0.9201869049968473,0.3574750961956362,0.4716532395471681
RFLNA,236.02523000055785,-0.5536895413916921,0.7083568183218739,-1.2163433103283836,0.22385416944950964,0.3315252613230022
AC004706.3,48.019679067884894,1.75965782061152,0.4424773738070142,3.197749769936898,0.0013850440836323192,0.004579655134303556
RPL13A,61912.35438130938,2.3696271173095558,0.07151713542457791,-3.7752186553464497,0.00015986737016951327,0.0006862113951377522
PYHIN1,108.5357971055408,0.004095747238520946,0.5351671631577546,0.013137631102429017,0.9895179885066185,0.9924964707462705
KCNH4,31.85217950063293,-0.16280011898431768,0.5467010473650407,-0.3949534057260799,0.6928772751245649,0.774772165584851
AMDHD1,45.695651718904315,-0.58461263934791,0.44575975953940133,-1.4986366806006455,0.13396791146571105,0.22271051357298638
ITPKC,2024.8062911120373,-0.5743385234607855,0.21669801712081696,-2.8055090922708277,0.0050237164025226,0.014054221540266117
CREB3L2,9069.16996976847,-0.2728380772880217,0.25026452121178605,-1.2322619718832655,0.2178512403088435,0.3248810888544116
SLC35A3,2722.456817447644,0.5097036038180711,0.2679642731521107,1.9821489317787389,0.0474625743704879,0.09540231939483458
TMEM52,66.64349288203762,0.018956516531810057,0.43490518921542126,0.04333782434851175,0.9654322400631937,0.9771620951567729
SPX,1865.2508265940942,-1.144219890334978,1.2650063723605454,-2.822760408752008,0.0047612138024369045,0.013420000181868681
NTN5,37.96009070483005,0.6508603429533533,0.5441575106116959,0.7609546985625782,0.4466841258287655,0.559801794133083
DUSP29,0.6639748213421165,1.8602469395795034,1.681332655902083,1.4742717199446842,0.14040844627363358,0.23111137781263838
PTMAP2,52.73834643926595,1.532979258389869,0.5353729937413084,2.4916026925084895,0.012716819942483453,0.03167586628530554
