,truth_class,DE_naive,DE_aware,predicted_class,sample_size,cn_signal,replicate
JMJD6,DCG,True,True,DIG,60,strong,2
PLA2G12AP1,NEUTRAL,False,False,NEUTRAL,60,strong,2
VEGFA,DSG,False,False,NEUTRAL,60,strong,2
RHO,DSG,False,False,NEUTRAL,60,strong,2
TK1,DCG,False,False,NEUTRAL,60,strong,2
DSP,DSG,True,False,DSG,60,strong,2
HIP1,DSG,True,False,DSG,60,strong,2
CD58,DIG,True,True,DIG,60,strong,2
LYRM9,DSG,True,True,DIG,60,strong,2
ZNF700,DIG,True,True,DIG,60,strong,2
ITGA4,DIG,True,True,DIG,60,strong,2
FOXQ1,DIG,True,True,DIG,60,strong,2
UBR7,NEUTRAL,False,False,NEUTRAL,60,strong,2
C14orf93,DIG,True,True,DIG,60,strong,2
GCA,NEUTRAL,False,False,NEUTRAL,60,strong,2
LIG4,DIG,True,True,DIG,60,strong,2
GATAD2B,DCG,False,True,DCG,60,strong,2
OR13E1P,DIG,True,True,DIG,60,strong,2
ZKSCAN3,DSG,True,False,DSG,60,strong,2
AVPR1A,DIG,True,True,DIG,60,strong,2
TP53,NEUTRAL,False,False,NEUTRAL,60,strong,2
NUDT3,DSG,True,False,DSG,60,strong,2
CACNA1G,DCG,False,True,DCG,60,strong,2
GATA3,DCG,False,False,NEUTRAL,60,strong,2
NID1,DCG,False,True,DCG,60,strong,2
DIS3L2,NEUTRAL,False,False,NEUTRAL,60,strong,2
CYP51A1P3,DIG,False,False,NEUTRAL,60,strong,2
SPTY2D1,DIG,True,True,DIG,60,strong,2
FBN3,DIG,True,True,DIG,60,strong,2
DNMT3B,DCG,False,True,DCG,60,strong,2
ANXA6,DIG,True,True,DIG,60,strong,2
EMID1,NEUTRAL,False,False,NEUTRAL,60,strong,2
DPT,DCG,False,True,DCG,60,strong,2
CPO,NEUTRAL,True,True,DIG,60,strong,2
BGLAP,DCG,False,True,DCG,60,strong,2
FNDC3B,DCG,False,True,DCG,60,strong,2
GINM1,DIG,True,True,DIG,60,strong,2
DEF6,DIG,True,True,DIG,60,strong,2
MFFP2,DIG,True,True,DIG,60,strong,2
YBX2,NEUTRAL,False,False,NEUTRAL,60,strong,2
INAVA,DCG,False,False,NEUTRAL,60,strong,2
CCDC158,DIG,True,True,DIG,60,strong,2
IKZF4,DIG,True,True,DIG,60,strong,2
STRIP2,DSG,True,False,DSG,60,strong,2
MAPK14,DSG,True,False,DSG,60,strong,2
