,sample_size,n_genes,cn_signal,replicate,tag,comparison,TP,FP,FN,TN,Precision,Recall,F1 score,Accuracy,AUC,MCC,n_pos,n_neg
0,10,5000,strong,1,S10_G5000_CNstrong_R1,DCG_vs_rest,363,164,387,4075,0.6888045540796964,0.484,0.5685199686765857,0.8895570254560032,0.7226558150507195,0.5177931336529349,750,4239
1,10,5000,strong,1,S10_G5000_CNstrong_R1,DSG_vs_rest,280,54,468,4187,0.8383233532934131,0.37433155080213903,0.5175600739371534,0.8953698135898978,0.6807993523876293,0.5165099894161351,748,4241
2,10,5000,strong,1,S10_G5000_CNstrong_R1,DIG_vs_rest,793,106,703,3387,0.882091212458287,0.5300802139037433,0.6622129436325679,0.8378432551613549,0.7498669034019145,0.5957476254640471,1496,3493
3,10,5000,strong,10,S10_G5000_CNstrong_R10,DCG_vs_rest,347,170,402,4069,0.6711798839458414,0.46328437917222964,0.5481832543443917,0.8853247794707297,0.711590290553324,0.4959646706705029,749,4239
4,10,5000,strong,10,S10_G5000_CNstrong_R10,DSG_vs_rest,283,52,465,4188,0.844776119402985,0.3783422459893048,0.5226223453370268,0.8963512429831596,0.6830390475229543,0.5221779636683144,748,4240
5,10,5000,strong,10,S10_G5000_CNstrong_R10,DIG_vs_rest,823,135,673,3357,0.8590814196242171,0.5501336898395722,0.6707416462917686,0.8380112269446672,0.7557369480125697,0.5949645781286501,1496,3492
6,10,5000,strong,13,S10_G5000_CNstrong_R13,DCG_vs_rest,331,153,419,4086,0.6838842975206612,0.44133333333333336,0.5364667747163695,0.885347765083183,0.702619957537155,0.4893329686197287,750,4239
7,10,5000,strong,13,S10_G5000_CNstrong_R13,DSG_vs_rest,271,48,477,4193,0.8495297805642633,0.3622994652406417,0.5079662605435802,0.8947684906794949,0.6754906899417072,0.5121712902166723,748,4241
8,10,5000,strong,13,S10_G5000_CNstrong_R13,DIG_vs_rest,805,132,691,3361,0.8591248665955176,0.5381016042780749,0.6617344841759145,0.8350370815794749,0.7501558694164494,0.5869502185503666,1496,3493
9,10,5000,strong,14,S10_G5000_CNstrong_R14,DCG_vs_rest,316,192,433,4042,0.6220472440944882,0.4218958611481976,0.5027844073190135,0.8745735500702388,0.6882743358646042,0.44474295743162773,749,4234
10,10,5000,strong,14,S10_G5000_CNstrong_R14,DSG_vs_rest,291,41,456,4195,0.8765060240963856,0.3895582329317269,0.5393883225208527,0.9002608870158539,0.6899396452666189,0.5438031053373482,747,4236
11,10,5000,strong,14,S10_G5000_CNstrong_R14,DIG_vs_rest,833,138,661,3351,0.8578784757981462,0.5575635876840697,0.6758620689655173,0.8396548264097933,0.7590053536012782,0.599203640073906,1494,3489
12,10,5000,strong,15,S10_G5000_CNstrong_R15,DCG_vs_rest,368,196,381,4043,0.6524822695035462,0.49132176234979974,0.5605483625285606,0.8843223736968725,0.7225422211135647,0.5020742173361508,749,4239
13,10,5000,strong,15,S10_G5000_CNstrong_R15,DSG_vs_rest,255,60,493,4180,0.8095238095238095,0.3409090909090909,0.4797742238946378,0.8891339214113874,0.6633790737564322,0.4796307128322868,748,4240
14,10,5000,strong,15,S10_G5000_CNstrong_R15,DIG_vs_rest,788,131,708,3361,0.8574537540805223,0.5267379679144385,0.6525879917184265,0.8317963111467522,0.7446118247361426,0.5782408332245986,1496,3492
15,10,5000,strong,3,S10_G5000_CNstrong_R3,DCG_vs_rest,326,181,424,4060,0.6429980276134122,0.43466666666666665,0.5186953062848051,0.8787818072530555,0.6959940265660615,0.4636612665939831,750,4241
16,10,5000,strong,3,S10_G5000_CNstrong_R3,DSG_vs_rest,271,48,477,4195,0.8495297805642633,0.3622994652406417,0.5079662605435802,0.8948106591865358,0.6754933574140989,0.5121901645400071,748,4243
17,10,5000,strong,3,S10_G5000_CNstrong_R3,DIG_vs_rest,815,122,682,3372,0.8697972251867663,0.5444221776887107,0.6696795398520953,0.8389100380685234,0.7547525885581504,0.5978734722595517,1497,3494
18,10,5000,strong,5,S10_G5000_CNstrong_R5,DCG_vs_rest,344,167,406,4077,0.6731898238747553,0.45866666666666667,0.5455987311657414,0.8852623147777333,0.7096584982720704,0.4942719515032009,750,4244
19,10,5000,strong,5,S10_G5000_CNstrong_R5,DSG_vs_rest,282,45,467,4200,0.8623853211009175,0.376502002670227,0.5241635687732342,0.8974769723668402,0.6829506479782231,0.5281422691499587,749,4245
20,10,5000,strong,5,S10_G5000_CNstrong_R5,DIG_vs_rest,834,140,664,3356,0.8562628336755647,0.5567423230974633,0.6747572815533981,0.8390068081698038,0.7583482782535371,0.5975643511491328,1498,3496
21,10,5000,strong,6,S10_G5000_CNstrong_R6,DCG_vs_rest,375,192,374,4049,0.6613756613756614,0.5006675567423231,0.5699088145896657,0.8865731462925852,0.7276976076567074,0.5125231766461043,749,4241
22,10,5000,strong,6,S10_G5000_CNstrong_R6,DSG_vs_rest,291,46,457,4196,0.8635014836795252,0.3890374331550802,0.5364055299539171,0.8991983967935872,0.6890967458090347,0.537983189123325,748,4242
23,10,5000,strong,6,S10_G5000_CNstrong_R6,DIG_vs_rest,829,133,668,3360,0.8617463617463618,0.5537742150968604,0.6742578283855226,0.8394789579158317,0.7578490313961256,0.59906428143988,1497,3493
24,10,5000,strong,7,S10_G5000_CNstrong_R7,DCG_vs_rest,353,172,397,4067,0.6723809523809524,0.4706666666666667,0.5537254901960784,0.8859490879935858,0.7150455296060392,0.5009345768825049,750,4239
25,10,5000,strong,7,S10_G5000_CNstrong_R7,DSG_vs_rest,272,51,476,4190,0.8421052631578947,0.36363636363636365,0.5079365079365079,0.8943676087392263,0.675805448972155,0.5101215070423354,748,4241
26,10,5000,strong,7,S10_G5000_CNstrong_R7,DIG_vs_rest,815,130,681,3363,0.8624338624338624,0.5447860962566845,0.6677591151167555,0.8374423732210864,0.7537844022651875,0.5935243405036248,1496,3493
27,10,5000,strong,9,S10_G5000_CNstrong_R9,DCG_vs_rest,349,189,401,4052,0.6486988847583643,0.4653333333333333,0.5419254658385093,0.881787216990583,0.7103841861196258,0.4848309884735959,750,4241
28,10,5000,strong,9,S10_G5000_CNstrong_R9,DSG_vs_rest,279,36,469,4207,0.8857142857142857,0.3729946524064171,0.5249294449670743,0.8988178721699058,0.682255044798542,0.5350622860247757,748,4243
29,10,5000,strong,9,S10_G5000_CNstrong_R9,DIG_vs_rest,797,127,700,3367,0.8625541125541125,0.5323981295925184,0.6584056175134242,0.8343017431376477,0.7480250522032427,0.5852276327477064,1497,3494
30,10,5000,weak,10,S10_G5000_CNweak_R10,DCG_vs_rest,272,192,477,4047,0.5862068965517241,0.36315086782376504,0.44847485572959606,0.865878107457899,0.6589285832395542,0.39091680115166216,749,4239
31,10,5000,weak,10,S10_G5000_CNweak_R10,DSG_vs_rest,198,43,550,4197,0.8215767634854771,0.2647058823529412,0.40040444893832156,0.8811146752205292,0.6272821864594894,0.4238510006303769,748,4240
32,10,5000,weak,10,S10_G5000_CNweak_R10,DIG_vs_rest,791,127,705,3365,0.8616557734204793,0.5287433155080213,0.6553438276719138,0.8331996792301524,0.7461872362190738,0.5822103176848658,1496,3492
33,10,5000,weak,13,S10_G5000_CNweak_R13,DCG_vs_rest,247,166,503,4073,0.5980629539951574,0.3293333333333333,0.4247635425623388,0.8659049909801564,0.6450865770228827,0.3763583332958654,750,4239
34,10,5000,weak,13,S10_G5000_CNweak_R13,DSG_vs_rest,182,47,566,4194,0.7947598253275109,0.24331550802139038,0.3725690890481064,0.8771296853076769,0.6161166080545528,0.3961759009443635,748,4241
35,10,5000,weak,13,S10_G5000_CNweak_R13,DIG_vs_rest,791,159,705,3334,0.8326315789473684,0.5287433155080213,0.6467702371218316,0.8268190018039687,0.7416118524290751,0.5639162260404368,1496,3493
36,10,5000,weak,14,S10_G5000_CNweak_R14,DCG_vs_rest,233,157,516,4077,0.5974358974358974,0.31108144192256343,0.40913081650570676,0.8649407987156331,0.6370003336207055,0.36457545785339784,749,4234
37,10,5000,weak,14,S10_G5000_CNweak_R14,DSG_vs_rest,198,35,549,4201,0.8497854077253219,0.26506024096385544,0.40408163265306124,0.8828015251856312,0.6283988645801336,0.43421486818676513,747,4236
38,10,5000,weak,14,S10_G5000_CNweak_R14,DIG_vs_rest,789,159,705,3330,0.8322784810126582,0.5281124497991968,0.6461916461916462,0.8266104756170981,0.7412703263613353,0.5632922195496052,1494,3489
39,10,5000,weak,15,S10_G5000_CNweak_R15,DCG_vs_rest,292,218,457,4021,0.5725490196078431,0.38985313751668893,0.46386020651310567,0.8646752205292703,0.6692129570574716,0.3990332589380145,749,4239
40,10,5000,weak,15,S10_G5000_CNweak_R15,DSG_vs_rest,169,51,579,4189,0.7681818181818182,0.22593582887700533,0.34917355371900827,0.8736968724939855,0.6069537634951063,0.3719463748733488,748,4240
41,10,5000,weak,15,S10_G5000_CNweak_R15,DIG_vs_rest,773,144,723,3348,0.8429661941112323,0.5167112299465241,0.6406962287608786,0.8261828388131516,0.7377370582722311,0.5624637984435363,1496,3492
42,10,5000,weak,16,S10_G5000_CNweak_R16,DCG_vs_rest,252,174,498,4065,0.5915492957746479,0.336,0.42857142857142855,0.8653036680697535,0.6474762915782024,0.37721113998996664,750,4239
43,10,5000,weak,16,S10_G5000_CNweak_R16,DSG_vs_rest,193,45,555,4196,0.8109243697478992,0.2580213903743315,0.39148073022312374,0.8797354179194228,0.6237053426759656,0.41440252576145126,748,4241
44,10,5000,weak,16,S10_G5000_CNweak_R16,DIG_vs_rest,767,142,729,3351,0.8437843784378438,0.5127005347593583,0.6378378378378379,0.8254159150130287,0.7360239003599254,0.5603237681392687,1496,3493
45,10,5000,weak,19,S10_G5000_CNweak_R19,DCG_vs_rest,260,182,490,4059,0.5882352941176471,0.3466666666666667,0.436241610738255,0.8653576437587658,0.6518761298435902,0.3820455823857816,750,4241
46,10,5000,weak,19,S10_G5000_CNweak_R19,DSG_vs_rest,203,39,545,4204,0.8388429752066116,0.2713903743315508,0.4101010101010101,0.8829893808855941,0.63109938231072,0.43572169876711525,748,4243
47,10,5000,weak,19,S10_G5000_CNweak_R19,DIG_vs_rest,820,147,677,3347,0.8479834539813857,0.5477621910487642,0.6655844155844156,0.8349028250851532,0.7528450337041188,0.5862927865552348,1497,3494
48,10,5000,weak,3,S10_G5000_CNweak_R3,DCG_vs_rest,262,192,488,4049,0.5770925110132159,0.34933333333333333,0.43521594684385384,0.8637547585654177,0.6520304959522125,0.3778445477507829,750,4241
49,10,5000,weak,3,S10_G5000_CNweak_R3,DSG_vs_rest,181,54,567,4189,0.7702127659574468,0.24197860962566844,0.36826042726347913,0.8755760368663594,0.6146258827058345,0.38631818274219976,748,4243
50,10,5000,weak,3,S10_G5000_CNweak_R3,DIG_vs_rest,816,152,681,3342,0.8429752066115702,0.5450901803607214,0.6620689655172414,0.8330995792426368,0.7507935160532858,0.5813075390237857,1497,3494
51,10,5000,weak,4,S10_G5000_CNweak_R4,DCG_vs_rest,263,170,488,4071,0.6073903002309469,0.35019973368841545,0.44425675675675674,0.8681891025641025,0.6550574240241182,0.3939108296332231,751,4241
52,10,5000,weak,4,S10_G5000_CNweak_R4,DSG_vs_rest,172,47,576,4197,0.7853881278538812,0.22994652406417113,0.3557394002068252,0.8752003205128205,0.6094360330028679,0.3814266638079357,748,4244
53,10,5000,weak,4,S10_G5000_CNweak_R4,DIG_vs_rest,826,153,671,3342,0.8437180796731358,0.5517702070808284,0.6672051696284329,0.8349358974358975,0.7539966915232468,0.5862280836757181,1497,3495
54,10,5000,weak,5,S10_G5000_CNweak_R5,DCG_vs_rest,294,174,456,4070,0.6282051282051282,0.392,0.4827586206896552,0.8738486183420104,0.6755004712535344,0.4302752846649099,750,4244
55,10,5000,weak,5,S10_G5000_CNweak_R5,DSG_vs_rest,182,46,567,4199,0.7982456140350878,0.24299065420560748,0.3725690890481064,0.8772527032438927,0.6160771881157602,0.3971112479590786,749,4245
56,10,5000,weak,5,S10_G5000_CNweak_R5,DIG_vs_rest,798,165,700,3331,0.8286604361370716,0.5327102803738317,0.6485168630637952,0.8267921505806969,0.7427567420175795,0.5639276278312214,1498,3496
57,10,5000,weak,6,S10_G5000_CNweak_R6,DCG_vs_rest,283,183,466,4058,0.6072961373390557,0.37783711615487314,0.46584362139917695,0.869939879759519,0.6673434578652225,0.41082751535425055,749,4241
58,10,5000,weak,6,S10_G5000_CNweak_R6,DSG_vs_rest,199,39,549,4203,0.8361344537815126,0.2660427807486631,0.40365111561866124,0.8821643286573146,0.6284245021140769,0.4302167576502834,748,4242
59,10,5000,weak,6,S10_G5000_CNweak_R6,DIG_vs_rest,811,164,686,3329,0.8317948717948718,0.541750167000668,0.6561488673139159,0.8296593186372746,0.7473995610268155,0.571865676263129,1497,3493
60,20,5000,strong,1,S20_G5000_CNstrong_R1,DCG_vs_rest,475,280,275,3959,0.6291390728476821,0.6333333333333333,0.6312292358803987,0.888755261575466,0.7836400094361877,0.5657322335903519,750,4239
61,20,5000,strong,1,S20_G5000_CNstrong_R1,DSG_vs_rest,406,43,342,4198,0.9042316258351893,0.5427807486631016,0.6783625730994152,0.9228302264982963,0.7663208152652928,0.6644601585910231,748,4241
62,20,5000,strong,1,S20_G5000_CNstrong_R1,DIG_vs_rest,1052,181,444,3312,0.8532035685320357,0.7032085561497327,0.7709783803591059,0.8747243936660654,0.825695317296166,0.6919301735904434,1496,3493
63,20,5000,strong,10,S20_G5000_CNstrong_R10,DCG_vs_rest,491,275,258,3964,0.6409921671018277,0.6555407209612817,0.6481848184818482,0.8931435445068163,0.7953334649864204,0.5852504742073411,749,4239
64,20,5000,strong,10,S20_G5000_CNstrong_R10,DSG_vs_rest,441,58,307,4182,0.8837675350701403,0.589572192513369,0.7072975140336808,0.9268243785084203,0.7879464736151751,0.6852521575612442,748,4240
65,20,5000,strong,10,S20_G5000_CNstrong_R10,DIG_vs_rest,1035,178,461,3314,0.8532563891178895,0.6918449197860963,0.7641196013289037,0.8718925421010425,0.8204356328598293,0.6845179416270627,1496,3492
66,20,5000,strong,11,S20_G5000_CNstrong_R11,DCG_vs_rest,458,256,293,3990,0.6414565826330533,0.6098535286284953,0.6252559726962458,0.8901340804482689,0.7747807445309223,0.5611811981018165,751,4246
