,sample_size,n_genes,cn_signal,replicate,tag,comparison,TP,FP,FN,TN,Precision,Recall,F1 score,Accuracy,AUC,MCC,n_pos,n_neg
0,10,5000,strong,1,S10_G5000_CNstrong_R1,DCG_vs_DSG,363,33,387,715,0.9166666666666666,0.484,0.6335078534031413,0.719626168224299,0.7199411764705883,0.49874617711860236,750,748
1,10,5000,strong,1,S10_G5000_CNstrong_R1,DCG_vs_DIG,363,80,387,1416,0.8194130925507901,0.484,0.6085498742665549,0.7920747996438112,0.7152620320855615,0.5102630649728407,750,1496
2,10,5000,strong,10,S10_G5000_CNstrong_R10,DCG_vs_DSG,347,26,402,722,0.9302949061662198,0.46328437917222964,0.6185383244206774,0.7140948563794255,0.7142625104417297,0.49537070626315816,749,748
3,10,5000,strong,10,S10_G5000_CNstrong_R10,DCG_vs_DIG,347,87,402,1409,0.7995391705069125,0.46328437917222964,0.5866441251056635,0.7821826280623608,0.702564649479163,0.48372247711664396,749,1496
4,10,5000,strong,13,S10_G5000_CNstrong_R13,DCG_vs_DSG,331,21,419,727,0.9403409090909091,0.44133333333333336,0.6007259528130672,0.7062750333778371,0.7066292335115865,0.48734840655736666,750,748
5,10,5000,strong,13,S10_G5000_CNstrong_R13,DCG_vs_DIG,331,80,419,1416,0.805352798053528,0.44133333333333336,0.570198105081826,0.7778272484416741,0.6939286987522282,0.47307452532225774,750,1496
6,10,5000,strong,14,S10_G5000_CNstrong_R14,DCG_vs_DSG,316,35,433,712,0.9002849002849003,0.4218958611481976,0.5745454545454546,0.6871657754010695,0.687520889074768,0.4425114955531073,749,747
7,10,5000,strong,14,S10_G5000_CNstrong_R14,DCG_vs_DIG,316,109,433,1385,0.7435294117647059,0.4218958611481976,0.5383304940374787,0.758359340169416,0.6744686802394267,0.41992552578667436,749,1494
8,10,5000,strong,15,S10_G5000_CNstrong_R15,DCG_vs_DSG,368,36,381,712,0.9108910891089109,0.49132176234979974,0.6383347788378144,0.7214428857715431,0.7215967100519053,0.49921111711234184,749,748
9,10,5000,strong,15,S10_G5000_CNstrong_R15,DCG_vs_DIG,368,101,381,1395,0.7846481876332623,0.49132176234979974,0.6042692939244664,0.7853006681514476,0.7119041966829214,0.49155074315923686,749,1496
10,10,5000,strong,3,S10_G5000_CNstrong_R3,DCG_vs_DSG,326,28,424,720,0.9209039548022598,0.43466666666666665,0.5905797101449275,0.69826435246996,0.6986167557932265,0.46753342704856077,750,748
11,10,5000,strong,3,S10_G5000_CNstrong_R3,DCG_vs_DIG,326,95,424,1402,0.7743467933491687,0.43466666666666665,0.5567890691716482,0.7690253671562083,0.6856032064128257,0.4486065059423492,750,1497
12,10,5000,strong,5,S10_G5000_CNstrong_R5,DCG_vs_DSG,344,22,406,727,0.9398907103825137,0.45866666666666667,0.6164874551971327,0.71447631754503,0.7146470850022252,0.49965591559275685,750,749
13,10,5000,strong,5,S10_G5000_CNstrong_R5,DCG_vs_DIG,344,82,406,1416,0.8075117370892019,0.45866666666666667,0.5850340136054422,0.7829181494661922,0.7019635068980864,0.48597110916897096,750,1498
14,10,5000,strong,6,S10_G5000_CNstrong_R6,DCG_vs_DSG,375,32,374,716,0.9213759213759214,0.5006675567423231,0.6487889273356401,0.7287909151636607,0.7289434040396108,0.5145639845106168,749,748
15,10,5000,strong,6,S10_G5000_CNstrong_R6,DCG_vs_DIG,375,99,374,1398,0.7911392405063291,0.5006675567423231,0.6132461161079313,0.7894033837934105,0.7172676461066325,0.5020602456931811,749,1497
16,10,5000,strong,7,S10_G5000_CNstrong_R7,DCG_vs_DSG,353,38,397,710,0.9028132992327366,0.4706666666666667,0.6187554776511832,0.7096128170894526,0.7099322638146168,0.47800058287171543,750,748
17,10,5000,strong,7,S10_G5000_CNstrong_R7,DCG_vs_DIG,353,75,397,1421,0.8247663551401869,0.4706666666666667,0.599320882852292,0.7898486197684773,0.7102664884135473,0.5049840510034596,750,1496
18,10,5000,strong,9,S10_G5000_CNstrong_R9,DCG_vs_DSG,349,27,401,721,0.9281914893617021,0.4653333333333333,0.6198934280639432,0.7142857142857143,0.7146185383244207,0.49498074856455343,750,748
19,10,5000,strong,9,S10_G5000_CNstrong_R9,DCG_vs_DIG,349,100,401,1397,0.77728285077951,0.4653333333333333,0.5821517931609674,0.7770360480640854,0.6992665330661323,0.4699891998363575,750,1497
20,10,5000,weak,10,S10_G5000_CNweak_R10,DCG_vs_DSG,272,29,477,719,0.9036544850498339,0.36315086782376504,0.518095238095238,0.6619906479625919,0.6621904071739145,0.40466722377004044,749,748
21,10,5000,weak,10,S10_G5000_CNweak_R10,DCG_vs_DIG,272,110,477,1386,0.7120418848167539,0.36315086782376504,0.48099027409372236,0.7385300668151448,0.6448107280295297,0.36341205484242667,749,1496
22,10,5000,weak,13,S10_G5000_CNweak_R13,DCG_vs_DSG,247,26,503,722,0.9047619047619048,0.3293333333333333,0.48289345063538613,0.6468624833110814,0.6472869875222816,0.3815280193813311,750,748
23,10,5000,weak,13,S10_G5000_CNweak_R13,DCG_vs_DIG,247,81,503,1415,0.7530487804878049,0.3293333333333333,0.4582560296846011,0.7399821905609973,0.6375944741532976,0.36750748915627884,750,1496
24,10,5000,weak,14,S10_G5000_CNweak_R14,DCG_vs_DSG,233,18,516,729,0.9282868525896414,0.31108144192256343,0.466,0.643048128342246,0.6434925281901974,0.38400683670662655,749,747
25,10,5000,weak,14,S10_G5000_CNweak_R14,DCG_vs_DIG,233,83,516,1411,0.7373417721518988,0.31108144192256343,0.4375586854460094,0.7329469460543915,0.6277629431835039,0.3463910899904394,749,1494
26,10,5000,weak,15,S10_G5000_CNweak_R15,DCG_vs_DSG,292,36,457,712,0.8902439024390244,0.38985313751668893,0.542246982358403,0.6706746826987308,0.6708623976353498,0.4130703497161426,749,748
27,10,5000,weak,15,S10_G5000_CNweak_R15,DCG_vs_DIG,292,106,457,1390,0.7336683417085427,0.38985313751668893,0.5091543156059285,0.7492204899777283,0.6594987612717135,0.39383928292323805,749,1496
28,10,5000,weak,16,S10_G5000_CNweak_R16,DCG_vs_DSG,252,25,498,723,0.9097472924187726,0.336,0.4907497565725414,0.6508678237650201,0.651288770053476,0.3896910234864621,750,748
29,10,5000,weak,16,S10_G5000_CNweak_R16,DCG_vs_DIG,252,91,498,1405,0.7346938775510204,0.336,0.46111619396157366,0.7377560106856634,0.6375855614973263,0.3607720054190288,750,1496
30,10,5000,weak,19,S10_G5000_CNweak_R19,DCG_vs_DSG,260,24,490,724,0.9154929577464789,0.3466666666666667,0.5029013539651838,0.6568758344459279,0.6572905525846703,0.40127818554524414,750,748
31,10,5000,weak,19,S10_G5000_CNweak_R19,DCG_vs_DIG,260,93,490,1404,0.7365439093484419,0.3466666666666667,0.471441523118767,0.7405429461504228,0.6422712090848365,0.3687323233566223,750,1497
32,10,5000,weak,3,S10_G5000_CNweak_R3,DCG_vs_DSG,262,36,488,712,0.8791946308724832,0.34933333333333333,0.5,0.650200267022697,0.650602495543672,0.3772635434906662,750,748
33,10,5000,weak,3,S10_G5000_CNweak_R3,DCG_vs_DIG,262,90,488,1407,0.7443181818181818,0.34933333333333333,0.47549909255898365,0.7427681352914998,0.6446065464261858,0.3752178951038529,750,1497
34,10,5000,weak,4,S10_G5000_CNweak_R4,DCG_vs_DSG,263,29,488,719,0.9006849315068494,0.35019973368841545,0.5043144774688398,0.6551034022681788,0.6557148401062398,0.3931748289085186,751,748
35,10,5000,weak,4,S10_G5000_CNweak_R4,DCG_vs_DIG,263,83,488,1414,0.7601156069364162,0.35019973368841545,0.479489516864175,0.7459964412811388,0.6473777559557642,0.3852560771148523,751,1497
36,10,5000,weak,5,S10_G5000_CNweak_R5,DCG_vs_DSG,294,27,456,722,0.9158878504672897,0.392,0.5490196078431373,0.6777851901267512,0.6779759679572763,0.43384813851620724,750,749
37,10,5000,weak,5,S10_G5000_CNweak_R5,DCG_vs_DIG,294,88,456,1410,0.7696335078534031,0.392,0.519434628975265,0.7580071174377224,0.6666275033377836,0.4183846283813213,750,1498
38,10,5000,weak,6,S10_G5000_CNweak_R6,DCG_vs_DSG,283,29,466,719,0.907051282051282,0.37783711615487314,0.5334590009425071,0.6693386773547094,0.6695335313394687,0.41738884648667646,749,748
39,10,5000,weak,6,S10_G5000_CNweak_R6,DCG_vs_DIG,283,93,466,1404,0.7526595744680851,0.37783711615487314,0.5031111111111111,0.751113089937667,0.6578564338289397,0.3986845135276473,749,1497
40,20,5000,strong,1,S20_G5000_CNstrong_R1,DCG_vs_DSG,475,58,275,690,0.8911819887429644,0.6333333333333333,0.7404520654715511,0.7777036048064085,0.7778966131907308,0.5804534796915523,750,748
41,20,5000,strong,1,S20_G5000_CNstrong_R1,DCG_vs_DIG,475,103,275,1393,0.8217993079584776,0.6333333333333333,0.7153614457831325,0.8317008014247551,0.7822415329768271,0.6089552851200022,750,1496
42,20,5000,strong,10,S20_G5000_CNstrong_R10,DCG_vs_DSG,491,29,258,719,0.9442307692307692,0.6555407209612817,0.7738376674546887,0.8082832331329325,0.8083853337426727,0.6476889165931905,749,748
43,20,5000,strong,10,S20_G5000_CNstrong_R10,DCG_vs_DIG,491,127,258,1369,0.7944983818770227,0.6555407209612817,0.7183613752743233,0.8285077951002228,0.7853238364164696,0.6024024674922605,749,1496
44,20,5000,strong,11,S20_G5000_CNstrong_R11,DCG_vs_DSG,458,46,293,703,0.9087301587301587,0.6098535286284953,0.7298804780876494,0.774,0.7742191541673853,0.58055547154677,751,749
45,20,5000,strong,11,S20_G5000_CNstrong_R11,DCG_vs_DIG,458,115,293,1384,0.7993019197207679,0.6098535286284953,0.6918429003021148,0.8186666666666667,0.7665678583769562,0.5770516951490258,751,1499
46,20,5000,strong,12,S20_G5000_CNstrong_R12,DCG_vs_DSG,456,37,294,711,0.9249492900608519,0.608,0.7337087691069992,0.7790387182910548,0.7792673796791445,0.5943265694727342,750,748
47,20,5000,strong,12,S20_G5000_CNstrong_R12,DCG_vs_DIG,456,94,294,1403,0.8290909090909091,0.608,0.7015384615384616,0.8273253226524254,0.7726038744154977,0.5979726016658967,750,1497
48,20,5000,strong,13,S20_G5000_CNstrong_R13,DCG_vs_DSG,470,39,280,709,0.9233791748526523,0.6266666666666667,0.7466243050039714,0.7870493991989319,0.7872638146167559,0.6065062946382108,750,748
49,20,5000,strong,13,S20_G5000_CNstrong_R13,DCG_vs_DIG,470,93,280,1403,0.8348134991119005,0.6266666666666667,0.715917745620716,0.833926981300089,0.7822504456327987,0.6142777784951486,750,1496
50,20,5000,strong,14,S20_G5000_CNstrong_R14,DCG_vs_DSG,447,32,302,715,0.9331941544885177,0.5967957276368492,0.7280130293159609,0.7767379679144385,0.776978854447608,0.5936761292383406,749,747
51,20,5000,strong,14,S20_G5000_CNstrong_R14,DCG_vs_DIG,447,128,302,1366,0.7773913043478261,0.5967957276368492,0.675226586102719,0.8082924654480607,0.7555598450767914,0.5520861775435594,749,1494
52,20,5000,strong,15,S20_G5000_CNstrong_R15,DCG_vs_DSG,470,32,279,716,0.9362549800796812,0.6275033377837116,0.7513988808952837,0.7922511690046761,0.792361294560305,0.61926734672357,749,748
53,20,5000,strong,15,S20_G5000_CNstrong_R15,DCG_vs_DIG,470,104,279,1392,0.818815331010453,0.6275033377837116,0.7105064247921391,0.8293986636971047,0.7789923106030857,0.6030936611812154,749,1496
54,20,5000,strong,16,S20_G5000_CNstrong_R16,DCG_vs_DSG,491,40,259,708,0.9246704331450094,0.6546666666666666,0.7665886026541764,0.8004005340453939,0.8005953654188948,0.6283957064811885,750,748
55,20,5000,strong,16,S20_G5000_CNstrong_R16,DCG_vs_DIG,491,112,259,1384,0.814262023217247,0.6546666666666666,0.7257945306725795,0.8348174532502226,0.7899001782531193,0.6170174814680763,750,1496
56,20,5000,strong,17,S20_G5000_CNstrong_R17,DCG_vs_DSG,469,54,281,694,0.8967495219885278,0.6253333333333333,0.7368421052631579,0.7763684913217623,0.7765704099821746,0.5801816482465276,750,748
57,20,5000,strong,17,S20_G5000_CNstrong_R17,DCG_vs_DIG,469,104,281,1392,0.8184991273996509,0.6253333333333333,0.708994708994709,0.8285841495992876,0.7779073083778966,0.6013137165236294,750,1496
58,20,5000,strong,18,S20_G5000_CNstrong_R18,DCG_vs_DSG,473,30,278,718,0.9403578528827038,0.62982689747004,0.7543859649122807,0.7945296864576384,0.7948599727991911,0.6244575524248153,751,748
59,20,5000,strong,18,S20_G5000_CNstrong_R18,DCG_vs_DIG,473,107,278,1390,0.8155172413793104,0.62982689747004,0.7107438016528925,0.8287366548042705,0.7791753057824482,0.601902081077179,751,1497
60,20,5000,strong,19,S20_G5000_CNstrong_R19,DCG_vs_DSG,467,39,283,709,0.9229249011857708,0.6226666666666667,0.7436305732484076,0.7850467289719626,0.7852638146167558,0.6031523401912319,750,748
61,20,5000,strong,19,S20_G5000_CNstrong_R19,DCG_vs_DIG,467,108,283,1389,0.8121739130434783,0.6226666666666667,0.7049056603773585,0.8259902091677792,0.7752611890447563,0.5949280560724745,750,1497
62,20,5000,strong,2,S20_G5000_CNstrong_R2,DCG_vs_DSG,463,44,287,704,0.9132149901380671,0.6173333333333333,0.7366746221161495,0.7790387182910548,0.7792549019607843,0.590162247978886,750,748
63,20,5000,strong,2,S20_G5000_CNstrong_R2,DCG_vs_DIG,463,117,287,1380,0.7982758620689655,0.6173333333333333,0.6962406015037594,0.8202047174009791,0.7695885103540414,0.5810200371683182,750,1497
64,20,5000,strong,20,S20_G5000_CNstrong_R20,DCG_vs_DSG,489,54,262,694,0.9005524861878453,0.6511318242343542,0.7557959814528593,0.7891927951967979,0.7894696554326852,0.6022474174387101,751,748
65,20,5000,strong,20,S20_G5000_CNstrong_R20,DCG_vs_DIG,489,121,262,1376,0.8016393442622951,0.6511318242343542,0.7185892725936811,0.8296263345195729,0.7851517504605304,0.6049438139301198,751,1497
66,20,5000,strong,3,S20_G5000_CNstrong_R3,DCG_vs_DSG,483,38,267,710,0.927063339731286,0.644,0.7600314712824547,0.7963951935914553,0.7965989304812835,0.622751616374469,750,748
67,20,5000,strong,3,S20_G5000_CNstrong_R3,DCG_vs_DIG,483,135,267,1362,0.7815533980582524,0.644,0.706140350877193,0.8210947930574098,0.7769098196392786,0.5848642887736892,750,1497
68,20,5000,strong,4,S20_G5000_CNstrong_R4,DCG_vs_DSG,460,48,291,700,0.905511811023622,0.6125166444740346,0.7307386814932486,0.7738492328218812,0.7741727607396911,0.5792371190764959,751,748
69,20,5000,strong,4,S20_G5000_CNstrong_R4,DCG_vs_DIG,460,88,291,1409,0.8394160583941606,0.6125166444740346,0.7082371054657429,0.8314056939501779,0.7768662046685471,0.6082975562750533,751,1497
70,20,5000,strong,5,S20_G5000_CNstrong_R5,DCG_vs_DSG,489,50,261,699,0.9072356215213359,0.652,0.7587276958882855,0.7925283522348232,0.7926221628838452,0.6097878307752581,750,749
71,20,5000,strong,5,S20_G5000_CNstrong_R5,DCG_vs_DIG,489,131,261,1367,0.7887096774193548,0.652,0.7138686131386861,0.8256227758007118,0.7822750333778373,0.5956154524858213,750,1498
72,20,5000,strong,6,S20_G5000_CNstrong_R6,DCG_vs_DSG,481,42,268,706,0.9196940726577438,0.6421895861148198,0.7562893081761006,0.7929191716766867,0.7930199267472495,0.6145943111882368,749,748
