,sample_size,n_genes,cn_signal,replicate,tag,method,TP,FP,FN,TN,Precision,Recall,F1,Accuracy,AUC,MCC,n_pos,n_neg,FP_DSG,FP_NEUTRAL
0,10,5000,strong,1,S10_G5000_CNstrong_R1,PyDESeq2,819,275,680,2717,0.7486288848263254,0.5463642428285523,0.6317007327419977,0.7873524827432643,0.727226239061335,0.4992449178087564,1499,2992,195,80
1,10,5000,strong,1,S10_G5000_CNstrong_R1,DeConveil,871,160,628,2832,0.8448108632395732,0.5810540360240161,0.6885375494071146,0.8245379648185259,0.7637890500975696,0.5915629808182175,1499,2992,22,138
2,10,5000,strong,10,S10_G5000_CNstrong_R10,PyDESeq2,811,264,693,2728,0.7544186046511628,0.5392287234042553,0.6289259402869329,0.787144128113879,0.7254967146433041,0.4988777766715185,1504,2992,171,93
3,10,5000,strong,10,S10_G5000_CNstrong_R10,DeConveil,853,148,651,2844,0.8521478521478522,0.567154255319149,0.6810379241516966,0.8222864768683275,0.7588445073387189,0.5871283258790203,1504,2992,22,126
4,10,5000,strong,11,S10_G5000_CNstrong_R11,PyDESeq2,896,255,604,2736,0.7784535186794093,0.5973333333333334,0.6759713315729913,0.8087285682476063,0.7560387830157138,0.5531955663650908,1500,2991,172,83
5,10,5000,strong,11,S10_G5000_CNstrong_R11,DeConveil,915,151,585,2840,0.8583489681050657,0.61,0.7131722525331254,0.8361166778000445,0.7797576061517886,0.6202358206661024,1500,2991,21,130
6,10,5000,strong,12,S10_G5000_CNstrong_R12,PyDESeq2,820,286,682,2700,0.7414104882459313,0.5459387483355526,0.6288343558282209,0.7843137254901961,0.7250792201155326,0.49292506259491187,1502,2986,202,84
7,10,5000,strong,12,S10_G5000_CNstrong_R12,DeConveil,850,156,652,2830,0.8449304174950298,0.5659121171770972,0.6778309409888357,0.8199643493761141,0.7568341563782339,0.5812316700184081,1502,2986,20,136
8,10,5000,strong,13,S10_G5000_CNstrong_R13,PyDESeq2,834,259,666,2724,0.7630375114364135,0.556,0.6432703432317779,0.7936649565023421,0.7345873281930942,0.5155809598933604,1500,2983,181,78
9,10,5000,strong,13,S10_G5000_CNstrong_R13,DeConveil,872,153,628,2830,0.8507317073170731,0.5813333333333334,0.6906930693069306,0.82578630381441,0.7650213431668342,0.5955368993084011,1500,2983,27,126
