,sample_size,n_genes,cn_signal,replicate,tag,comparison,TP,FP,FN,TN,Precision,Recall,F1 score,Accuracy,AUC,MCC,n_pos,n_neg
0,10,5000,strong,1,S10_G5000_CNstrong_R1,DCG_vs_rest,392,218,358,4021,0.6426229508196721,0.5226666666666666,0.5764705882352941,0.8845460012026458,0.7356197216324605,0.5141047116694913,750,4239
1,10,5000,strong,1,S10_G5000_CNstrong_R1,DSG_vs_rest,304,80,444,4161,0.7916666666666666,0.40641711229946526,0.5371024734982333,0.8949689316496292,0.6937768183520434,0.5190824218940332,748,4241
2,10,5000,strong,1,S10_G5000_CNstrong_R1,DIG_vs_rest,761,88,735,3405,0.8963486454652533,0.5086898395721925,0.6490405117270789,0.8350370815794749,0.7417482979710376,0.5895280782858566,1496,3493
3,10,5000,strong,10,S10_G5000_CNstrong_R10,DCG_vs_rest,390,229,359,4010,0.630048465266559,0.520694259012016,0.5701754385964912,0.8821170809943866,0.7333360419853663,0.5056477658638855,749,4239
4,10,5000,strong,10,S10_G5000_CNstrong_R10,DSG_vs_rest,317,79,431,4161,0.8005050505050505,0.42379679144385024,0.5541958041958042,0.8977546110665597,0.7025823579860762,0.5350776513111023,748,4240
5,10,5000,strong,10,S10_G5000_CNstrong_R10,DIG_vs_rest,791,113,705,3379,0.875,0.5287433155080213,0.6591666666666667,0.8360064153969526,0.7481918181205628,0.5904638153829652,1496,3492
6,10,5000,strong,13,S10_G5000_CNstrong_R13,DCG_vs_rest,370,207,380,4032,0.6412478336221837,0.49333333333333335,0.557648831951771,0.8823411505311686,0.7222505307855627,0.4967404015198683,750,4239
7,10,5000,strong,13,S10_G5000_CNstrong_R13,DSG_vs_rest,292,72,456,4169,0.8021978021978022,0.39037433155080214,0.5251798561151079,0.894167167769092,0.6866986017574808,0.5125655763931037,748,4241
8,10,5000,strong,13,S10_G5000_CNstrong_R13,DIG_vs_rest,772,105,724,3388,0.8802736602052451,0.516042780748663,0.650653181626633,0.8338344357586691,0.742991330254091,0.5850049140103986,1496,3493
9,10,5000,strong,14,S10_G5000_CNstrong_R14,DCG_vs_rest,358,261,391,3973,0.5783521809369951,0.4779706275033378,0.5233918128654971,0.8691551274332732,0.7081633959434497,0.4510897929250422,749,4234
