,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,padj_stageR,DE_confirmed
TCP11,5865.928114886883,0.5512883682329117,0.7025759323307991,1.268193982633462,0.20472868538627975,0.36384877395696835,,0.0
RNA5SP216,23697.065421585306,2.170662514951482,0.25041605997716354,7.038083104456134,1.949024402425639e-12,1.4636733632652094e-11,3.945451100816231e-12,1.0
EML5,88071.89547293991,1.8942163953185092,0.17970849264787397,0.7341310794937383,0.46286885321130633,0.6619607826280824,,0.0
TEX19,192.33988655120243,2.79114693981837,0.019873700975150052,-10.669406681145711,1.4152718627097902e-26,1.985356090554127e-25,2.864964605744909e-26,1.0
PA2G4P5,32025.66534138821,1.0664705888596862,0.19368451979259033,4.485602599431725,7.270814835044581e-06,2.924568103918382e-05,1.4718463431784611e-05,1.0
FLOT2,929749.400320689,1.4100669969715272,0.12531693451804743,-1.576388843058464,0.11493621801993101,0.2302412646576556,0.2326678041311453,0.0
LINC01436,13891.931730056793,-4.014944642456964,0.7021717034687673,-5.938234776589062,2.8810726728131974e-09,1.648118777552017e-08,5.832216022711434e-09,1.0
CPNE6,47.43978893074568,1.121349795837973,0.04150699745444999,-3.836255347453545,0.00012492452193498213,0.00043114931758348363,0.00025288733787730066,1.0
RNF168,190371.36301237642,0.4611230243228554,0.16991912741150844,-8.085038688675965,6.214446644363179e-16,5.80092458728032e-15,1.258003507983369e-15,1.0
HBG2,1254.8168928899004,-0.8218143691336098,0.7120450392720398,-1.8862115620753377,0.059266451081246986,0.13044365654462206,,0.0
RBBP4,930838.5626957184,1.9245404261915058,0.1421964159185323,-1.0577332412836082,0.2901770758904977,0.47304789786093426,,0.0
ZFP14,96110.93804148363,0.9464197962846507,0.27684877744702985,-1.4085494664495608,0.1589684302622716,0.29856650647979854,0.3218031377096815,0.0
RAB33B,81903.24795794513,0.7208097614999607,0.16367520017494216,0.12681084909022183,0.8990901087329496,0.9841018419123496,,0.0
SERPINB8,81621.69620367853,1.393211674213878,0.36095370477672223,-0.29603057040082636,0.7672067353329968,0.898531143752269,,0.0
SETP17,1562.018014564728,1.889265941905314,0.622032625284374,3.552668597757004,0.00038134455853503597,0.0012414828717887676,0.0007719638124539805,1.0
ATP6V1E1P1,11971.257763444655,-1.1480357695422951,0.20964545023444012,-5.8517520689928295,4.864213686674893e-09,2.732495292604546e-08,9.84673009779263e-09,1.0
AMPD3,52812.575901345444,1.1911991775771702,0.34211900745816604,-0.20423863430067352,0.8381670217894504,0.9463121930428716,,0.0
NHSL1,65040.663455728805,-0.3076486369773396,0.3963221227345401,-8.633690841669603,5.940341735685556e-18,6.245487711160772e-17,1.2025158746661397e-17,1.0
RPL7P23,412753.25796440616,1.497538977984275,0.33461065314643235,-0.801451370428993,0.42287038594912807,0.6225086631767223,,0.0
MROH7,9599.029335608097,-1.6007138023659127,0.5453277172376131,-4.3399280585203135,1.4252937000533936e-05,5.5521971435777284e-05,2.8852520219159496e-05,1.0
ADAMTSL4,416747.60980897106,0.9145599705987499,0.30931850059716415,-2.819982670266723,0.004802624307085879,0.01339157218849072,0.009722053420991845,1.0
ARHGAP35,2312660.8269569525,3.291630060658437,0.10603760995606597,7.1457299657621185,8.951888641932048e-13,6.9203919315493266e-12,1.8121496504989316e-12,1.0
HSD17B6,11514.7839010666,-1.1936253733432163,0.6731487899995859,-3.630569583997495,0.00028279644791551667,0.0009328173453699407,0.0005724707989015364,1.0
LINC01894,1019.1276277223075,1.4827535540212566,0.7068402657419611,2.7858531162559443,0.005338705693411554,0.01473010841596536,0.010807254249249007,1.0
CBX5,1057842.2797273872,2.4363898628574945,0.16458895104933005,2.892783122748888,0.003818448620133642,0.01079803647165765,0.007729765873103935,1.0
RPUSD4,128812.90534149375,1.5253544969504393,0.20366566927214422,-1.3108425041703193,0.18991097914543742,0.3430205322029048,,0.0
ZNF853,49643.98307848054,1.6709315206450508,0.29122631801980237,-0.1979214596858377,0.8431065138923938,0.9487117488590376,1.0,0.0
GCFC2,92769.70973802381,-0.9516858529741233,0.16557874944773418,-10.991868102855051,4.181797908855391e-28,6.070900801402274e-27,8.465301482295835e-28,1.0
PIP4K2C,785996.697663117,2.860512921556152,0.18159415841364007,5.020541909016116,5.152590731095151e-07,2.389232879395467e-06,1.0430497815601614e-06,1.0
MFSD2B,32172.730036428336,2.575169071555399,0.24571045057779495,6.888634508999411,5.633045675034595e-12,4.059369422961438e-11,1.1403092866284056e-11,1.0
