,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,padj_stageR,DE_confirmed
EPDR1,125670.98326297938,0.45311581528821415,0.5017020868860105,1.1292817253399072,0.25877900750047755,0.48477285502815026,,0.0
INTS12,139657.96798979174,0.18550795439141882,0.2172870865481328,0.8591061534228661,0.3902819527193755,0.6223279905282074,,0.0
LINC00943,806.9673418345917,0.20814252270551442,0.8301724354020914,0.506002019097355,0.6128552322424905,0.8063709298126269,,0.0
PCDH9,27104.102343236395,0.057577923517324166,0.7185514998449246,0.12638211736853797,0.8994294569166911,0.9628049374470187,,0.0
LRGUK,40609.97213700582,2.8722478421893594,0.7709460424174583,4.242426768396163,2.2111570447178286e-05,0.0001943244365754663,6.084039510673075e-05,1.0
IL19,3356.050927070569,0.2520840740769739,1.2605526457423741,-0.22690951179079824,0.8204941056200059,0.9277336347412047,,0.0
TRIM68,66698.72692357891,-0.18022301329152443,0.35619743733157516,-0.5897457953578087,0.5553610877888713,0.7647080900913015,,0.0
RPS21P1,1329.6584775520175,-0.6837532307049567,0.48090497491730966,-1.758788066836461,0.0786135123996566,0.21146971577169177,0.2163065335657034,0.0
MACROH2A1,1035768.5464591843,-0.11011386003764638,0.24565031350778269,-0.4422486764993675,0.6583092657344398,0.8366272679268478,,0.0
NUBP2,328797.0751338367,-0.42009935566434053,0.4283823433969749,-1.2151280560259508,0.22431725447953266,0.44220803736616615,0.6172130751361188,0.0
BLOC1S6,295727.89809826843,0.11712632413972578,0.22583789456617234,0.5254021379666312,0.5993036675985128,0.7957181389937089,,0.0
BTNL8,1271.952098272869,-0.8020727043427799,1.2182525852999793,-1.8082200326179159,0.0705722619854196,0.1940737204599039,,0.0
MIR5010,1707.395090793501,-0.06873020142629357,0.36912864543032126,-0.2207058059149621,0.825321510471362,0.931079258926601,,0.0
KIR3DX1,563.4040034142707,0.35617591554829875,0.9168314857515506,0.8604422746876218,0.38954529092239376,0.6221487771366309,,0.0
NR4A1,3522362.4822861394,-0.10054753224755832,0.8576090959134006,0.3709116213533165,0.7107033590287714,0.8694582861019642,,0.0
LINC01269,557.9305375430786,0.35720396712349584,1.2271594516452937,1.0213824765546577,0.3070732642895716,0.5422204379712741,,0.0
NECAP1,310470.6802489503,0.6754994798882765,0.33344282377487733,2.238053614135689,0.02521755905664899,0.08624509044562932,,0.0
LPAR2,251823.67669839752,0.6436607194776408,0.6089077492025593,1.444331285799406,0.14864580933612662,0.3364028464518406,,0.0
FGGY,123172.60090231123,2.4226094202537753,0.33676956324551516,7.423458522284951,1.141009118456393e-13,4.622478404283095e-12,3.139507695896304e-13,1.0
IFI16,801183.7242915288,0.3355109055340815,0.39793892062797237,1.0165513231535233,0.3093669205203242,0.544149440505745,0.8512288045018087,0.0
GNL3LP1,11935.994781846483,2.083337191996127,0.42626661794739396,5.231143995779028,1.684642146239429e-07,2.3125542189286707e-06,4.6353240280016974e-07,1.0
ZNF260,210436.0785840524,0.721922824301056,0.5207342166924781,1.722074177896275,0.08505608207352801,0.22178673834243331,,0.0
PRICKLE1,98402.41127383022,-0.6612282101495888,0.6580979120182077,-1.4877344948315832,0.13682092676718222,0.3160335679091259,,0.0
RDH12,3713.3113981735196,-0.07105697454652725,0.4277209255079241,-0.2102092830213632,0.8335043346272487,0.9330561132450124,,0.0
RRP1B,451564.6580622086,0.9776087026516429,0.335039402590566,3.15066578935184,0.0016289877498800885,0.008700156439070184,0.004482189926920199,1.0
B3GALNT2,64520.20016289626,-0.08338740036709041,0.5326872107973148,-0.2283913288352404,0.8193420299209151,0.9276940093378596,,0.0
CFAP206,11827.358541760383,0.5421797740951975,0.5098367093080728,1.3552587815048176,0.17533512245699423,0.37643038138871276,,0.0
CPD,275662.6217491595,-1.1190151741903165,0.6933342688867729,-2.2649465586948523,0.023515959178529926,0.08131854586163402,0.06470459667952215,0.0
AATBC,29023.594720561796,1.0964587738192644,0.7894286966141348,2.0569914134995932,0.03968705182272599,0.12312917363974045,,0.0
RPL37P23,56061.46935264516,0.7910567457595069,0.45370083478567796,2.0689474087890685,0.03855102208907854,0.1205899203200743,,0.0
RPS26P47,294951.9144699241,1.2239867672627736,0.4537384815829234,3.118713912081487,0.001816422360191162,0.009527613285086906,0.004997919724369167,1.0
SLC35B1,557184.4914417508,1.060910043128953,0.4205682186939963,2.8594081085713823,0.004244323645476666,0.0198960381877064,0.011678335022313765,1.0
CDK6-AS1,2287.6249869071444,1.131744605856968,0.8593042457515094,2.065810619422736,0.03884636498980785,0.12120941561941923,,0.0
CEP89,318441.38335626724,0.802547372810153,0.4525345627643176,2.146988766874168,0.031794175912943576,0.1038206936921349,,0.0
NEDD4L,262284.8228142955,-0.7146106279744401,0.519504013883041,-1.77850551043349,0.07532086772623338,0.20453617650126482,,0.0
CCDC201,485.09325562859675,-0.45016420628550574,1.0029157356177798,-1.3744272354650195,0.16930908569075187,0.36697136754981147,,0.0
INSIG2,170478.82510597998,-0.8575753568649155,0.28283637469058875,-3.2660462904095473,0.0010906041982208221,0.006246529562913054,0.0030008176254745205,1.0
CD96,69738.79140145806,1.43651483189428,0.44306797123385894,3.62755464969152,0.0002861182274795492,0.0019530508596309504,0.0007872595955442264,1.0
FLI1,238709.52485892028,0.09703311262466922,0.5801699752745272,0.21425187613112365,0.8303506438806689,0.9319887946417199,,0.0
STIMATE-MUSTN1,279319.32184607536,-0.8874490421950687,0.4230336402607296,-2.4494185068326138,0.014308708482964505,0.054303346816917085,0.03937067607433028,1.0
MIR6805,3788.3608702514234,0.5430540567746538,0.4561419003236055,1.4542899704821148,0.14586592992515046,0.33174346363168633,,0.0
LURAP1L-AS1,117.86732249285501,-0.9740114355463373,0.9038134594155557,-1.8647784762603654,0.062212461464967894,0.17539424206760046,,0.0
FAUP1,239338.31151915184,0.5039824668764605,0.3581521966736661,1.6307954119651478,0.10293349588020848,0.25633063966570657,,0.0
COX6B1P4,58.65783670558896,0.2448124171981943,1.0620395010023724,-1.2685290484188838,0.20460908392373123,0.41833513322181576,0.5629856792887646,0.0
ANKMY2,172204.1462292168,1.3190062514029488,0.2709512422889973,5.072821852547091,3.9195941034055166e-07,4.9824840350177775e-06,1.0784835680436053e-06,1.0
DNHD1,150801.98591479778,-1.0040299537089428,0.6338448804081218,-2.13303263172794,0.03292204942060184,0.10646556593189682,,0.0
POC1B-GALNT4,74170.64839848681,-0.23789494586834592,0.34018039863838573,-0.7886051307810474,0.4303428312262595,0.6589881697997034,,0.0
RNPS1P1,115570.9320011279,-0.1144321061678782,0.3020712022266767,-0.4239189436680709,0.6716249281413436,0.8459825624186843,,0.0
RAPGEF5,136587.21286405736,-3.753484637378759,0.6212864908669765,-6.409438976827357,1.460560928353093e-10,3.5852094118145137e-09,4.01876041191798e-10,1.0
B3GNTL1,91507.25365110798,-0.5482677412117596,0.3865585394960425,-1.6600784677901612,0.09689866798140291,0.24487243381495524,0.26661847738891814,0.0
CDKN2B-AS1,3660.130602940431,0.1817752864037953,0.6966751261295967,0.4275180003098634,0.669002077220428,0.8447193681141167,,0.0
CFAP97D1,423.6109177537927,-0.5736834352534059,0.8693191446867162,-1.2896926785055627,0.19715738265559246,0.40921183456715887,,0.0
ARL4AP5,7643.04937839583,0.9150345783081619,0.30180554520041025,3.2675694230284216,0.00108475258596575,0.006227663983139814,0.0029847168061111714,1.0
HCCAT5,14.861798523533158,0.7352839968542619,1.2554112061977192,-2.1224229367612124,0.033802237763312024,0.10880914132725053,,0.0
FAM180A,31480.00395387579,-0.4972003781063143,0.5980074300184678,-1.1857062990994278,0.23573830608002044,0.4574314560734976,,0.0
ZNF740,188664.83861976923,-1.6123599750884157,0.25274839189588594,-6.634823140847893,3.2489184968171005e-11,9.198500494113416e-10,8.939459342705474e-11,1.0
SPOCK3,282.2994019020112,0.10258235533463611,1.0676176607100367,-1.378617404064749,0.1680127476144121,0.3658198170861269,0.4622901829721786,0.0
IZUMO1,2298.4038691316227,-1.8574939381101796,0.8867789187715521,-2.885514262755169,0.003907747548400827,0.018598191054136886,0.010752239665202275,1.0
SLC4A9,281.5866807278568,-3.3195888178126873,0.8509854733895069,-4.481632231037929,7.407431382005398e-06,7.153339259018003e-05,2.0381684470752568e-05,1.0
FTH1P2,887202.8792473243,-0.6213212312339502,0.311044299259628,-2.1437852968578848,0.03205009397187592,0.10451938367922625,0.08818642642841398,0.0
