,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,padj_stageR,DE_confirmed
SYCP2L,10469.287196699479,0.4022299947403928,0.39884136833428274,1.2029058765459881,0.2290127460130178,0.4099550017434323,,0.0
RNA5SP187,171.07871871012688,-0.9188486145953231,0.7754762498203708,-1.9037938076863068,0.05693704332443363,0.14295868603200776,,0.0
PRR13,322713.0233843428,-1.2880708479394471,0.2384445429305871,-5.683491758789397,1.3197208669263058e-08,1.290997530410851e-07,2.9030367747333947e-08,1.0
SLC44A3,44568.170940956115,-0.07041078344061329,0.3912460500404813,-0.22814060591634228,0.8195369333868587,0.9044471968151517,,0.0
CCDC92,243566.9879050486,-1.4501702702894754,0.24608789070047146,-6.179979754521096,6.410982255840285e-10,7.508072881311545e-09,1.4102464935796818e-09,1.0
DONSON,118348.6138160477,-1.7430101596200498,0.2267270904067337,-7.907312297847758,2.630052563362039e-15,5.0857876893849666e-14,5.7854198582950665e-15,1.0
PLLP,376235.1526953932,0.15363079014159498,0.1657786882189945,0.8915717590710064,0.37262251285885206,0.5679416281152773,,0.0
B3GNTL1,72948.09316396936,-0.5120779979279216,0.2819123080594668,-2.020251608208669,0.04335729556348577,0.11396709566187066,0.09537458005565719,0.0
ARAP1-AS2,21669.690368400516,0.8424252692479167,0.2220471984378882,3.979389903725954,6.909234705512647e-05,0.00038385492144546316,0.00015198488512258642,1.0
SHROOM3,1114825.398686551,2.597912347467229,0.7241618918375261,4.127464077786395,3.6678570603584846e-05,0.00021228467371378748,8.068315200233016e-05,1.0
TSPO2,765.6020987528955,0.5371442139533584,0.7006540744982501,1.263457343480069,0.20642486722972753,0.38102675014703835,,0.0
ZNF793,76842.08051739233,0.800902645139539,0.29660372114671185,2.9181127432647447,0.0035215699656622134,0.013547566954266715,0.0077465222921908215,1.0
DM1-AS,40542.52481479491,-0.10380561005894008,0.33735485506439894,-0.35394858221158204,0.7233774173502447,0.8449814547241775,,0.0
LINC00485,94.99871848944652,-1.97886327617985,1.657779462529558,-2.625580327233356,0.00865013959170853,0.02963979836746831,0.019028018705041384,1.0
CLEC2B,165871.607140497,1.0558071974050258,0.506107702793452,2.5643646278017074,0.010336489199503168,0.03459944204715695,0.02273754171795472,1.0
PSMC1P9,11496.547294454547,-0.7553321348738052,0.43466657844845713,-2.1071491564079423,0.035104652515794456,0.09628208433276444,,0.0
TAFA1,497.7761063212878,-0.5808164123462767,0.6565759963306032,-1.3735067722153358,0.16959485734793012,0.3300642719205469,,0.0
DIPK1A,80570.53922251787,0.4921298764715257,0.24406264636828479,2.1482353389301285,0.031695064676057476,0.0889851872081321,,0.0
AS3MT,46601.31152411512,0.0015557085471599986,0.3832773187464946,-0.006211468539997776,0.9950439970210767,0.9978441208317892,,0.0
MRPL39,88530.11518169261,-0.33803741800182463,0.1840874868627356,-1.9384774232471897,0.05256500263018084,0.13373115661497817,0.11562909970104593,0.0
CCDC25,204998.04621374575,0.005759855074539472,0.18637570090779482,0.020256746408203533,0.9838385600658505,0.9926799591503482,,0.0
KRT23,147918.77332834023,-0.33526871559756305,0.6164199374033651,-0.8503122427353242,0.39515151176065866,0.5902427820880017,,0.0
AICDA,822.286144541946,0.19714892972843903,0.6934743304661007,0.5016543803453871,0.6159106597333073,0.7689635338862538,,0.0
IRF1,316877.5880446044,-0.15959137393842868,0.2883086193550677,-0.69136211657373,0.4893380048797895,0.6729071957952784,,0.0
FHL2,396191.100438628,-0.6411484408192594,0.4945762940043827,-1.6960293664940898,0.08988031877258847,0.2050356243056442,,0.0
RPS24P16,128.57731480965603,-0.9443308182551873,0.8184734090680303,-1.9203683560002145,0.054811387661514756,0.13859808060988196,,0.0
UACA,669178.5892275625,-0.2531880820861403,0.2533184017924737,-0.9465346612761445,0.3438759519825949,0.5379733848984528,,0.0
TBC1D15,503539.6530473575,0.6943565452594361,0.21210021166727938,3.3866065387647213,0.0007076279491840457,0.0032240692588851173,0.0015565942850437407,1.0
RPS2P7,114115.09183266293,0.02005246709171405,0.3254677328981799,0.05519238267365993,0.955985197433079,0.9798013289447784,,0.0
MUC5B,274306.64018589765,0.06011849165748079,0.7077029242768309,0.3524721066367725,0.7244842336254786,0.8453649055486989,,0.0
SNORD64,256.11738855618427,0.2657577210426469,0.6071042048688049,0.6751437640464915,0.49958443113566564,0.6805878955525612,,0.0
ENTHD1,849.6968460552838,-0.18687229509855244,0.6755512117801385,-0.494130626115575,0.6212139299225456,0.7728768818911671,,0.0
GGA1,331709.2185669331,0.06349460266625563,0.1730591665059407,0.3431375501008431,0.7314949832163857,0.8496923099572872,,0.0
LMO1,2351.971449307081,0.015416100190908189,0.7427127715013473,0.029766965048106296,0.9762529051580628,0.9887384782447373,,0.0
ARHGAP42,59299.58179507271,-0.052082655639052594,0.3280162405356597,-0.19550305888167596,0.8449991432440536,0.9174539120009974,,0.0
NOD1,136863.98368256845,-0.2415697390561373,0.336417928635393,-0.8666684134413076,0.38612371692463465,0.5832186568988805,,0.0
SNX29,173495.82575768,-0.546784609257528,0.1889419584490525,-3.050750261986395,0.0022827035589258445,0.009184200044742772,0.005021343939806454,1.0
MIR210HG,32042.945177636226,0.3532457298128275,0.4968269925066333,0.9384660634667205,0.34800494927661685,0.5420846902937084,,0.0
C11orf16,2547.7521836721776,0.6331388999971157,0.7048743613327553,1.4432780396983278,0.14894216341280922,0.30132702889963714,,0.0
PCARE,4302.750879011125,2.800597017740048,0.9393709163324612,3.6665211872072057,0.0002458725562361481,0.0012242097635350726,0.0005408545780697278,1.0
TRIM35,114746.90384269359,-0.14799757708458589,0.24233527667262983,-0.6849639295709282,0.4933666827316995,0.6760248228916366,,0.0
CARD6,74151.61566722163,0.3580646712251138,0.35402700256320035,1.171876286744547,0.24124672885634324,0.4237957500930621,,0.0
FNDC3A,332216.4175429061,-0.12300933534882358,0.16790236101575834,-0.7819877847161258,0.43422175244178884,0.6270136969412691,,0.0
DUSP23,258175.60380933798,-1.2113231971794576,0.34069952698750705,-3.969492161310768,7.202597614385466e-05,0.0003983787084054223,0.00015843809302543688,1.0
