,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,padj_stageR,DE_confirmed
SPHKAP,1858.7755712800565,-0.012838761388083797,0.8785366824134941,-0.24556026446424783,0.8060226518360523,0.9375757004336097,,0.0
P2RX3,3.7309514732822437,-2.147401838898072,0.2923050755662483,0.07708004804708594,0.9385598651241063,0.9995633449333717,,0.0
SRSF5,2492896.2373581594,1.7867615307549396,0.17078932219004345,-0.3386588109595703,0.7348667729751631,0.8985819391246838,,0.0
MFSD2A,81025.78017711447,2.298370679511471,0.5182671411527269,1.894070589656541,0.058215640859809466,0.16892689740192385,,0.0
SMOC2,441931.51776458975,1.5104392648533285,0.43407831448677037,-0.5874487591781758,0.5569023547815157,0.789854973775091,,0.0
SEC24B,384239.02340550744,2.294884681566741,0.21740397969413786,0.9780904119923678,0.32802960951623206,0.5902482590162412,,0.0
SPSB1,267815.6875592839,1.8510355845021893,0.3086709833640015,0.37335976680994537,0.7088806994776777,0.8852451593037401,,0.0
ADAM1B,1440.8104302234224,0.06435584439526155,0.4551324700519119,0.1773657137147219,0.8592211368004834,0.9647626658768528,,0.0
SUN1,2614608.709386451,2.6046173298989226,0.11230649436267222,3.024972541218284,0.0024865570121797792,0.01207237942391953,0.008934777572202504,1.0
NELL2,273456.4436425439,2.501506983223368,0.5105130953929153,1.21768052316154,0.22334540128923708,0.4591905732780637,,0.0
CNBP,1405570.0579651392,1.005938717748749,0.20462183841484322,-6.738030802634557,1.605475394057423e-11,3.0237462987700373e-10,5.7688464303388034e-11,1.0
TM9SF1,452645.0403729312,1.9253255890432552,0.3184579323887613,0.8252471517976732,0.40923128874221437,0.6696633974138989,,0.0
RN7SL32P,366.59260163585316,-0.16850453552064448,0.7867534575412047,-0.5317239185016195,0.5949172234554982,0.8172727962828733,,0.0
ATP5PD,646485.9615228144,1.6780766082537308,0.2160552090614534,-0.1190533961186911,0.9052330525693799,0.9862848541616324,,0.0
ATP6V1E1,625136.0204924687,1.9262520545006798,0.2252963263480063,0.02214745203931274,0.9823303344920387,0.9999962560327501,,0.0
LINC02094,218.1289226029735,-0.285384142245584,0.8401266829429688,-1.5712911899687687,0.11611502666198277,0.28904244292765885,,0.0
GALNT10,345586.1520519001,0.9560872238455296,0.5191666210311064,-2.4415451503359176,0.014624559477863012,0.05550659798784357,,0.0
LINC01010,663.1400123504457,-0.2543540914309694,0.7825443278066372,-0.8030966357071698,0.42191888209939465,0.6801670350639789,,0.0
NSMCE2,96882.54328475732,0.6376170805143901,0.436211857171709,-2.1720379756607238,0.029852798625885302,0.10006401473592581,,0.0
POC1B-AS1,39724.368488630746,2.141883437049711,0.41777549239147244,3.332808390368639,0.0008597413008242327,0.004751903468896728,0.0030892504193043525,1.0
ZNF24,733540.4946251868,1.6926572047430861,0.28277988724811187,-0.34665693048921775,0.7288490704750731,0.8942196929058727,,0.0
CYP3A43,995.5326208860922,-0.1305156982018462,0.7243366314011401,-0.37778061728011164,0.7055935737137451,0.8834556092928746,,0.0
RANBP20P,6983.859371111937,-0.0648189545345765,0.537678474735961,0.2722393777277272,0.7854379657784532,0.9264198619522568,,0.0
MIR4775,1926.4621442417924,-0.2910491149890951,0.38745687456160427,-0.8161140081726472,0.41443493279206123,0.6737308585702714,,0.0
CDH17,980.3827130125903,-0.30250482037029663,0.6414423911112365,-0.7990287028062241,0.4242737689596494,0.682326080658653,,0.0
CPNE8,99900.05622445977,0.11197667273781817,0.4963135818654508,-4.728274978005097,2.2643538915554647e-06,2.215958877010456e-05,8.136350088375324e-06,1.0
KRAS,347960.5062541099,1.4014476946797403,0.2971371760435829,-0.932761303257513,0.35094322507697784,0.6158782125032336,,0.0
JCHAIN,1395081.6905545783,1.6728898858807328,0.46498136171999915,-0.13790495013033813,0.890315538153459,0.9800540032915558,,0.0
AKR1B10,17198.60198641038,-0.5252480748455478,0.9425499198200742,-2.9743613634932626,0.0029359909274340717,0.01395850454611369,0.01054969814170155,1.0
CERK,238480.58443538696,1.635730193759306,0.2873510327182939,-0.2147694997492686,0.829947033668305,0.9475741608015199,,0.0
BRWD1,2347642.387528389,3.5126739137206866,0.09947409456186515,7.4490639293140095,9.400481459043305e-14,2.1521927964259238e-12,3.377811588343062e-13,1.0
MACC1-AS1,42.76855671692538,2.531987352019969,0.07953136576309397,-2.141305420864831,0.032249416268393206,0.10659145361382513,,0.0
ANP32AP1,12887.037202713886,-0.0664277901089582,0.32310032934658955,0.17958881717897643,0.857475384540383,0.9641044479029176,,0.0
NPM1P40,34.769939575899876,-0.7649492472051955,0.0958752364189558,0.061674189410892796,0.9508222946959701,0.9999962560327501,,0.0
RFPL2,381.0320699446481,-0.24264871923828557,0.7899643841814442,-0.7497809865015592,0.453386621911805,0.70980320889643,,0.0
PLAC4,16223.609875094573,0.02330343999684713,0.6674618587956026,0.42005568983339864,0.6744447713375263,0.8646268888941679,,0.0
SLC25A10,258528.6526020532,1.417987160899463,0.47208698143997724,-0.4686221419758397,0.6393397476330381,0.8461230884103957,,0.0
SCARB1,799327.9610438797,2.0318786917217633,0.2721353298728132,0.8437697696120472,0.39879807139731693,0.661262848619272,,0.0
CALCA,524.8797056290339,2.7587932557012325,0.02807698714160176,0.003276110281214009,0.9973860468630149,0.9999962560327501,,0.0
SEC16B,82067.5130172181,0.7554880108761963,0.5579316333572345,-1.484464142910724,0.13768582899773635,0.32864178504433383,,0.0
BUB1B-PAK6,38359.629327673865,1.2260345344223411,0.5940173675657817,0.2526446101337749,0.8005428541133648,0.935043874457403,,0.0
OAZ3,54508.40479203556,0.12518035147495007,0.39169443936835385,-2.7572321726142976,0.005829294533684126,0.025431826064350935,0.020946010811819637,1.0
CEP83,357080.5544367959,4.010759098757183,0.21274956526579736,11.301877157701224,1.284426893934036e-29,5.7752924573196155e-28,4.615244512328851e-29,1.0
RNF150,99063.6906775645,2.060354626735254,0.7303843665276942,0.8192744559263759,0.41262984307975736,0.6727103440758123,,0.0
HMGN2P40,171.17539609335057,0.12443699811440381,0.7837866920100522,0.3585650762164681,0.7199204768428333,0.8900478325297452,,0.0
ZNF433,62164.36955377301,2.054941510120328,0.30509058441451986,2.7268798870831708,0.006393630816029411,0.02750914776103689,0.02297380230583354,1.0
MIR6824,178.8276256753696,0.2227800383094156,0.5738240684532266,0.592993561060862,0.5531854614448597,0.7871949600950148,,0.0
CHEK2,78752.2130199188,1.4452101264756634,0.47241621400131145,0.18366046983933726,0.8542798218127552,0.9622397546324171,,0.0
AK3P5,847.7595715575441,0.1455400335287282,0.8894951601437854,0.4551590217810788,0.6489948388281428,0.8490975687113782,,0.0
SERPINA6,89337.79116471697,1.9390105857485787,0.7724772168008162,1.1702309658030203,0.24190803450529796,0.4862517117261144,,0.0
RASGRF2-AS1,2668.9692041740745,0.5048182333803082,1.0875749054963455,1.40192435128928,0.1609378378867219,0.3667765976678671,,0.0
KARS1P2,377.54310254202596,-0.04009605589398721,0.4964614771329147,-0.11666126218728744,0.9071284888952145,0.986402691529178,,0.0
NNT,1140399.3665809524,1.3906202449112404,0.2868135944767138,-0.8157976246431491,0.4146158920437967,0.6737308585702714,,0.0
STYXL2,1206.2755108774393,-1.5573641590743093,0.36414357604977854,-4.645704133705267,3.3891844888835754e-06,3.20975707476621e-05,1.2178127994253365e-05,1.0
CRTC3-AS1,27780.36343590628,3.0726351153672367,0.3471342127973931,6.7292499704307716,1.705398592891185e-11,3.187881789183485e-10,6.127893720028729e-11,1.0
TIAM2,215378.2999039352,2.537706270905302,0.6024715684583017,1.132479816782006,0.25743276508648005,0.5048885784974018,,0.0
SIGLEC12,2015.506401375571,0.025489147804910323,0.9100608689343278,0.07990619121676393,0.93631186569905,0.9987459973720791,,0.0
AKT3-IT1,255.91238146437246,-0.9358266382404057,0.6752849947447022,-2.0443821804531055,0.04091580630308741,0.12811216390132324,,0.0
