,class,beta1,cn_ratio_log2,truth_log2FC_aware,truth_log2FC_naive,empirical_log2FC_naive,empirical_log2FC_aware,DE_truth
SPHKAP,NEUTRAL,0.02715560294844713,0.13750352374993502,0.03917725370607439,0.1766807774560094,0.04718131751304084,0.04718131751304053,False
P2RX3,DIG,-0.6073528180521072,0.4329594072761063,-0.876224898673712,-0.4432654913976057,-0.5787938553387383,-0.8682208348667378,True
SRSF5,NEUTRAL,0.013652863066530092,0.13750352374993502,0.01969691784001905,0.15720044158995405,0.027700981646986405,0.027700981646986405,False
MFSD2A,NEUTRAL,0.01821646951089655,0.13750352374993502,0.026280810225875452,0.16378433397581046,0.034284874032842014,0.034284874032842326,False
SMOC2,NEUTRAL,0.027979704668281376,0.13750352374993502,0.04036618117046732,0.17786970492040233,0.04837024497743359,0.04837024497743329,False
SEC24B,NEUTRAL,0.03524874488601174,0.13750352374993502,0.05085318944460935,0.18835671319454436,0.058857253251575835,0.05885725325157553,False
SPSB1,NEUTRAL,-0.02064360903216134,0.13750352374993502,-0.02978243237674978,0.10772109137318524,-0.021778368569783255,-0.021778368569783418,False
ADAM1B,NEUTRAL,0.025254434266801642,0.13750352374993502,0.036434447077171035,0.17393797082710605,0.04443851088413706,0.04443851088413706,False
SUN1,DIG,0.5761119775011802,0.6780719051126378,0.8311538929376867,1.5092257980503245,1.398418467501718,0.8391579567446507,True
NELL2,DIG,1.0137897339645883,0.37851162325372983,1.4625894216948532,1.841101044948583,1.6971802746857076,1.4705934855018177,True
CNBP,DIG,-1.1842212927258586,0.4854268271702419,-1.7084701863307137,-1.2230433591604717,-1.345656612702719,-1.7004661225237487,True
TM9SF1,NEUTRAL,0.05755331145883015,0.13750352374993502,0.08303187702839221,0.22053540077832723,0.09103594083535911,0.09103594083535942,False
RN7SL32P,NEUTRAL,-0.006160036544515218,0.13750352374993502,-0.008887054174466892,0.12861646957546813,-0.0008829903675009879,-0.0008829903675008277,False
ATP5PD,DSG,-0.1056639026957267,0.8073549220576041,-0.1524407884200989,0.6549141336375052,0.5133562375851768,-0.1444367246131334,False
ATP6V1E1,NEUTRAL,0.007097393106716475,0.13750352374993502,0.010239373838299372,0.1477428975882344,0.018243437645266185,0.0182434376452665,False
LINC02094,NEUTRAL,0.02394749285932906,0.13750352374993502,0.0345489291898779,0.17205245293981292,0.042552992996843904,0.04255299299684359,False
GALNT10,NEUTRAL,-0.021255417064961524,0.13750352374993502,-0.030665084791646636,0.10683843895828839,-0.022661020984681313,-0.022661020984681476,False
LINC01010,DIG,-1.497361288280961,0.53605290024021,-2.160235705022052,-1.6241828047818418,-1.743345212960251,-2.1522316412150815,True
NSMCE2,DCG,-0.8263857371836232,0.8875252707415875,-1.1922226048961835,-0.304697334154596,-0.4404142821024366,-1.1842185410892176,True
POC1B-AS1,DIG,0.6433010529778131,0.4854268271702419,0.9280872389297394,1.4135140660999812,1.2739575982456082,0.9360913027367053,True
ZNF24,NEUTRAL,0.025606328211871476,0.13750352374993502,0.036942122726642136,0.17444564647657715,0.04494618653360887,0.04494618653360856,False
CYP3A43,DSG,-0.05008718427634221,0.8479969065549501,-0.07226053236757057,0.7757363741873795,0.6337827063754763,-0.06425646856060344,False
RANBP20P,NEUTRAL,0.015447927499983785,0.13750352374993502,0.02228664839623885,0.15979017214617386,0.030290712203206345,0.030290712203206657,False
MIR4775,NEUTRAL,0.011751911260404334,0.13750352374993502,0.0169544240963525,0.15445794784628752,0.02495848790331893,0.02495848790331893,False
CDH17,DCG,-0.7265452472029191,0.9259994185562233,-1.0481832251210974,-0.12218380656487415,-0.25356888755776247,-1.0401791613141291,True
CPNE8,DIG,-1.614471927876276,0.5849625007211562,-2.3291906440015477,-1.7442281432803917,-1.8780022320887932,-2.3211865801945817,True
KRAS,DSG,-0.04571981398077233,0.7655347463629772,-0.06595974890042614,0.6995749974625511,0.5781915544577597,-0.057955685093462085,False
JCHAIN,DIG,0.9654517932682748,0.4329594072761063,1.3928525143654968,1.825811921641603,1.701461964284198,1.4008565781724611,True
AKR1B10,DIG,-1.4653806894983767,0.4329594072761063,-2.1140974537537582,-1.681138046477652,-1.7980852922490524,-2.1060933899467917,True
CERK,NEUTRAL,0.06340373626128577,0.13750352374993502,0.09147225587798874,0.22897577962792376,0.09947631968495507,0.09947631968495507,False
BRWD1,DIG,1.578273109562569,0.7224660244710913,2.276966788334322,2.9994328128054133,2.8688092460814656,2.284970852141288,True
MACC1-AS1,DSG,0.06283858379138645,0.9259994185562233,0.09065691321231882,1.016656331768542,0.8879167603437983,0.09866097701928452,False
ANP32AP1,NEUTRAL,0.03444524240123512,0.13750352374993502,0.04969398039448016,0.1871975041444152,0.05769804420144633,0.057698044201446023,False
NPM1P40,DCG,-0.8005709602550464,1.0356239097307214,-1.154979754239671,-0.11935584450894954,-0.24413092085281454,-1.1469756904326949,True
RFPL2,NEUTRAL,0.025072508601941487,0.13750352374993502,0.03617198382266686,0.1736755075726019,0.04417604762963335,0.044176047629633654,False
PLAC4,DIG,1.4090755054309565,0.4854268271702419,2.0328662439233507,2.5182930710935927,2.393434788591283,2.0408703077303163,True
SLC25A10,DSG,0.0729089420423793,0.9259994185562233,0.10518536912100146,1.0311847876772247,0.9151878273708489,0.11318943292796833,False
SCARB1,NEUTRAL,-0.008577581796715458,0.13750352374993502,-0.012374834720940838,0.12512868902899418,-0.004370770913972944,-0.004370770913973425,False
CALCA,NEUTRAL,-0.018913117254061775,0.13750352374993502,-0.027285860470186413,0.1102176632797486,-0.019281796663220573,-0.01928179666322025,False
SEC16B,DCG,-0.8244119285813847,0.9634741239748862,-1.18937500101407,-0.22590087703918382,-0.34979493849327314,-1.1813709372071062,True
BUB1B-PAK6,NEUTRAL,0.039026887248257654,0.13750352374993502,0.05630389669439404,0.19380742044432905,0.0643079605013594,0.0643079605013597,False
OAZ3,DCG,-0.889234963143285,1.0,-1.2828948715118975,-0.2828948715118975,-0.4219629063964074,-1.2748908077049312,True
CEP83,DIG,1.7305019899117176,0.37851162325372983,2.496586639094118,2.875098262347848,2.7420561554348293,2.504590702901083,True
RNF150,NEUTRAL,0.010617489305171928,0.13750352374993502,0.015317799167263148,0.15282132291719816,0.023321862974229897,0.023321862974230213,False
HMGN2P40,NEUTRAL,-0.022343759226084666,0.13750352374993502,-0.03223523063028937,0.10526829311964564,-0.02423116682332319,-0.024231166823323026,False
ZNF433,DIG,0.7926201447929582,0.32192809488736235,1.1435091522014929,1.4654372470888553,1.3334516610402973,1.1515132160084576,True
MIR6824,NEUTRAL,-0.004792958936914626,0.13750352374993502,-0.006914778089471169,0.13058874566046386,0.0010892857174947341,0.0010892857174947341,False
CHEK2,NEUTRAL,0.027470026574285294,0.13750352374993502,0.039630871111809435,0.17713439486174445,0.047634934918775754,0.04763493491877545,False
AK3P5,DIG,1.307363312644284,0.53605290024021,1.8861265677920762,2.422179468032286,2.2896447563620415,1.8941306315990392,True
SERPINA6,NEUTRAL,-0.043487609519545424,0.13750352374993502,-0.06273935859396386,0.07476416515597116,-0.054735294786996826,-0.054735294786996826,False
RASGRF2-AS1,NEUTRAL,-0.0220930598611563,0.13750352374993502,-0.031873547899753205,0.10562997585018181,-0.023869484092786684,-0.023869484092786684,False
KARS1P2,NEUTRAL,-0.02383544316861504,0.13750352374993502,-0.03438727565675164,0.10311624809318337,-0.02638321184978474,-0.026383211849784902,False
NNT,DSG,-0.05248159955465564,1.0,-0.07571494341542212,0.9242850565845779,0.7915808129692765,-0.06771087960845591,False
STYXL2,DCG,-0.9272098949036585,0.9259994185562233,-1.337681117240685,-0.4116816986844618,-0.5308399393774367,-1.3296770534337166,True
CRTC3-AS1,DIG,1.7280503288969882,0.32192809488736235,2.493049639906227,2.8149777347935894,2.6882888422592157,2.5010537037131915,True
TIAM2,NEUTRAL,0.027068207900188296,0.13750352374993502,0.03905116930335312,0.17655469305328814,0.047055233110318555,0.04705523311031886,False
SIGLEC12,DIG,1.3474340907737035,0.4854268271702419,1.9439364806839514,2.429363307854193,2.294696607505675,1.9519405444909166,True
AKT3-IT1,DCG,-0.6809924387756764,0.8479969065549501,-0.9824644143045494,-0.13446750774959937,-0.2549593775126985,-0.9744603504975756,True
SNORA20,NEUTRAL,-0.011864071341777018,0.13750352374993502,-0.017116236889534574,0.12038728686040044,-0.009112173082568065,-0.009112173082568065,False
SNORD88C,DIG,1.1384732549254675,0.5849625007211562,1.6424697190656885,2.2274322197868446,2.098204200543882,1.6504737828726521,True
CD9,DIG,1.3475026980007876,0.53605290024021,1.9440354599902347,2.480088360230445,2.3603568413506535,1.9520395237972021,True
CD47,DIG,0.8655931952694169,0.53605290024021,1.24878701024242,1.78483991048263,1.6410072457453562,1.2567910740493853,True
THSD4,NEUTRAL,0.016036519648826825,0.13750352374993502,0.023135807370480883,0.1606393311204159,0.031139871177447306,0.031139871177447306,False
SNHG20,DSG,-0.029472510687202223,0.9634741239748862,-0.042519845010973625,0.9209542789639126,0.7849125560306921,-0.034515781204009686,False
AP3S1,NEUTRAL,0.03390528181190937,0.13750352374993502,0.04891498192998442,0.18641850567991944,0.05691904573695108,0.05691904573695108,False
CIBAR1P1,NEUTRAL,0.006777301033192057,0.13750352374993502,0.009777578591197829,0.14728110234113284,0.017781642398164807,0.017781642398165123,False
